gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig,deg_call,logFC_paper,P_paper,adjP_paper,sig_paper,logFC_sex,P_sex,adjP_sex,logFC_GSE15653,P_GSE15653,logFC_GSE64998,P_GSE64998,logFC_T2DvsLean,P_T2DvsLean,adjP_T2DvsLean,consistent_both_datasets
TNFRSF12A,0.355215399695693,6.24668020169046,4.2847414863915,0.000104247662409902,0.346776606514358,0.730735203499937,NS,NS,0.354789061167696,4.09568686115946e-05,0.276726689195032,NS,0.347152017491501,0.000199002303313475,0.574315011351377,0.292556720187451,0.013778292123287,0.415636269221501,0.00294972942437001,0.43377408479581,0.000409394129954594,0.0473983474317907,TRUE
CDKN1A,0.620760312850149,6.66675256990885,4.24584836984471,0.000117699387081058,0.346776606514358,0.640216001639831,NS,Up,0.630650931295842,5.04871905646505e-05,0.276726689195032,NS,0.574791666036372,0.000297530042364115,0.574315011351377,0.551436862888069,0.0286338517486137,0.687607925313586,0.000570125329615028,0.945496313247765,4.01234872929399e-06,0.0160119463290359,TRUE
ARMC7,0.230464442222857,5.91910646198996,4.06989574379603,0.000202896746133068,0.346776606514358,0.233524168330199,NS,NS,0.23082841733197,9.46327454382653e-05,0.276726689195032,NS,0.215380070863819,0.000487173037457615,0.574315011351377,0.232736758206631,0.0112320238442773,0.228273280381361,0.0109716812906248,0.312007932402938,6.52340590703137e-05,0.0392020959902313,TRUE
GOLM1,0.633925305359189,6.23459579414048,4.00517819253074,0.000247405175029291,0.346776606514358,0.0852233362982204,NS,Up,0.613576531941781,0.000125926576647522,0.276726689195032,NS,0.599194439104557,0.000562292354853706,0.574315011351377,0.274955070307184,0.0857687457591218,0.980075174873621,0.000502974390820505,0.833179077302928,6.6511712765748e-05,0.0392020959902313,TRUE
CDS2,-0.322261242785247,7.95033960655057,-3.8646350919001,0.000379093447133791,0.346776606514358,-0.234127427393431,NS,NS,-0.269846494839841,0.00124037686917637,0.276726689195032,NS,-0.298396657904215,0.000899665326312234,0.574315011351377,-0.54551906029736,0.000801938727236166,-0.106976918755713,0.112347313515792,-0.44142793827754,0.000215794241451744,0.0445429079079358,TRUE
GAS6,0.379168903523036,7.58497039121637,3.8619123275101,0.000382219366642631,0.346776606514358,-0.240275231688235,NS,NS,0.384198384186482,0.000168238295912323,0.276726689195032,NS,0.368651256042955,0.000698547571521814,0.574315011351377,0.227982448567512,0.108772070931219,0.524955842230149,0.000699071192710228,0.555018103058677,4.28331768092643e-05,0.0366284851971794,TRUE
CCT6B,-0.238304182605038,5.05934952319392,-3.79422991822374,0.000468445264816076,0.346776606514358,-0.392589466584128,NS,NS,-0.244274224579976,0.000194560957304461,0.276726689195032,NS,-0.258227587799688,0.000170728527781892,0.574315011351377,-0.11945190271329,0.19304570350012,-0.352911738214938,0.000359125971827275,-0.228915794769152,0.00854032686649702,0.0976530190901491,TRUE
ANXA5,0.390607851106892,8.27463668237362,3.78251653718573,0.000485162695041465,0.346776606514358,-0.418848086750212,NS,NS,0.378333682847448,0.000412012193756324,0.276726689195032,NS,0.362513532768355,0.00113032403822839,0.574315011351377,0.476379021372463,0.00943166114763229,0.307899936922235,0.0157753452877632,0.480679112143132,0.000340907346271538,0.0473983474317907,TRUE
ENPP1,-0.412829206937961,8.76358224552634,-3.77446765928939,0.000496982535221872,0.346776606514358,-0.436873968375635,NS,NS,-0.332918001692237,0.00126712436619795,0.276726689195032,NS,-0.395350242822696,0.000992283122194338,0.574315011351377,-0.628844455291108,0.0053066943646698,-0.204528788883141,0.00229532014689276,-0.52355861290478,0.000596478117937338,0.0489074677339726,TRUE
MEX3D,0.223167726628412,6.84319363032614,3.74309656483485,0.000545760442501738,0.346776606514358,-0.50699084556971,NS,NS,0.207323383141096,0.000567307854762668,0.276726689195032,NS,0.215168475625707,0.00102894265627012,0.574315011351377,0.282939348007234,0.0185216708330209,0.165530806013121,0.00748148772748567,0.295381369677573,0.000415858930222558,0.0473983474317907,TRUE
MRPS33,-0.334042795373639,6.75178884749369,-3.70611073560266,0.000609211033716163,0.346776606514358,-0.589364082225393,NS,NS,-0.317391499766159,0.000635554432360131,0.276726689195032,NS,-0.298856988719152,0.00151416669776972,0.574315011351377,-0.436803097954697,0.00835424016718769,-0.234952503599047,0.0290326145306149,-0.451630233739831,0.000393450838128642,0.0473983474317907,TRUE
ELF2,-0.309747086090967,6.48753083008721,-3.69963979634795,0.000621019517524008,0.346776606514358,-0.603742615342492,NS,NS,-0.251107082356005,0.00180088164621995,0.276726689195032,NS,-0.271608036473084,0.00153501741897473,0.574315011351377,-0.482685844610983,0.00455282695404996,-0.14298471180381,0.0182388610046554,-0.415889527562837,0.000366966003621006,0.0473983474317907,TRUE
ZNF253,-0.33980475872193,6.03879132942581,-3.68460517602616,0.000649312850973498,0.346776606514358,-0.637110936917451,NS,NS,-0.292009647344094,0.00139025929445387,0.276726689195032,NS,-0.301676441166834,0.00162099006772146,0.574315011351377,-0.51255692829874,0.00481922646086092,-0.173222309487151,0.0313256156982682,-0.408924206144031,3.96839525528696e-05,0.0366284851971794,TRUE
