pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_P53_PATHWAY,5.42638474168243e-10,2.71319237084122e-08,0.801215574617779,0.411468789268597,2.1824741034061,192,CDKN1A;AEN;SERTAD3;HMOX1;RAB40C;CDKN2B;ZMAT3;TRIB3;TSC22D1;IER5;PHLDA3;S100A4;PPP1R15A;UPP1;BAX;MXD4;IP6K2;DEF6;DDB2;H2AC25;IFI30;H1-2;PLK3;ABCC5;HRAS;FDXR;NOTCH1;TRAF4;CEBPA;EPS8L2;SEC61A1;IER3;STEAP3;SDC1;TGFB1;RALGDS;NINJ1;RHBDF2;WRAP73;CTSD;PERP;NUPR1;GADD45A;CD81;CCND3;RRAD;TRIAP1;EPHA2;PLXNB2;RACK1;RXRA;SLC3A2;SERPINB5;CDK5R1;HBEGF;HSPA4L;TCN2;KRT17;F2R;MDM2;BLCAP;EI24;DDIT4;CASP1;DDIT3;GPX2;DRAM1;BTG2;RPS27L;SOCS1;RPL18;JUN;NDRG1;OSGIN1;BTG1;PDGFA;PLK2;SAT1;CD82;PCNA;EPHX1;ATF3
HALLMARK_APICAL_JUNCTION,8.33518256860414e-07,2.08379564215104e-05,0.659444398037935,0.372207670117683,1.96002698956731,178,MAP4K2;ZYX;MMP9;RHOF;IKBKG;PLCG1;CLDN6;VAV2;NRTN;ACTN1;VASP;CLDN9;TSPAN4;ICAM4;RAC2;GAMT;PFN1;CDH15;HRAS;NRXN2;PKD1;MVD;ICAM2;CLDN7;SHC1;SORBS3;VCAN;MYH9;CDH1;SYMPK;CRAT;PCDH1;INPPL1;STX4;TAOK2;SKAP2;ARPC2;YWHAH;LAMB3;ICAM5;AKT2;GTF2F1;CDH4;THY1;MPZL1;HADH;GNAI2;TUBG1;NF2;CDH8;ACTA1;CTNNA1;FSCN1;CX3CL1;MSN;COL16A1;ICAM1;LAMA3;MDK;TMEM8B;PTK2;RRAS;INSIG1;LDLRAP1
HALLMARK_APOPTOSIS,2.3814370120473e-06,3.86088129258092e-05,0.627256739718528,0.380406097733904,1.96007356723554,156,TNFRSF12A;CDKN1A;CCND1;HMOX1;GUCY2D;CASP4;FEZ1;KRT18;PPP2R5B;BAX;GPX1;BCL2L11;PSEN2;FDXR;DNAJA1;IER3;BCL2L1;ADD1;SQSTM1;CASP9;CLU;IGF2R;MADD;GSR;EGR3;GADD45A;SMAD7;BCL2L10;LMNA;ISG20;RHOT2;CASP2;TSPO;AVPR1A;BRCA1;XIAP;GPX3;GPX4;RELA;DAP;ERBB2;IL6;PDGFRB;F2R;PTK2;CD14;CASP3;CASP1;IGFBP6;BIRC3;TIMP2;DIABLO;HSPB1;DDIT3;BTG2;PRF1;JUN;IFITM3;TNF;SPTAN1;EMP1;LGALS3;FASLG;SAT1;PLCB2;ATF3;TIMP1;EREG;F2;LEF1;DNM1L;CDK2
HALLMARK_CHOLESTEROL_HOMEOSTASIS,3.08870503406474e-06,3.86088129258092e-05,0.627256739718528,0.523136948310744,2.20794833303696,57,TNFRSF12A;ANXA5;TRIB3;STX5;MVK;TM7SF2;MVD;ABCA2;PNRC1;LDLR;CLU;SQLE;FASN;SREBF2;PLAUR;PMVK;S100A11;NSDHL;FADS2;AVPR1A;LGMN;ECH1;GLDC;DHCR7;HMGCR;PPARG;LGALS3;ATF3;ACTG1;JAG1;PCYT2;SCD
HALLMARK_HYPOXIA,2.30049933885548e-05,0.000230049933885548,0.575610261071129,0.333724791730917,1.77011169404121,192,CDKN1A;PLIN2;JMJD6;SERPINE1;HMOX1;HSPA5;TPST2;PFKP;S100A4;PPP1R15A;CCN1;GPC1;IGFBP3;TES;SAP30;HS3ST1;PIM1;CCN5;PFKL;HAS1;GAPDHS;IER3;MYH9;GPC4;KDELR3;FBP1;EDN2;PNRC1;TGM2;BHLHE40;GAPDH;PPFIA4;GPI;ACKR3;BCL2;PLAUR;ENO1;VHL;ISG20;HDLBP;GALK1;SDC4;SLC25A1;ENO3;LDHC;GAA;SCARB1;STC1;DPYSL4;HEXA;IL6;SDC2;COL5A1
HALLMARK_IL6_JAK_STAT3_SIGNALING,3.05066581994471e-05,0.000254222151662059,0.575610261071129,0.41525305507319,1.94933888988479,86,TNFRSF12A;HMOX1;INHBE;LTB;IL4R;IL17RA;IFNGR2;TNFRSF1A;STAT3;PIM1;PF4;ACVRL1;CSF1;TGFB1;PIK3R5;PLA2G2A;TYK2;CXCL1;IL10RB;LTBR;STAT2;CSF2;IL3RA;IL6;SOCS3;CD14;IL15RA;SOCS1;CXCL3;JUN;TNF;OSMR;CD36;DNTT;ACVR1B;MYD88;IRF9
HALLMARK_MYOGENESIS,6.54534553582587e-05,0.000467524681130419,0.538434096309916,0.31622471118102,1.68743460362634,196,CDKN1A;SGCA;HDAC5;KIFC3;PVALB;TPM2;MRAS;MYO1C;IGFBP3;FLII;PSEN2;NOTCH1;CFD;MYL4;LSP1;SORBS3;COL1A1;CACNA1H;MYH9;TGFB1;AGRN;SIRT2;CRAT;MYL7;BHLHE40;CLU;PPFIA4;TSC2;SH2B1;PDLIM7;SYNGR2;PICK1;COL4A2;ACSL1;DENND2B;BAG1;DES;AKT2;COL3A1;SPDEF;TNNI2;PLXNB2;ATP2A1;ENO3;FABP3;COL6A2;HBEGF;GAA;ACTA1;MYH3;GPX3;LAMA2;DMPK;MYBPC3;MYH7;SMTN;PC;MYL3;FXYD1;ACTN3;CAMK2B;BIN1;IGFBP7;AEBP1;ACHE;MAPRE3;SPTAN1;FOXO4;TAGLN;SLC6A8;TCAP
HALLMARK_UV_RESPONSE_UP,7.93726398784616e-05,0.000496078999240385,0.538434096309916,0.353436981562983,1.8193793420629,155,YKT6;JUNB;STIP1;DNAJB1;HMOX1;BSG;CDKN2B;NXF1;CLCN2;BCL2L11;PSMC3;HYAL2;H2AX;HLA-F;DNAJA1;HTR7;CYB5B;MGAT1;SQSTM1;WIZ;NKX2-5;PDAP1;PDLIM3;DGAT1;CDO1;CDC34;STK25;TST;MARK2;CCND3;RXRB;RET;CYB5R1;RRAD;ACAA1;FEN1;NR4A1;MMP14;GPX3;RPN1;CLTB;PRKCD;ICAM1;AP2S1;IL6;STARD3;EPCAM;FGF18;CASP3;AQP3;DLG4;BTG2;CNP;BTG1;SLC6A8;FURIN;KLHDC3;TUBA4A;EPHX1;ATF3;NPTXR;E2F5;CTSV;CDK2;FOS;FMO1
HALLMARK_TGF_BETA_SIGNALING,0.00016172928447953,0.000898496024886276,0.518848077743792,0.474407547472341,1.98200314914843,53,JUNB;SERPINE1;SMAD6;PPP1R15A;CDK9;IFNGR2;ID1;ENG;TGFB1;CDH1;RHOA;PPP1CA;SKIL;SMAD7;NCOR2;UBE2D3;SMAD3;XIAP;HDAC1;SMAD1;ID3
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.000204523006807597,0.00102261503403799,0.518848077743792,0.309508003525754,1.64899446117081,195,CDKN1A;CCND1;JUNB;SERPINE1;TSC22D1;IER5;PPP1R15A;CCN1;PLAU;ETS2;IFNGR2;SPSB1;CSF1;IER3;MSC;PNRC1;LDLR;NINJ1;BCL3;BHLHE40;SQSTM1;NFKBIE;G0S2;IER2;KLF2;ACKR3;EIF1;LITAF;EGR3;GADD45A;CXCL1;PLAUR;SLC2A6;IL23A;LAMB3;TRIP10;NFKB2;SDC4;EHD1;BCL2A1;TNFAIP2;SMAD3;CCL5;SERPINB8;HBEGF;NR4A1;KDM6B;PHLDA2;TNC;TNIP1;RELA;RELB;CSF2;ICAM1;IL6;SOCS3;SLC16A6;DUSP2;MAP2K3;SGK1;BIRC3;MAFF;DRAM1;BTG2;IL15RA;CXCL3;HES1;JUN;INHBA;TNF;BTG1;PLK2;CXCL6;SAT1;ATF3;VEGFA;GEM;CEBPB;EGR1;TRIB1;CCRL2;JAG1;FOS
