pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,0.00932592880802835,0.483461014746704,0.380730400722792,0.55569666384232,1.82994298481508,19,KDELR1;KDELR3;TMED9;TMED3;ARF1;ARCN1;COPZ2;GBF1;COPG1
KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119,0.0181418136526671,0.483461014746704,0.352487857583619,0.476253595874582,1.64695508029224,23,PHC2;PCGF2;ASXL2;CBX4;SCMH1;HCFC1;FOXK2
KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS,0.0244446580489907,0.483461014746704,0.352487857583619,-0.500596964017266,-1.59480330295133,18,PIGN;PGAP1;PIGF;PIGB;PIGK;PIGV;PIGA;PIGO;PIGP;PIGL
KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA,0.0157650796391183,0.483461014746704,0.352487857583619,-0.484918222065769,-1.70916505856284,25,NUP43;NUP88;NUP205;NUP133;NUP160;NUP58;NUP54;SRSF7;NXT2;NUP107;NUP155;NCBP1;RANBP2;NDC1
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY,0.0112081779952045,0.483461014746704,0.380730400722792,0.549075645736717,1.80813956862952,19,PLCG1;VAV2;ZAP70;LAT;GRAP2;CD247
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY,0.0121375670916516,0.483461014746704,0.380730400722792,0.471449636812556,1.71102151837955,27,CLDN6;CLDN9;CLDN7;ARPC5;CTTN;ARPC2;ARPC1B;ARPC1A;CLDN3;ARPC5L;CLDN1;CLDN11;CLDN5;CLDN16;ACTG1
KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY,0.0184583184904113,0.483461014746704,0.352487857583619,-0.554914033385535,-1.7113139666127,16,TRAF6;IFNA10;IFNA2;IFNA16;IFNA13;TLR8;TLR7;IFNA5;IFNA21
KEGG_MEDICUS_REFERENCE_TNF_P38_SIGNALING_PATHWAY,0.023298535781182,0.483461014746704,0.352487857583619,0.484283777731275,1.64570173331314,21,ATF4;TNFRSF1A;CREB3;TRAF2;TRADD;RPS6KA4;MAP2K3;RIPK1;TNF;CREB3L2
KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY,0.0243571475520111,0.483461014746704,0.352487857583619,0.467288871134364,1.59953766647413,22,CACNA1A;CACNA1H;CASP9;SLC25A5;CACNA1B;CACNA1F;CASP3;SLC25A6;CACNA1C;VDAC1;CACNA1I;CACNA1G;CACNA1D
KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,0.0322853178249287,0.574678657283731,0.321775918075361,0.468327725950444,1.56508081248198,20,PFKP;PFKL;GAPDH;GPI;ENO1;ENO3;LDHC;PKM
KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY,0.130784708249497,0.705763995739141,0.173747838999571,0.356587997343715,1.27375464853501,26,ATF4;GNB5;CREB3;GNB2;RHOA
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY,0.106639839034205,0.705763995739141,0.193813302725311,0.370168543394072,1.32226520915439,26,IKBKG;GNB5;GNB2;PIK3CD;AKT1;AKT2;RELA;IL6;GNG7;GNG11
KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY,0.123260437375746,0.705763995739141,0.178219874951973,0.397151442240879,1.32722037893292,20,GNB5;RAC2;RAC3;GNB2;CFL1
KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_AKT_SIGNALING_PATHWAY,0.108870967741935,0.705763995739141,0.191892240384838,0.422480805468149,1.36109323304266,18,GNB5;GNB2;PIK3R5;AKT1;AKT2;GNG7;GNG11
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.123732251521298,0.705763995739141,0.179782316298324,0.358207616598806,1.30995272617525,28,CYTH2;ARPC5;ARPC2;ARF1;PIK3CD;ARPC1B;ARPC1A;CYTH3;CYTH4;ARPC5L
KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.10337972166998,0.705763995739141,0.195789002148949,0.371809873929307,1.3494011774835,27,CYTH2;ARPC5;ARPC2;ARF1;PIK3CD;ARPC1B;ARPC1A;CYTH3;CYTH4;ARPC5L
KEGG_MEDICUS_REFERENCE_ACTH_CORTISOL_SIGNALING_PATHWAY,0.115308151093439,0.705763995739141,0.184706471207739,0.364707743729987,1.32362557676499,27,ATF4;NR5A1;CREB3;POMC;GNAS;NR4A1
KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,0.0809716599190283,0.705763995739141,0.224966093540314,0.412417231227501,1.41171112004009,22,BORCS6;PLEKHM2;KIF5B;KLC2;TUBA3C;TUBB4B;TUBB1;TUBA4A;KIF5C;KXD1;KLC1;TUBA1A;TUBA1C
KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.080082135523614,0.705763995739141,0.227987202850442,0.405024244026918,1.4006334904762,23,CYTH2;ARPC5;ARPC2;ARF1;ARPC1B;ARPC1A;CYTH3;CYTH4;ARPC5L
