pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,2.53401708129086e-07,0.000272913639655026,0.674962860011025,0.599807916605657,2.4448410873164,43,WIPI1;PREB;HSPA5;XBP1;EXTL3;PPP2R5B;ZBTB17;ATP6V0D1;SHC1;KDELR3;ADD1;GFPT1;CUL7;CXXC1;ARFGAP1;LMNA;YIF1A;SERP1;ACADVL;MYDGF;EDEM1;GOSR2;WFS1;SRPRA;HYOU1;DCTN1
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_PIWI_INTERACTING_RNAS_PIRNAS,3.98935480571499e-06,0.00182159230829343,0.610526878385931,0.472977643549578,2.13127949013884,72,GATAD2A;BCL7B;H2BC11;H4C8;H3C8;H2AX;H2AC14;SMARCC2;MBD3;H2BC10;H4C2;RBBP4;SMARCB1;BCL7C;DPF2;H4C13;DPF1;H2AC6;H3-3B;HDAC1;ARID1A;H2BC12;H4C6;SMARCA4;H3C10;H2BC5;H2AZ2;H4C1;H4C9;SMARCD3;H2BC8
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,5.07407328215441e-06,0.00182159230829343,0.610526878385931,0.522126860012113,2.2328593938101,54,CCND1;PRMT1;H2AC25;H4C8;H3C8;H2AX;H2AC14;RPS2;SMARCC2;PRMT7;H4C2;SMARCB1;CARM1;H4C13;H2AC6;H2AC15;H2AC13;ARID1A;H4C6;SMARCA4;H3C10;H2AZ2;WDR77;H4C1;H4C9;SMARCD3
REACTOME_NEUTROPHIL_DEGRANULATION,2.5569772212198e-05,0.00550772893450746,0.575610261071129,0.276007583866242,1.60167910788768,396,HBB;TMC6;MMP9;RHOF;STK10;S100A9;PYCARD;LPCAT1;TOLLIP;ADGRE5;AGPAT2;NBEAL2;LYZ;PLAU;FOLR3;HMOX2;PTGES2;PLEKHO2;RAB3D;TSPAN14;PSMC3;EEF2;PYGB;DYNC1H1;FPR1;TCIRG1;ACLY;PFKL;CFD;ARPC5;MVP;CHI3L1;FCN1;CTSZ;ARHGAP45;ARSA;XRCC6;TOM1;RHOA;TMEM63A;RHOG;FTH1;HSPA8;PDAP1;IGF2R;SLC11A1;GPI;CTSD;ATP6V0C;ITGB2;DGAT1;TMBIM1;CYBA;VCP;KCNAB2;CYB5R3;CXCL1;PLAUR;DSN1;NEU1;DOK3;PTPN6;MMP25;ACTR1B;IMPDH1;MNDA;S100A11;GRN;PGLYRP1;FGR;C5AR1;SERPINB6;ACAA1;QSOX1;CTSA;BST2;TYROBP;ITGAX;PSAP;SERPINB1;PSMD7;GAA;SIGLEC9;TUBB4B;PKM;AP2A2;PRKCD;HSP90AB1;PSMD2;LILRB2;PTAFR;GSTP1;QPCT;RAB5C;CEACAM3;RAB5B;CST3;MAN2B1;LAIR1;C1orf35;CD14;HK3;DYNC1LI1;ITGAL;S100A7;TIMP2;ILF2;GYG1;S100A8;CHIT1;CXCR2;RNASET2;P2RX1;PRG3;CALML5;ADGRG3;APRT;TRPM2;ADA2;CAPN1;ATP11A;OLFM4;PRDX4;OSTF1;CAP1;GLA;SPTAN1;NFASC;ADAM8;LGALS3;CSTB;AZU1;EPX;PRSS3;RAB6A;SLC2A5;VNN1;PRTN3;GSDMD;PSMD3;RAP1B;CD36;CSNK2B;FCAR;AHSG
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,2.21727060004869e-05,0.00550772893450746,0.575610261071129,0.454516942039476,2.03883105767554,70,CDKN1A;SPI1;H2BC11;H4C8;H3C8;H2AX;STAT3;H2AC14;CEBPA;H2BC10;CEBPE;H4C2;MYB;H4C13;H2AC6;RXRA;H3-3B;TAL1;H2BC12;H4C6;H3C10;H2BC5;H2AZ2;H4C1;H4C9;H2BC8;E2F1;H3C1;H3C11;LEF1;CEBPB;CDK2;H2BC9;H2AJ
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,3.08590917430832e-05,0.00553920696788344,0.557332238758646,0.317527412970381,1.74472803732013,233,GAS6;ANXA5;MPIG6B;SERPINE1;HSPA5;VAV2;DGKQ;PIK3R2;CRK;LGALS3BP;MANF;ACTN1;PRKCG;ABHD6;GNB5;LAT;CTSW;GNA11;RAC2;GNA12;PFN1;GNB2;PF4;PRKCZ;CFD;VEGFB;SHC1;COL1A1;TGFB1;DGKZ;FLNA;PIK3R5;RHOA;RHOG;CFL1;CLU;VTI1B;ADRA2C;STX4;MGLL;GP1BA;APOA1;GP9;TOR4A;ADRA2B;AKT1;STXBP2;PTPN6;WDR1;CYB5R1;PRKCE;QSOX1;CSK;MAGED2;PSAP;GNAI2;AAMP;MAPK3;RARRES2
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION,4.62420158924196e-05,0.00711466444516227,0.557332238758646,0.494499320387885,2.11471107373251,54,GATAD2A;H2BC11;H4C8;H3C8;H2AX;H2AC14;MBD3;H2BC10;H4C2;RBBP4;H4C13;H2AC6;EHMT2;H3-3B;HDAC1;H2BC12;H4C6;H3C10;H2BC5;H2AZ2;H4C1;H4C9;H2BC8;H3C1;H3C11;H2BC9;H2AJ
REACTOME_CHROMATIN_ORGANIZATION,6.18622495841755e-05,0.00832820535026962,0.538434096309916,0.306589770748001,1.67621244215127,231,CCND1;PRMT1;JMJD6;GATAD2A;KMT5A;KAT8;BCL7B;H2AC25;H2BC11;H4C8;SGF29;SAP30;H3C8;H2AX;PRDM16;SETD1A;EP400;H2AC14;RPS2;USP22;SMARCC2;PRMT7;MBD3;H2BC10;DOT1L;HCFC1;H4C2;PADI4;MCRS1;RBBP4;SMARCB1;BCL7C;CARM1;DPF2;H4C13;RUVBL2;DPF1;H2AC6;EHMT2;NCOR2;NFKB2;H2AC15;KAT2A;NSD2;BRD1;JADE2;MRGBP;KDM6B;H2AC13;DR1;HDAC1;ARID1A;ATXN7;RELA;BICRA;H2BC12;RCOR1;ING4;H4C6;ELP5;SMARCA4;H3C10;SUV39H2;H2BC5;H2AZ2;WDR77;KDM4A;H4C1;HMG20B;H4C9;SMARCD3;TAF10;H2BC8;YEATS2;KDM4B;SMYD3;ELP6;BRMS1
REACTOME_DISEASES_OF_DNA_REPAIR,0.000287533175345441,0.0173693744695773,0.49849310876659,-0.495885939348051,-2.03798217704575,44,OGG1;RMI1;NBN;RAD17;MRE11;RFC5;RFC3;RAD50;HUS1;TOPBP1;PALB2;BRIP1;NEIL3;RPA3;EXO1;WRN;ATM;BLM;RFC4;MLH1;RBBP8
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA,0.000188053176248233,0.0173693744695773,0.518848077743792,-0.548525555544706,-2.08984625499037,32,RMI1;NBN;RAD17;MRE11;RFC5;RFC3;RAD50;ERCC4;HUS1;TOPBP1;BRIP1;RPA3;EXO1;WRN;ATM;BLM;RFC4
