gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
CD226,-0.0830815520352481,4.20721758993961,-4.46627475558289,0.000217681570512772,0.563219959425425,0.673670823607899
DDX52,-0.0769427405906158,5.03891253827711,-4.17709154266502,0.000433168392220914,0.563219959425425,0.0786910121254687
LIG4,0.0982589833979691,4.48668473204785,4.08060320643322,0.000545022801053943,0.563219959425425,-0.120306213720672
NOD2,-0.058570374333634,3.8813449936125,-3.83409350972436,0.000979328822199898,0.563219959425425,-0.628511915000722
CCKBR,-0.104474590469984,5.62213101412407,-3.69772950735597,0.00135289272514237,0.563219959425425,-0.90884676019547
TUBB2A,-0.200509826218594,8.02924546930861,-3.62508799768641,0.00160625775645493,0.563219959425425,-1.05774952569459
CXCR6,0.109852752896153,5.52564186573971,3.62412095490784,0.00160992849171354,0.563219959425425,-1.05972930768728
FOLR3,0.0874165265721283,5.99131563870542,3.53861227030705,0.00196940010462474,0.563219959425425,-1.23449044773448
LEP,-0.0474455220339274,4.04287138541465,-3.53515953300541,0.0019854660310639,0.563219959425425,-1.2415338489408
PLAC4,-0.0935259949396666,6.39508679157111,-3.52695806824944,0.00202414677967323,0.563219959425425,-1.25825997138164
CHML,-0.0706334997378703,3.80743960113692,-3.52551971607288,0.00203100647078429,0.563219959425425,-1.26119270753366
CAMTA1,-0.0687905389643819,3.77281659476776,-3.51802222415904,0.00206713475346811,0.563219959425425,-1.27647658558227
CLGN,-0.0674392205521291,3.34770449790184,-3.47901834215485,0.00226551659923434,0.563219959425425,-1.35589833249894
LIAS,0.0996017022836948,4.04276525315775,3.46488544520481,0.00234191905100772,0.563219959425425,-1.38463809078823
DPF2,0.0971915977956816,6.76252566943033,3.4570093283427,0.00238558868522148,0.563219959425425,-1.40064523158277
ACKR2,-0.0833408175010104,5.90686060760509,-3.45426673383282,0.00240098191513483,0.563219959425425,-1.40621760780154
LAMA2,0.121220969283449,5.00603164669314,3.42914779648092,0.00254657402810304,0.563219959425425,-1.45721526753661
