gene,module,GS_T2D,GS_p,MM_green,MM_blue,MM_turquoise,MM_grey60,MM_brown,MM_yellow,kME_own,hub
A1CF,brown,-0.296823766545231,0.0665125747762552,0.375822819700411,-0.253443572852564,-0.119301063690963,0.590611220836187,0.43024037324178,0.106913543297147,0.43024037324178,FALSE
A2M,magenta,0.106439995418275,0.518974651147237,0.134902856076086,-0.276741281144066,-0.165516912240845,0.104582042290401,0.2756641224454,0.206702551237858,0.51114174691549,FALSE
A4GALT,blue,0.141598448002883,0.389868529460977,-0.349941469819759,0.602282237659523,0.233325955124934,-0.0641215499785195,-0.579183942430559,-0.484175034680258,0.602282237659523,FALSE
A4GNT,green,-0.180909647409688,0.270397651249667,0.41348413634726,-0.306549842965922,-0.471548459910418,0.0317301610346007,0.105575404376138,0.260805795660582,0.41348413634726,FALSE
AAAS,turquoise,0.0827753273584608,0.61638919990265,-0.459539570127914,0.56167503536407,0.621312722567286,-0.0831515798701731,-0.396490883568895,-0.25407872277232,0.621312722567286,FALSE
AACS,turquoise,0.201012277699927,0.219803734382489,-0.0556609620385885,0.0276940079865426,0.2084544999733,-0.304816008093898,0.105533958597086,0.238365720677282,0.2084544999733,FALSE
AADAC,lightcyan,-0.253868797844718,0.118877855839969,0.100006414278396,-0.189869990433025,0.180548549758784,0.487505926957358,0.376705270027051,0.122791255486558,0.696093794017889,FALSE
AAGAB,yellow,0.314253797448481,0.0513743662748075,-0.0918453130911298,-0.137089967109679,0.163750248275726,-0.345363199839437,0.115431994589388,0.480642476623901,0.480642476623901,FALSE
AAK1,black,0.107152614304082,0.516164156984691,-0.122133625755033,0.184065500430373,-0.0468727280387709,-0.30739068690456,-0.299069436740415,0.0355649860027859,0.464646283239652,FALSE
AAMDC,grey60,-0.315499955733061,0.0504080419175743,0.221000396787243,-0.0711149790410617,0.000847649791763695,0.534127043299597,0.168227190674149,0.036212969614101,0.534127043299597,FALSE
AAMP,turquoise,0.173208934054886,0.291657538666705,-0.694786814852818,0.627276425993428,0.824796220580031,0.0247425578809369,-0.411419254018676,-0.425233742762413,0.824796220580031,FALSE
AANAT,grey,-0.10736642183017,0.515322400990676,-0.135843504687454,0.123258593290037,0.107093497306319,0.167988938913434,-0.169498709661571,-0.183249451688893,,FALSE
AAR2,turquoise,0.272277956439078,0.0935615599228676,-0.459219281896254,0.295757606649701,0.609836247721659,-0.385194431668673,-0.149037944138943,0.054964133255383,0.609836247721659,FALSE
AARS1,turquoise,0.213847584547044,0.191141574816141,-0.549046720663658,0.455058121705756,0.675207771901537,-0.197718910077836,-0.248560392257378,-0.304776913539551,0.675207771901537,FALSE
AASDHPPT,brown,-0.0984757658230406,0.550891427504019,0.314217335821264,-0.472415328216412,-0.120050978726849,0.11013988071911,0.52440457872974,0.404429863945098,0.52440457872974,FALSE
AASS,grey60,-0.218790718527005,0.180840372162367,0.224328239887304,0.0670290547176487,-0.175361631608264,0.765854257555103,-0.105940699928701,-0.201853364699466,0.765854257555103,TRUE
AATF,turquoise,0.13794004505282,0.402355401812467,-0.583205561923567,0.47244291823528,0.727716262203734,-0.0971264940138126,-0.279584380320053,-0.189908490740762,0.727716262203734,FALSE
