module,size,Zsummary,medianRank
black,715,15.0249947565774,16
blue,1000,13.7246428259866,20
brown,1000,34.428941439612,13
cyan,178,20.1449444013143,9
darkgreen,37,9.86964611504589,5
darkred,64,6.30381017834155,14
green,860,16.414800084534,16
greenyellow,227,28.9562134339873,3
grey60,98,19.0180312796123,5
lightcyan,112,15.1244175873365,4
lightgreen,90,14.995544885225,5
lightyellow,80,10.7322130766039,8
magenta,370,33.0184623510107,9
midnightblue,151,18.9062990282297,10
pink,410,9.90669469815367,17
purple,320,8.73888971422457,18
red,833,1.94186029074298,22
royalblue,66,9.85864067687145,10
salmon,187,19.6756774940532,9
tan,208,28.462193754136,4
turquoise,1000,13.6698062949766,19
yellow,1000,14.8235200032613,18
