module,size,r_T2D,r_Obese,r_Group,r_Dataset,r_HbA1c_GSE15653,p_T2D,p_Obese,p_Group,p_Dataset,p_HbA1c_GSE15653
lightgreen,90,-0.221138231750506,-0.286303452404349,-0.28902267805692,0.031827630834328,-0.219693472582105,0.176089265238544,0.0772298741627288,0.0743385486761464,0.847471801534071,0.381063740693055
midnightblue,151,0.0353117692402208,0.154893269155709,0.105910938864307,-0.00841081561426237,-0.289999555827985,0.831004394661947,0.346430537175835,0.521066084227564,0.959471010089882,0.243075508229528
black,715,-0.177838965807029,-0.230016341315867,-0.232306508585764,0.0257916310762513,-0.392276111649279,0.278749560450184,0.158928108421126,0.154705265052179,0.876148087592142,0.107372568060415
magenta,370,-0.0794422011402215,-0.194067457829563,-0.153757351384641,0.0194941618681906,-0.173697745293174,0.630704131828514,0.236486342509502,0.350021870642069,0.906233128263743,0.490634513121024
yellow,1001,-0.271789328222021,-0.116177047251698,-0.226206190911833,0.0574507478747251,-0.429936606151773,0.0941749814841921,0.481239354651215,0.166137923997235,0.728295436519133,0.0749458713502238
brown,1308,-0.272845329976721,-0.340623900642309,-0.349692863475999,0.0629217437172562,-0.317450632597356,0.0928531424716878,0.0338461715483547,0.02909512947384,0.703545400226553,0.199263671844823
cyan,178,-0.0145893208132116,0.0213931971725786,0.00298097682946338,0.0168247126497536,-0.0660569729573465,0.929757018127196,0.897145291016889,0.985630457314189,0.919027453227268,0.794539796373099
green,860,-0.437278962564239,-0.613055705837454,-0.597195642383533,0.0918586354475128,-0.43168108140929,0.00537537604658698,3.33806760342872e-05,5.98276378408985e-05,0.578094024473117,0.0736434144181469
purple,320,-0.19864440261786,-0.429166880605771,-0.353763121686184,0.0532078527837673,-0.418696798329315,0.225398178621113,0.00640525068696166,0.0271493764291671,0.74768002559931,0.0837476950729255
red,833,-0.172329154739628,-0.223068033261301,-0.225206649049615,0.0185696340153111,-0.432783167352654,0.294153097823996,0.172250918835408,0.16806776018738,0.910661794473638,0.0728292271329622
royalblue,66,0.0611345790757864,0.00331685546526716,0.0383930598648539,-0.0107417846471947,-0.35563132630076,0.711598660146273,0.984011580487463,0.816499820515779,0.948252300057003,0.147519844109559
salmon,187,0.016958069715758,0.00902640821433201,0.0150869683139014,-0.00221489753491654,0.116599851200492,0.918387785999767,0.956507391788963,0.92736725412054,0.989323028831294,0.644975155757585
grey60,98,-0.286966744555379,-0.399271574522644,-0.390243683604511,0.0538325821238052,0.156582964499598,0.0765166318129279,0.0118014340263274,0.01404787814997,0.744815865340513,0.53494242805129
darkgreen,37,-0.140020600025207,0.0311303634982252,-0.0667361944092649,0.0243143324359475,0.25007191308526,0.395226087071536,0.850775275951369,0.686464069616745,0.883191807104215,0.31691529951173
darkred,64,-0.0233664950238959,0.21919109984778,0.105997584519905,0.00993585976049761,0.293988237390608,0.887715772295064,0.180023657290548,0.520723277398973,0.952130128411753,0.236359198251317
lightcyan,112,-0.175785854107496,-0.0901982514494898,-0.154546266350109,0.0384022996207281,0.143061649332593,0.284426647620711,0.585013537565293,0.347525231362641,0.816456414136761,0.571182267093243
greenyellow,227,0.230510636864256,0.217171574175033,0.256789770488145,-0.0418473304106631,0.368807933562313,0.158009675190764,0.18417007032591,0.114549970516067,0.800311091644745,0.132049809346764
tan,208,0.247156471182968,0.348670503780751,0.338727370728334,-0.0440844079453349,0.420636926584247,0.129287449269462,0.0296015273119446,0.034916019923605,0.789870104464895,0.0821769794731779
pink,410,0.215786944750774,0.278359494633378,0.281472679257002,-0.0609755093176835,0.354013349986938,0.187051827023101,0.0861814195077618,0.0825822328449711,0.712316967472304,0.149501932453271
turquoise,2065,0.306730867216254,0.512569553230191,0.464084387376608,-0.0583392601135195,0.363608556415417,0.0575279993369185,0.000849413548635926,0.00292079127724756,0.724256634130792,0.13801220950855
blue,1546,0.334926752068851,0.355461989965923,0.394958776381682,-0.0676987364009815,0.388904787079356,0.0371433256881591,0.0263697302520825,0.0128332523781086,0.682177505605274,0.110697498748934
lightyellow,80,0.00137070350526206,-0.0180422777727739,-0.00905564410648634,-0.0106029323721706,0.339444494862466,0.993392371436376,0.91318913333978,0.956366656844582,0.948920327255488,0.168178559395944
