Power,SFT.R.sq,slope,truncated.R.sq,mean.k.,median.k.,max.k.,R2
1,0.0725612767094049,-0.995650892948431,0.878006840105983,1257.43126573692,1228.25947015913,2229.95252551908,0.0725612767094049
2,0.485851484953119,-1.45718326406294,0.921674758698016,399.450220286013,358.409864021055,1010.37803672947,0.485851484953119
3,0.710085331870434,-1.88669216485102,0.953245519494519,157.51577657894,126.586116834564,576.309107030075,0.710085331870434
4,0.781723640577482,-2.01985434697796,0.970135922261894,71.2914498106572,50.5662326264851,358.477543142403,0.781723640577482
5,0.814531581628963,-2.07646363754911,0.979949481601141,35.5746611358634,21.8826052588429,236.32431570155,0.814531581628963
6,0.833680597815449,-2.12031057834986,0.983568804977109,19.1055115708727,10.1457056482537,162.500684352577,0.833680597815449
7,0.83586518115772,-2.15362713738061,0.985113102228595,10.8693354903393,4.96155434318025,115.39554827699,0.83586518115772
8,0.854071308629858,-2.12793312360074,0.99169882206354,6.4783167102929,2.5355077420011,84.0673186496982,0.854071308629858
9,0.834539790600795,-2.18996001146352,0.982221050700293,4.01261235224851,1.35042481455202,62.5370510865484,0.834539790600795
10,0.847896708175453,-2.1523408371455,0.984519378015048,2.56716733619743,0.732431510895659,47.3400559949106,0.847896708175453
12,0.869729562511996,-2.08700483546222,0.990573738307392,1.13748836255312,0.23819420520781,28.3073836263132,0.869729562511996
14,0.887781059828783,-2.02254001076692,0.995165773895151,0.54840351384829,0.0839654278958401,17.7122961578208,0.887781059828783
16,0.898848296337339,-1.9835230908102,0.998910149927223,0.282536575231502,0.0314707694304072,11.4892413585186,0.898848296337339
18,0.910426520598771,-1.93222882937681,0.996037932399121,0.153603578808462,0.012604172271262,7.67726110439403,0.910426520598771
20,0.915096330970231,-1.89732016928423,0.988667989163226,0.0873183587785894,0.00522245395775367,5.26109107431318,0.915096330970231
22,0.902926264263828,-1.87678834297098,0.95725398309854,0.0515467920604745,0.00223769230956727,3.68516836178551,0.902926264263828
24,0.433491594735848,-2.32803513864314,0.362497192840486,0.0314329004502037,0.000984979840110367,2.63167281782357,0.433491594735848
26,0.438514164404108,-2.27201461969165,0.36576893790816,0.0197166339859209,0.000443685868731558,1.9120313170754,0.438514164404108
28,0.443461364928731,-2.22777610351989,0.369316533043711,0.0126788234810015,0.000200979410865054,1.41087508811618,0.443461364928731
30,0.448567288437102,-2.18733051178203,0.375316704617237,0.00833527520097738,9.32299140343762e-05,1.05574280363361,0.448567288437102
