gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig,sig_fallback,logFC_paper,adjP_paper,sig_paper,logFC_GSE15653,P_GSE15653,logFC_GSE64998,P_GSE64998
MCCC1,-0.344044097962358,8.19058016139891,-4.30348979754535,0.000103003955834148,0.174996989849544,1.11044342400493,NS,NS,-0.299953600593888,0.205292043738746,NS,-0.650226535343307,0.000177142754004912,-0.13367881756113,0.0491770122657972
MBNL3,-0.336865042781096,7.44747224658388,-4.26216363039343,0.000117046548395954,0.174996989849544,1.0041380570345,NS,NS,-0.330505356451866,0.155511388380583,NS,-0.439257135038444,0.00220233901544229,-0.261321308953136,0.0119722297399201
HBB,1.24817770682641,9.26316264824064,4.2599315700541,0.000117856072760153,0.174996989849544,0.998404814517206,NS,Up,1.27933426702891,0.155511388380583,NS,0.924887103416415,0.0862540367237341,1.44431119222762,0.000223378792504022
PIK3C2G,-0.427146331549143,7.16451458245469,-4.19346806747407,0.000144632950266045,0.174996989849544,0.828096517816461,NS,NS,-0.379535635087635,0.205292043738746,NS,-0.724633496082983,0.000659989997361429,-0.222885903044315,0.0222770668467367
LDLRAP1,0.31444261090137,6.95697994901201,4.17696870906907,0.000152150635818491,0.174996989849544,0.785944075928488,NS,NS,0.314091741328768,0.155511388380583,NS,0.333293756255564,0.0192934474425749,0.315167124458612,0.0016465304134046
CTNNA3,-0.444875276877311,5.90452638620464,-4.13364375146823,0.000173752165802292,0.174996989849544,0.675506221226083,NS,NS,-0.444713332164795,0.155511388380583,NS,-0.361482549411591,0.0261711723636295,-0.489306848669116,0.00382579311077793
TM2D1,-0.424718646657234,5.77526508010592,-4.07744466181099,0.000206268230276709,0.174996989849544,0.532807105701958,NS,NS,-0.365331990064695,0.205292043738746,NS,-0.729018140969277,0.00130258912102289,-0.21600077168838,0.0191830968293751
ABCA7,0.367509961821117,5.37072986400245,4.02497157005856,0.000241931281063583,0.174996989849544,0.400161858681078,NS,NS,0.332820789492716,0.205292043738746,NS,0.560864768236585,0.00466075519535797,0.24665016003383,0.00798652787887125
ABCA8,-0.597060272252446,8.3778975303049,-3.96778411200341,0.00028762634134611,0.174996989849544,0.256283525533107,NS,Down,-0.528743088507426,0.205292043738746,NS,-0.998113832657744,0.00181690741382952,-0.370909807866902,0.00489866532598949
CDKN1A,0.633003984324803,6.66675256990885,3.95917621822485,0.000295193135981004,0.174996989849544,0.234690752762595,NS,Up,0.640515451025387,0.161372137653891,NS,0.602665941342425,0.0701473724233758,0.67104168397824,0.000171396635970853
