pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,0.000453019161893709,0.0489260694845205,0.49849310876659,0.636685926521387,2.02072444842815,19,KDELR3;TMED9;ARF1;TMED3;COPZ2;KDELR1;COPG1;GBF1;ARCN1;COPE
KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA,0.00761817082420039,0.411381224506821,0.407017918923954,-0.51656228716937,-1.7799026913193,21,NUP43;NUP107;NUP205;NUP88;NUP133;SRSF7;NUP160;NUP54;SEH1L;RANBP2
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.020999507596112,0.495158089966193,0.352487857583619,0.495595156116397,1.64400248729008,22,CYTH2;ARPC1B;ARF1;PIK3CD;CYTH4;ARPC5L;ARPC2;ARPC5;ARPC1A
KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.0316825600795523,0.495158089966193,0.321775918075361,0.483057783223228,1.60241315380673,22,CYTH2;ARPC1B;ARF1;PIK3CD;CYTH4;ARPC5L;ARPC2;ARPC5;ARPC1A
KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.0427350427350427,0.495158089966193,0.287857117255149,0.476253393184483,1.53199225597892,20,CYTH2;ARPC1B;ARF1;CYTH4;ARPC5L;ARPC2;ARPC5;ARPC1A
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY,0.0505314645514672,0.495158089966193,0.321775918075361,0.419141949068937,1.48154481546493,28,STAT3;IL4R;IFNGR2;PIM1;IL2RB;EPO;JAK3;IL23A;STAT2
KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY,0.0234302907610009,0.495158089966193,0.352487857583619,0.532392601771185,1.60380875006271,16,AKT1;RPS6KB2;FGFR4;AKT2;PIK3CD;FGFR3;FGF21;FGF18
KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,0.0210725584775718,0.495158089966193,0.352487857583619,0.537797606518864,1.62009108358804,16,PFKL;GAPDH;PFKP;GPI;ENO1;ENO3
KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY,0.0496575342465753,0.495158089966193,0.266350657088526,0.452454394388102,1.47983718383064,21,RAC2;CREB3;ATF4;CYBA;PIK3CD;MAPK3;PRKCD
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY,0.0335684166504618,0.495158089966193,0.321775918075361,0.453711527468412,1.51729328404844,23,CTTN;CLDN7;ARPC1B;CLDN9;CLDN4;CLDN3;ARPC5L;ARPC2;ARPC5;CLDN5;ARPC1A
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY,0.0550175655517992,0.495158089966193,0.321775918075361,-0.396822179068322,-1.46919763612,26,FZD5;TCF7L1;DVL3;FZD4;APC;LRP6;WNT10B;GSK3B;WNT5A;TCF7L2;WNT2
KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY,0.0533313246294579,0.495158089966193,0.321775918075361,-0.413899074670451,-1.50618986118613,25,FZD5;TCF7L1;DVL3;FZD4;APC;LRP6;WNT10B;GSK3B;WNT5A;TCF7L2;WNT2
KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,0.0663176265270506,0.511593118922962,0.231126709673834,0.482729412108146,1.49230940186296,17,BORCS6;KLC2;PLEKHM2;TUBB4B;KIF5B;TUBA3C;KXD1
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY,0.0620689655172414,0.511593118922962,0.237793834423688,0.466572184519768,1.48081460723783,19,VAV2;PLCG1;ZAP70;CD247;LAT;GRAP2;VAV1;LCK
KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY,0.0758620689655172,0.546206896551724,0.213927855492356,0.470214564994572,1.46779469576007,18,IKBKG;GNB2;AKT1;AKT2;PIK3CD
