pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,3.71224997185173e-08,3.40042097421618e-05,0.719512826338911,0.644334600297505,2.54401265587954,39,EXTL3;PREB;HSPA5;ATP6V0D1;XBP1;KDELR3;HYOU1;ZBTB17;GFPT1;PPP2R5B;GOSR2;SHC1;CUL7;ADD1;YIF1A;ARFGAP1;CXXC1;WFS1;PDIA6;LMNA;MYDGF
REACTOME_HEMOSTASIS,2.71262222657596e-05,0.00566120647372761,0.575610261071129,0.285466430056635,1.60902097379765,388,HBB;GAS6;GPC1;VAV2;SERPINE1;ANXA5;GNA12;MANF;LGALS3BP;HSPA5;BSG;RAC2;HBD;KLC2;PPP2R1A;CRK;PICK1;PIK3R2;CTSW;GNB2;ACTN1;DOCK9;NOS3;PLCG1;ITGB2;PFN1;ABL1;DGKZ;ORAI2;AKT1;C1QBP;DGKQ;PPP2R5B;CFL1;AAMP;MFN2;SHC1;TGFB1;MGLL;GNA11;ABHD6;PRKCZ;HRAS;SDC1;ADRA2C;MAFG;PPIL2;PRKCE;SH2B1;PTPN6;LAT;STX4;SLC7A5;CLU;SDC4;CSK;DOCK6;GP9;PDPK1;GNAI2;PLAU;ADAMTS13;FLNA;CAPZB;STXBP2;ITPK1;MICAL1;RARRES2;PSAP;SH2B2;CYB5R1;APOA1;PLAUR;COL1A1;GNAS;VEGFB;INPP5D;PF4;RHOA;H3-3B;MAPK3;EHD1;SLC16A8;SERPING1;F2;TUBB4B;KIF5B;ITGAL;TUBA3C;AKAP1;SLC16A3;P2RX4;VAV1;GATA4;GP1BA;CEACAM3;IGLL1;QSOX1;CFD;CD36;ADRA2B;PDE11A;SERPINB6;PRKCD;KIF1C;GNG7;TEX264;FGR;LCK;WDR1;KIF22;GYPC;PIK3R5;HABP4;SLC7A8;ATP2A2;AHSG;HDAC1;TAGLN2;VTI1B;DOK2;CAP1;GNB5;PTK2;SDC3;PRKAR1A;CD74;SLC3A2
REACTOME_NEUTROPHIL_DEGRANULATION,1.81332911820029e-05,0.00566120647372761,0.575610261071129,0.299970514311593,1.65689706974238,333,HBB;MMP9;STK10;AGPAT2;PTGES2;EEF2;PYGB;TMC6;LPCAT1;PFKL;TOLLIP;TMBIM1;MVP;CTSZ;PYCARD;TMEM63A;PLEKHO2;CHI3L1;RHOF;HMOX2;ACLY;S100A9;ARHGAP45;ITGB2;XRCC6;CTSD;DGAT1;HSPA8;KCNAB2;GPI;BST2;ADGRE5;PSMD2;VCP;B4GALT1;ACAA1;TOM1;TCIRG1;DYNC1H1;PSMC3;ATP11A;RAB5C;PTPN6;CYBA;ACTR1B;FTH1;TSPAN14;FCN1;PTAFR;PLAU;CTSA;NEU1;FPR1;ATP6V0C;SLC27A2;TYROBP;CYB5R3;RAB3D;PSMD13;CAPN1;GRN;IMPDH1;PSAP;PGLYRP1;ADGRG3;IGF2R;PLAUR;RAB5B;ADAM8;LYZ;DOK3;RHOA;ARSA;S100A8;SLC11A1;CD14;TUBB4B;ITGAL;LILRB2;GSDMD;CST3;APRT;ARPC5;GM2A;GAA;CEACAM3;LAIR1;MLEC;PDAP1;ADA2;AP2A2;QSOX1;CFD;CD36;S100A11;SERPINB6;PRKCD;PKM;SERPINB1;MAN2B1;SPTAN1;FGR;GYG1;CSTB;PSMD3;AHSG;C1orf35;CMTM6;CAP1;LTF;PRDX4;SLC2A5;RNASET2;MMP25;ILF2;RHOG;LILRA3;PA2G4;CAB39;ANPEP;APEH;PLAC8;RAB31;CSNK2B;HK3;OSTF1;HEXB;CFP;GLA;ATP6V0A1;HSP90AB1;ITGAM;MANBA;CTSS;CAMP;PSMD7;GSTP1;DYNLL1;AMPD3;GMFG;TRPM2;JUP;LAMTOR2;ALOX5;ITGAX;LGALS3;ALDOC;DEGS1;P2RX1;ALAD;CD300A
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,2.3467411810869e-05,0.00566120647372761,0.575610261071129,0.341850739528407,1.75524257895257,187,GAS6;VAV2;SERPINE1;ANXA5;GNA12;MANF;LGALS3BP;HSPA5;RAC2;CRK;PIK3R2;CTSW;GNB2;ACTN1;PFN1;DGKZ;AKT1;DGKQ;CFL1;AAMP;SHC1;TGFB1;MGLL;GNA11;ABHD6;PRKCZ;ADRA2C;PRKCE;PTPN6;LAT;STX4;CLU;CSK;GP9;PDPK1;GNAI2;FLNA;STXBP2;RARRES2;PSAP;CYB5R1;APOA1;COL1A1;VEGFB;PF4;RHOA;MAPK3;SERPING1;F2;VAV1;GP1BA;QSOX1;CFD;CD36;ADRA2B;PRKCD;GNG7;TEX264;LCK;WDR1;PIK3R5;HABP4;AHSG;TAGLN2;VTI1B;CAP1;GNB5;PTK2
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,3.0901782061832e-05,0.00566120647372761,0.557332238758646,0.442454042135733,1.96315930211598,71,EXTL3;PREB;HSPA5;CREB3;ATP6V0D1;ATF4;XBP1;KDELR3;HYOU1;MBTPS1;EXOSC4;ZBTB17;GFPT1;PPP2R5B;GOSR2;SHC1;CUL7;ADD1;YIF1A;ARFGAP1;CXXC1;WFS1;PDIA6;LMNA;MYDGF
REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI,0.000107887102693403,0.0164707643445263,0.538434096309916,0.434622432797318,1.93401041035654,72,IKBKG;MLST8;PPP2R1A;PIEZO1;PIK3R2;GNB2;TRPV4;SPP1;NOS3;CACNA1H;ABL1;AKT1;CAPNS1;MAPKAP1;P2RY2;GNA11;HSPG2;PIK3CD;PDPK1
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0.000168698205313257,0.0209892563989413,0.518848077743792,0.315267984818587,1.65304188776186,212,YKT6;STX5;SEC16A;ALG12;SLC35C1;PREB;CTSZ;ALG3;KDELR3;MVD;PMM2;GMPPB;GFUS;TMED9;NANS;MOGS;ACTR1A;COG4;NAPA;GFPT1;RPN1;ARF1;GOSR2;TMED3;MGAT4B;VCP;MAN2A2;B4GALT1;BET1L;GMPPA;COPZ2;DYNC1H1;LMAN2;ARFGAP1;MGAT1;KDELR1;ASGR1;CSNK1D;COPG1;CTSA;NEU1;DPM2;ARF4;GBF1;AMDHD2;DHDDS;CAPZB;DOLK;ARCN1;GORASP1;SPTBN4;PPP6R1;SEC24C;RENBP;CALR;GMDS;UBXN1;MAN1B1;MPDU1;ARF5;COPE;NAGK;TUBB4B;SLC17A5;TUBA3C;DERL1;MLEC;TRAPPC6A;AMFR;SEC13;SPTBN2;DPM3;DCTN2;ST3GAL4;EDEM2;SPTAN1;PPP6R3;SPTBN5;RAB1A;B4GALT2;ARFGAP3;MGAT2
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,0.000183312282960186,0.0209892563989413,0.518848077743792,0.411705590822533,1.86054747957691,78,CDKN1A;MMP9;HMOX1;LAMA5;CCND1;LBP;JUNB;STAT3;FSCN1;ITGB2;IL4R;AKT1;HSPA8;PIM1;TGFB1;BCL2L1;JAK3;BIRC5;POMC;BCL2;CCL22;BATF;TYK2;IL23A;VIM
REACTOME_SIGNALING_BY_INTERLEUKINS,0.000252291820355102,0.0256777008272526,0.49849310876659,0.2807904149014,1.54504206117126,317,CDKN1A;IKBKG;RPS6KA1;MMP9;HMOX1;LAMA5;CCND1;IL32;TXLNA;IL17RA;IL17RC;TOLLIP;PPP2R1A;CRK;PIK3R2;P4HB;LBP;LGALS9;JUNB;STAT3;FSCN1;ITGB2;IL4R;AKT1;DUSP3;HNRNPF;CFL1;ARF1;HSPA8;SHC1;PSMC4;IL18BP;PIM1;TGFB1;RAPGEF1;PSMD2;BCL2L1;SDC1;IL2RB;INPPL1;MSN;PSMC3;JAK3;BIRC5;PTPN6;IL22RA1;STX4;PSMA7;PIK3CD;PTAFR;POMC;SQSTM1;AGER;NFKB2;TRAF2;BCL2;PITPNA;CCL22;MAP2K7;MAP3K3;FPR1;CSF1;TNFRSF1A;BATF;TYK2;STXBP2;IL23A;AIP;PSMD13;NFKBIB;VIM;HCK;NLRX1;IL10RA;INPP5D;MAPK3;ADRM1;STAT2;GSDMD;VRK3;CISH;CASP1;CCL5;MAP2K3;OPRD1;VAV1;MAPK7;CD36;MAPK11;LCK;IL1RL2;TNF;PSMD8;FASLG;PTPN18;MAPKAPK2;PSMD3;TCP1;CSF3R;SMAD3;IL9R;NKIRAS2;SOCS3;IL10RB;HSPA9;TALDO1;ICAM1;SOCS1
REACTOME_VESICLE_MEDIATED_TRANSPORT,0.000780755300986682,0.0715171855703801,0.477270815362862,0.252577170867209,1.435473029576,438,HBB;YKT6;RAB32;STX5;SEC16A;CYTH2;ULK1;PREB;GALNT2;HIP1R;LDLRAP1;KLC2;FCHO1;CTSZ;CHMP6;HPS1;PIP5K1C;APOE;SLC2A8;KDELR3;S100A9;HYOU1;RIN3;DENND6B;SBF1;PLIN3;CTTN;AKT1;AP1B1;TMED9;ACTR1A;COG4;NAPA;ARF1;GOSR2;HSPA8;MYO1C;COPS7B;TMED3;AP2M1;MAN2A2;AKT2;BET1L;GPS1;TRAPPC12;AGPAT3;COPZ2;CFTR;DYNC1H1;LMAN2;AVP;ARFGAP1;RAB5C;GJC2;RIN1;RAB35;STX4;FTH1;LDLR;KDELR1;CSNK1D;COPG1;ARFRP1;SCARB1;MYH9;ARF4;GBF1;AMBP;ARFIP2;TSC2;AP1G2;CYTH4;CAPZB;GGA3;DNASE2;ARCN1;VPS4A;GORASP1;SNF8;SPTBN4;BIN1;PPP6R1;TOR1B;SEC24C;IGF2R;APOA1;COL1A1;TOR1A;GJA3;CALR;HGS;ARPC2;LRP1;RAB5B;MVB12B;PACSIN2;YWHAH;EXOC3;AP1S1;ARF5;CLTB;COPE;TUBB4B;KIF5B;VPS37B;OPTN;TUBA3C;GJA4;ARPC5;VPS51;ARPC1A;ASPSCR1;EPN1;TRAPPC6A;MARCO;AP2A2;SEC13;AP2S1;SPTBN2;CD36;DCTN2;DENND2B;TBC1D17;M6PR;KIF1C;GJB1;SYNJ2;SPTAN1;PPP6R3;KIF22;SPTBN5;RAB1A;RGP1;GGA1;DVL2;CHMP7;ARFGAP3;MADD;EPN2;STX10
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,0.000880989522435776,0.0733624002319246,0.477270815362862,0.257520318203948,1.458312090194,406,HBB;ABCA7;SLC26A6;HMOX1;SLC35A2;DMTN;SLC35C1;SLC36A1;BSG;SLC4A2;ANGPTL8;SLC39A7;LDLRAP1;ATP6V0D1;CLCN7;SLCO4A1;CPTP;ABCA2;APOE;P4HB;SLC2A8;GNB2;ATP13A2;LETM1;HMOX2;SLC25A10;TRPV4;SLC12A4;SLC29A1;MBTPS1;TRPM4;SLC22A7;NR1H2;NIPAL3;CES3;ABCC5;SLC26A1;ARF1;ABCF1;SLC25A5;SLC12A7;PSMC4;CTNS;AP2M1;PSMD2;VCP;SLC13A2;SLC15A3;FURIN;TCIRG1;ADD1;CFTR;PSMC3;AVP;ATP11A;SCNN1D;CLN3;PMPCA;SLC7A5;SLC6A2;STEAP3;FTH1;LDLR;PSMA7;APOA4;SLC25A11;ABCB4;SCARB1;HDLBP;ATP6V0C;TRPM8;CAMK2B;ABCA3;ABCC10;TFR2;PARL;ATP6V0B;STOML2;PSMD13;SLC25A22;ARL2BP;CYB5R1;SLC22A1;APOA1;SLC39A1;GNAS;SPG7;SLC8B1;PLTP;LIPG;PHB1;SLC11A1;ADRM1;SLC25A6;MCOLN1;SGK1;SLC16A8;SLC22A6;SLC17A5;ATP6V1C1;DERL1;AKAP1;SLC16A3;SLC13A4;CLCN2;ATP8B1;TRPC4AP;BEST1;LSR;SLC1A7;LMF2;NGB;FGF21;PHB2;SLC43A1;AP2A2;AP2S1
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,0.00165644027686368,0.104368400408486,0.45505986738723,0.616606809157088,1.95460420214305,18,MLST8;PIK3R2;AKT1;TRIB3;MAPKAP1;AKT2;PIK3CD;PDPK1
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,0.00151224735864409,0.104368400408486,0.45505986738723,0.555501399973998,1.94647453051229,25,GPC1;B4GALT7;AGRN;B4GALT1;SDC1;HSPG2;B3GAT3;SDC4;VCAN;SDC3;PRELP;HEXA;HEXB
REACTOME_SNRNP_ASSEMBLY,0.00169795954998482,0.104368400408486,0.45505986738723,-0.447023559407032,-1.85975733445123,41,NUP43;SNRPE;NUP107;NUP205;NUP88;NUP133;NUP50;NUP160;NUP153;GEMIN2;NUP54;GEMIN6;SEH1L;SNUPN;RANBP2;SNRPD2;TGS1;SNRPD3
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS,0.00170908952633983,0.104368400408486,0.45505986738723,-0.482932774244017,-1.88980397840602,31,NUP43;PIAS1;NUP107;NUP205;NUP88;NUP133;NUP50;NUP160;PIAS2;NUP153;NUP54;SEH1L;SUMO1;RANBP2
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,0.00264417359506361,0.10527800060154,0.431707695803346,0.379807362440937,1.7016226565628,73,YKT6;STX5;KDELR3;TMED9;ACTR1A;COG4;NAPA;ARF1;GOSR2;TMED3;BET1L;COPZ2;DYNC1H1;ARFGAP1;KDELR1;COPG1;ARF4;GBF1;CAPZB;ARCN1;GORASP1;SPTBN4;ARF5;COPE;TUBB4B;TUBA3C;SPTBN2;DCTN2;SPTAN1;SPTBN5;RAB1A;ARFGAP3
REACTOME_DISEASES_OF_DNA_REPAIR,0.00298824019174677,0.10527800060154,0.431707695803346,-0.516888764501095,-1.87141123291541,25,RFC5;OGG1;NBN;RPA3;TOPBP1;RAD17;ATR;HUS1
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,0.00207355164542153,0.10527800060154,0.431707695803346,0.343182743763298,1.65114808638909,109,YKT6;STX5;SEC16A;PREB;CTSZ;KDELR3;TMED9;ACTR1A;COG4;NAPA;ARF1;GOSR2;TMED3;BET1L;COPZ2;DYNC1H1;LMAN2;ARFGAP1;KDELR1;CSNK1D;COPG1;ARF4;GBF1;CAPZB;ARCN1;GORASP1;SPTBN4;PPP6R1;SEC24C;ARF5;COPE;TUBB4B;TUBA3C;TRAPPC6A;SEC13;SPTBN2;DCTN2;SPTAN1;PPP6R3;SPTBN5;RAB1A;ARFGAP3
REACTOME_GLYCOSAMINOGLYCAN_PROTEIN_LINKAGE_REGION_BIOSYNTHESIS,0.00264922865625655,0.10527800060154,0.431707695803346,0.583057561526673,1.88469703278541,19,GPC1;B4GALT7;AGRN;SDC1;HSPG2;B3GAT3;SDC4;XYLT2;VCAN
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,0.00260660258561772,0.10527800060154,0.431707695803346,0.535214036646224,1.87451775017982,24,GPC1;EXTL3;IDUA;SGSH;HS6ST1;AGRN;SDC1;HSPG2;SDC4
REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS,0.00217274189294602,0.10527800060154,0.431707695803346,0.450605839439038,1.82391174492075,46,MLST8;PIEZO1;PIK3R2;GNB2;TRPV4;NOS3;AKT1;CAPNS1;MAPKAP1;P2RY2;GNA11;PIK3CD;PDPK1
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN,0.00292928642324306,0.10527800060154,0.431707695803346,-0.44731929757023,-1.82404158035384,38,NUP43;PRKCA;TMPO;NUP107;NUP205;NUP88;NUP133;NUP50;NEK7;NUP160;NUP153;NUP54
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,0.00256918881841695,0.10527800060154,0.431707695803346,0.509343171944439,1.81902052998543,27,LDLRAP1;APOE;NR1H2;CES3;AP2M1;LDLR;SCARB1;HDLBP;APOA1;LSR;AP2A2;AP2S1;NR1H3;MYLIP;LIPC
REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY,0.00291226842545188,0.10527800060154,0.431707695803346,0.58116652203418,1.87858436611996,19,GPC1;AGRN;SDC1;HSPG2;FURIN;RAB5C;SDC4;RAB5B;NCL;CD14
REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS,0.00273780120592306,0.10527800060154,0.431707695803346,-0.402573384295397,-1.7973327490631,57,NUP43;PIAS1;STAG2;NUP107;NUP205;SMC5;NUP88;STAG1;NUP133;NUP50;NUP160;PIAS2;NUP153;PHC3;NUP54;MDC1;SEH1L;SUMO1;CETN2;RANBP2;RAD21
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,0.00212571646669,0.10527800060154,0.431707695803346,0.323955906798332,1.58895451084948,130,YKT6;STX5;SEC16A;PREB;CTSZ;KDELR3;TMED9;ACTR1A;COG4;NAPA;ARF1;GOSR2;TMED3;MGAT4B;MAN2A2;B4GALT1;BET1L;COPZ2;DYNC1H1;LMAN2;ARFGAP1;MGAT1;KDELR1;CSNK1D;COPG1;ARF4;GBF1;CAPZB;ARCN1;GORASP1;SPTBN4;PPP6R1;SEC24C;ARF5;COPE;TUBB4B;TUBA3C;TRAPPC6A;SEC13;SPTBN2;DCTN2;ST3GAL4;SPTAN1;PPP6R3;SPTBN5;RAB1A;B4GALT2;ARFGAP3;MGAT2
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA,0.00371654379834551,0.121584075688732,0.431707695803346,-0.558485953217477,-1.88178016568552,19,RFC5;NBN;RPA3;TOPBP1;RAD17;ATR;HUS1;ERCC4
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,0.00359817295309171,0.121584075688732,0.431707695803346,0.406920969050293,1.71947086948993,56,ANGPTL8;LDLRAP1;APOE;P4HB;MBTPS1;NR1H2;CES3;AP2M1;FURIN;LDLR;APOA4;SCARB1;HDLBP;APOA1;PLTP;LIPG;LSR;LMF2;FGF21;AP2A2;AP2S1;NR1H3;MYLIP;LIPC
REACTOME_ISG15_ANTIVIRAL_MECHANISM,0.00417505572194579,0.131874173838012,0.407017918923954,-0.375779137767352,-1.70579147873708,62,NUP43;UBE2E1;HERC5;NUP107;NUP205;NUP88;PPM1B;NUP133;NUP50;IFIT1;NUP160;NUP153;KPNA1;UBE2N;NEDD4;NUP54;JAK1;SEH1L;EIF4E;ARIH1;UBB;RANBP2
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN,0.00454380777663129,0.138737597446475,0.407017918923954,-0.486373876809572,-1.81482281202258,27,NUP43;NUP107;NUP205;NUP88;NUP133;NUP50;NUP160;NUP153;NUP54;SEH1L;NPM1;RANBP2
REACTOME_EXPRESSION_OF_BMAL_ARNTL_CLOCK_AND_NPAS2,0.00470319487260946,0.138971822687428,0.407017918923954,-0.484669119346299,-1.83498811169311,29,PPARGC1A;SIRT1;RORA;NCOR1;CHD9;CREBBP;TBL1X;NCOA2;MED1;TGS1;MEF2C;NCOA6;EP300
