module,size,r_T2D,r_Obese,r_Group,r_Dataset,r_HbA1c_GSE15653,p_T2D,p_Obese,p_Group,p_Dataset,p_HbA1c_GSE15653
magenta,199,-0.416597822658533,-0.542337215651609,-0.54611289374004,0.0430433656595395,-0.103631137585175,0.00833609110878123,0.000361755418394146,0.000322776000265775,0.794724522983666,0.682385472649509
royalblue,61,-0.230365793791343,-0.456776400133101,-0.387854941381109,0.0108094355426926,-0.231176479065809,0.158278402884229,0.00346590692905157,0.0146994522752861,0.947926839868675,0.356020028459131
blue,1632,-0.281711511557651,-0.330584913703085,-0.349502589327813,0.0332410418219489,-0.30687718842787,0.0823110163287614,0.0398283075849908,0.0291888314047928,0.840783355843105,0.21547265171835
yellow,562,-0.347010372144316,-0.48573498469225,-0.473495714773705,0.0348959014728463,-0.437330817365315,0.0304392928924621,0.00172030444281891,0.00233017225042607,0.83296635727515,0.0695396976508629
purple,180,-0.110619047981422,-0.145977656516965,-0.146088035657502,-0.00995087559245536,-0.418305869349212,0.502601701985942,0.375222550318183,0.374857659512907,0.952057867275041,0.0840668237543399
black,317,-0.131269196192062,-0.196158782844955,-0.185910761450686,-0.00307825359671307,-0.35461987430561,0.425706716284436,0.231374860194621,0.257150787332402,0.985161594032552,0.148756779160613
tan,160,-0.124090138788252,-0.261900337384317,-0.217600222063322,0.00168873167575457,-0.164665937716623,0.451662837420183,0.10726526341733,0.18328437061673,0.991859327504463,0.513792234010515
lightgreen,69,-0.233855579774068,-0.149152665249053,-0.221559765888797,0.0389073848897696,-0.337910264152073,0.151895637093562,0.36481077936462,0.175245666994314,0.81408445726022,0.170233194786102
red,323,-0.123243580539204,0.0334635996237908,-0.055421173660423,0.036035547214205,-0.425231315001335,0.454779089790665,0.839731174231804,0.737548045291863,0.827592200681053,0.0785434545308353
grey60,73,0.120839125653036,0.245065823663405,0.206440442205911,-0.0128631282610439,-0.140700034041643,0.463693093168217,0.132664307259993,0.207341522333676,0.938050982144516,0.577618108843256
lightyellow,63,-0.00330742328596385,0.0508760621443676,0.0258690203008334,0.00943923265685967,0.0944565405071197,0.984057041125847,0.758399694025775,0.875779352227869,0.954520271071612,0.709289503522415
turquoise,1895,0.324243072500733,0.373358614619959,0.398362634044265,-0.0360466168998391,0.374232157198458,0.0440317544658575,0.0192254725342986,0.0120128207414012,0.827540037575889,0.126023945937557
brown,868,0.219030923456688,0.373234269238619,0.335344932509111,-0.00916171651641148,0.359913945096715,0.180350076002964,0.019268843543995,0.0368927190618889,0.955856059336414,0.142361110750664
green,342,0.404657694167671,0.580130129603493,0.559655580510602,-0.0245162340876775,0.31334748430396,0.0106126061233183,0.000108399567442204,0.000212023267867734,0.882228610691487,0.205455266055904
greenyellow,162,0.296408611885195,0.395680198373866,0.393927059781663,-0.0258309914683759,0.428787895541294,0.0669119523536136,0.012655509667658,0.0130911209003947,0.875960544452045,0.0758127325749326
midnightblue,94,0.290447834033967,0.29129203502753,0.333221997017616,-0.044900661278729,0.427826639718075,0.0728574410553535,0.0719910769315531,0.0381793652186495,0.786069336428156,0.0765437846092831
salmon,149,0.200297592242177,0.0945566542944328,0.171597568149771,-0.0388852027413514,0.282970897189457,0.221482116442988,0.566929699760587,0.296238718835297,0.814188593842695,0.255202314953753
darkred,45,-0.0573189113007145,-0.103647466454033,-0.0910277915264682,0.0027743227085312,0.334183744484842,0.728895329818941,0.530060623307306,0.581551884134341,0.986626522968203,0.175294209680795
lightcyan,87,0.25136686232323,0.343309709323094,0.338312172912299,-0.0484277139699637,0.399642361439281,0.122681600876734,0.0323771879660343,0.0351538908376869,0.769703291210926,0.100357078181623
darkturquoise,33,0.10832721455053,0.24678728350478,0.199896692599831,0.0123979140730228,0.0958952501748286,0.511548233146091,0.129879067597054,0.222427442089475,0.940287369991326,0.705047924550853
pink,205,0.00145913173689091,-0.00686158065936484,-0.00288278916307737,-0.00370459836589516,0.0762521747823848,0.992966103586837,0.966931707715547,0.986103715854382,0.982142805795809,0.763625545236148
cyan,95,-0.0506878915580554,0.164956721338189,0.0599647566626736,0.045007863352594,0.295326631526523,0.759266723607944,0.31560330656902,0.716886894245751,0.785570526077584,0.234132366356096
darkgreen,45,-0.181816526929852,-0.0515766454228671,-0.13701428538779,0.0454017167350815,0.144800235285814,0.267962846608286,0.755174199820829,0.405551259718625,0.783738655667997,0.566464087875259
