Power,SFT.R.sq,slope,truncated.R.sq,mean.k.,median.k.,max.k.,R2
1,0.0851332355621157,-0.602369025400363,0.907511689246101,1002.29585620179,984.285323566754,1829.19599198477,0.0851332355621157
2,0.571527666262363,-1.46253975771751,0.935499651023336,350.643547131376,311.196220579861,970.278508047379,0.571527666262363
3,0.72816052261523,-1.69517677595518,0.955461168675353,150.538376445127,117.446399488294,579.897613276273,0.72816052261523
4,0.780730907080282,-1.78617402564239,0.965247596876236,73.4071942717373,49.9260172163867,371.427762635415,0.780730907080282
5,0.816765575735704,-1.81998430572846,0.974990392782109,39.1055617496357,22.8275465282975,249.297599118337,0.816765575735704
6,0.842958860336212,-1.82272347771151,0.984654026229712,22.2449513841875,11.0615212451951,173.190778031353,0.842958860336212
7,0.860888756512999,-1.81121130269925,0.98636002818871,13.3148374992347,5.61115384859418,123.583671038911,0.860888756512999
8,0.869431359464576,-1.81992382047832,0.989221715524043,8.30191329901767,2.97919091686918,90.8032198280488,0.869431359464576
9,0.872232260142555,-1.83134073427928,0.993646482497565,5.35327615269265,1.63360044418817,68.3015099936303,0.872232260142555
10,0.878529384111938,-1.83535905075578,0.994452343478677,3.55079680263307,0.922223603505229,52.2225624182778,0.878529384111938
12,0.898262970072132,-1.82025916901171,0.998160280871921,1.67406335089215,0.319861220107118,31.8044658736988,0.898262970072132
14,0.897978902584834,-1.81135902423153,0.992173104435098,0.849686902606731,0.119597133142696,20.2567846993957,0.897978902584834
16,0.895510013396287,-1.81951753111688,0.990433841309846,0.457141542822073,0.0473558461274439,13.3770170586851,0.895510013396287
18,0.905359722091668,-1.79868472204612,0.984699130897761,0.257904740349558,0.0196819769467966,9.09998026698577,0.905359722091668
20,0.913485478613932,-1.77575457107089,0.979930005471336,0.151382191275371,0.00855018403659136,6.34444833887792,0.913485478613932
22,0.895128043271924,-1.809311341968,0.961415164760278,0.0919028028259273,0.0038870796937488,4.5146565825235,0.895128043271924
24,0.905638466359871,-1.79087285227138,0.956707769525496,0.0574423058055872,0.00177402410368488,3.26789425082066,0.905638466359871
26,0.906267767325271,-1.76646378924144,0.942241198877512,0.0368304561063913,0.000830883858631504,2.39952386206249,0.906267767325271
28,0.901013608904932,-1.75049478516084,0.933979881787076,0.0241534779034729,0.000397179987701612,1.78326496117828,0.901013608904932
30,0.894689824784127,-1.74082913395955,0.920458345804865,0.016162247245713,0.000192664208273352,1.33887464679743,0.894689824784127
