category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,3/31,33/4607,0.0909090909090909,13.5102639296188,5.93574407622841,0.00131322214310276,0.130008992167173,0.125792857918264,ALDH18A1/P4HA1/MAOA,3
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,2/31,15/4607,0.133333333333333,19.8150537634409,6.00689387590134,0.00435742171513448,0.215692374899157,0.208697566356441,HAL/MAOA,2
Genetic Information Processing,"Folding, sorting and degradation",hsa03060,Protein export,2/31,25/4607,0.08,11.8890322580645,4.49294965418196,0.0119401278330119,0.383545187093398,0.371106985917058,HSPA5/SEC61A1,2
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,2/31,29/4607,0.0689655172413793,10.2491657397108,4.11209815314179,0.0158917684560694,0.383545187093398,0.371106985917058,KMO/MAOA,2
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,3/31,86/4607,0.0348837209302326,5.18417104276069,3.22360044821673,0.0193709690451211,0.383545187093398,0.371106985917058,PLIN1/SERPINE1/PPARGC1A,3
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,2/31,37/4607,0.0540540540540541,8.03312990409765,3.53501455977633,0.0252157167658662,0.416059326636793,0.402566706262075,CYP2C19/MAOA,2
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,2/31,48/4607,0.0416666666666667,6.19220430107527,2.97603065924514,0.0408050334444033,0.524278710706158,0.507276583458377,SERPINE1/ZMAT3,2
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,2/31,49/4607,0.0408163265306122,6.06583278472679,2.93400963530699,0.0423659564206996,0.524278710706158,0.507276583458377,PLIN1/PLIN2,2
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,2/31,56/4607,0.0357142857142857,5.30760368663595,2.66916942590852,0.0538997117529053,0.533607146353762,0.516302502054145,AGPAT2/GPD1,2
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,2/31,56/4607,0.0357142857142857,5.30760368663595,2.66916942590852,0.0538997117529053,0.533607146353762,0.516302502054145,CYP2C19/MAOA,2
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,2/31,65/4607,0.0307692307692308,4.5727047146402,2.38742667678441,0.0701543764884691,0.583378575346044,0.564459865566082,MET/GAS6,2
Human Diseases,Substance dependence,hsa05034,Alcoholism,2/31,72/4607,0.0277777777777778,4.12813620071685,2.2017249433399,0.0837707547068654,0.583378575346044,0.564459865566082,MACROH2A2/MAOA,2
Metabolism,Amino acid metabolism,hsa00360,Phenylalanine metabolism,1/31,13/4607,0.0769230769230769,11.4317617866005,3.09979981332591,0.0841348304814925,0.583378575346044,0.564459865566082,MAOA,1
Metabolism,Glycan biosynthesis and metabolism,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,1/31,13/4607,0.0769230769230769,11.4317617866005,3.09979981332591,0.0841348304814925,0.583378575346044,0.564459865566082,ST3GAL6,1
Organismal Systems,Digestive system,hsa04977,Vitamin digestion and absorption,1/31,14/4607,0.0714285714285714,10.6152073732719,2.96533836313254,0.090315026444721,0.583378575346044,0.564459865566082,SLC19A2,1
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,1/31,15/4607,0.0666666666666667,9.90752688172043,2.84381694296301,0.0964548553539773,0.583378575346044,0.564459865566082,CYP2C19,1
Metabolism,Glycan biosynthesis and metabolism,hsa00512,Mucin type O-glycan biosynthesis,1/31,17/4607,0.0588235294117647,8.74193548387097,2.63188841029706,0.108614430181005,0.583378575346044,0.564459865566082,GALNT2,1
Organismal Systems,Digestive system,hsa04981,Folate transport and metabolism,1/31,20/4607,0.05,7.43064516129032,2.3719469949035,0.126557362460217,0.583378575346044,0.564459865566082,ABCG2,1
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,1/31,21/4607,0.0476190476190476,7.07680491551459,2.29703558053666,0.132460288504196,0.583378575346044,0.564459865566082,AGPAT2,1
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,3/31,192/4607,0.015625,2.32207661290323,1.54007435452639,0.136915921578674,0.583378575346044,0.564459865566082,SLC39A7/HSPA5/MAOA,3
Human Diseases,Drug resistance: antineoplastic,hsa01523,Antifolate resistance,1/31,22/4607,0.0454545454545455,6.75513196480938,2.22687973263111,0.138324599680901,0.583378575346044,0.564459865566082,ABCG2,1
Metabolism,Glycan biosynthesis and metabolism,hsa00514,Other types of O-glycan biosynthesis,1/31,23/4607,0.0434782608695652,6.46143057503506,2.16096551647087,0.144150540228315,0.583378575346044,0.564459865566082,GALNT2,1
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,1/31,23/4607,0.0434782608695652,6.46143057503506,2.16096551647087,0.144150540228315,0.583378575346044,0.564459865566082,MAOA,1
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,1/31,24/4607,0.0416666666666667,6.19220430107527,2.09885419974426,0.149938352892565,0.583378575346044,0.564459865566082,MAOA,1
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,2/31,105/4607,0.0190476190476191,2.83072196620584,1.56175930643548,0.156494725628735,0.583378575346044,0.564459865566082,BSG/GAS6,2
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",1/31,26/4607,0.0384615384615385,5.71588089330025,1.98458251963099,0.161400558149494,0.583378575346044,0.564459865566082,MAOA,1
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,1/31,28/4607,0.0357142857142857,5.30760368663595,1.88160838491132,0.172713127916347,0.583378575346044,0.564459865566082,HSD17B11,1
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,1/31,29/4607,0.0344827586206897,5.1245828698554,1.83375345181597,0.178313890754214,0.583378575346044,0.564459865566082,ABCG2,1
