gene,n_sources,sources
IRS2,8,CTD_Hyperglycemia;CTD_Insulin_Resistance;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Insulin_resistance;KEGG_insulin_resistance;KEGG_type_II_diabetes
INSR,7,CTD_Hyperglycemia;CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia;HPO_Insulin_resistance;KEGG_insulin_resistance;KEGG_type_II_diabetes
PIK3R1,7,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia;HPO_Insulin_resistance;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
ABCC8,6,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Hyperglycemia;HPO_Insulin_resistance;KEGG_type_II_diabetes
GCK,6,CTD_Hyperglycemia;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Hyperglycemia;HPO_Insulin_resistance;KEGG_type_II_diabetes
INS,6,CTD_Hyperglycemia;CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia;KEGG_insulin_resistance;KEGG_type_II_diabetes
PIK3CA,6,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
ADIPOQ,5,CTD_Hyperglycemia;CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_type_II_diabetes
IL6,5,CTD_Hyperglycemia;HPO_Hyperglycemia;HPO_Insulin_resistance;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
IRS1,5,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;HPO_Insulin_resistance;KEGG_insulin_resistance;KEGG_type_II_diabetes
LEP,5,CTD_Hyperglycemia;CTD_Insulin_Resistance;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
PDX1,5,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Hyperglycemia;HPO_Insulin_resistance;KEGG_type_II_diabetes
PPARA,5,CTD_Insulin_Resistance;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_insulin_resistance
