gene,logFC,AveExpr,P.Value,adj.P.Val,sig_use,logFC_C2,P_C2,hyperglycemia_tag,logFC_GSE15653,logFC_GSE64998,module,GS_T2D,kME_own,hub,in_geneset,geneset_sources
DAPK1,-0.506438887300017,8.75969032776348,4.04464325386949e-06,0.0113924118317324,Down,-0.130297223029767,0.174017355227641,FALSE,-0.54903377564261,-0.471781929274181,magenta,-0.503072550223705,0.633823812947275,FALSE,FALSE,
GAS6,0.551620094430099,7.58497039121637,7.50024199076112e-06,0.0143765204762116,Up,0.212876683719793,0.0521170876625062,FALSE,0.351257532432722,0.757739078936539,green,0.549561715344128,0.703416857286579,FALSE,TRUE,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
KMO,-0.66102882482773,8.53938914442103,1.23030399615544e-05,0.0143765204762116,Down,-0.158539762963343,0.234730984517764,FALSE,-0.520137021850477,-0.834023052551515,magenta,-0.491634619485547,0.746359573338263,FALSE,FALSE,
TUT7,-0.574117539134569,8.15468759351283,1.24126570594938e-05,0.0143765204762116,Down,-0.167298718399914,0.150706079012568,FALSE,-0.561164004627622,-0.609591149530218,magenta,-0.506370418681563,0.761635038112981,FALSE,FALSE,
MACROH2A2,0.567556670122094,6.43042502056616,1.64425460500236e-05,0.0143765204762116,Up,0.187562553757917,0.110467765478253,FALSE,0.209399032413152,0.931590537001409,green,0.505678647753786,0.615633255423395,FALSE,FALSE,
HPS5,0.901102958022229,5.95527295461135,4.26443630604646e-05,0.0156261282717519,Up,0.327578725578029,0.0997353043569921,FALSE,1.03062279081585,0.820169923927078,green,0.507048613285333,0.707273782747267,FALSE,FALSE,
ABCG2,-0.695740078529997,7.1486487781307,5.03502566801532e-05,0.0156261282717519,Down,-0.0774201125039919,0.613011408723241,FALSE,-0.989262291412605,-0.409365183482549,magenta,-0.352233278126898,0.726024351036722,FALSE,FALSE,
GOLM1,0.824895062242918,6.23459579414048,5.46136361553927e-05,0.0156261282717519,Up,0.449775896935591,0.0172359922937901,TRUE,0.390672340120037,1.27342812705121,green,0.545802701953227,0.526254491317914,FALSE,FALSE,
P4HA1,-1.11048564954378,6.76066915471959,8.79199839880739e-05,0.0206101836740479,Down,-0.134504579904069,0.596956978281828,FALSE,-0.941986479020294,-1.28188902605222,magenta,-0.373950247928888,0.58137539631576,FALSE,FALSE,
INHBE,1.14799182510104,8.66840374214911,9.80798164829067e-05,0.0206101836740479,Up,0.314673623189469,0.238476691125706,FALSE,1.06501631753414,1.23718166720686,green,0.435229548763413,0.793187350213556,FALSE,FALSE,
MAOA,-0.587397569174392,9.04296657957248,0.000140158901485407,0.021063077539078,Down,-0.140089234531267,0.31701812440638,FALSE,-0.901565557155783,-0.288844558416987,magenta,-0.388547152774869,0.767949661085119,FALSE,FALSE,
ZMAT3,0.54421298850805,6.31716592092707,0.00015999216163206,0.0218053833192081,Up,0.15981638392077,0.224049930716007,FALSE,0.327093159538625,0.741475565468597,green,0.431376292482184,0.487065068390464,FALSE,FALSE,
ADGRG6,-0.602548123124792,8.64063520289552,0.00018995344114292,0.0221250946811759,Down,-0.236539053235373,0.111210583124098,FALSE,-0.936904683024204,-0.2818921412031,magenta,-0.435541908270207,0.721832170305954,FALSE,FALSE,
SEC16A,0.565086233898431,7.57017063361406,0.000192627277557334,0.0221250946811759,Up,0.136857248019579,0.321616809339771,FALSE,0.769665178153327,0.385083760962639,green,0.410767943579648,0.841016572704192,TRUE,FALSE,
CYP2C19,-1.3883926560386,9.21998713410975,0.000208290052554522,0.0221250946811759,Down,-0.657146054522654,0.0582615878276431,FALSE,-1.58465683111414,-1.18898758635885,magenta,-0.469860787867453,0.646023541861169,FALSE,FALSE,
SERPINE1,0.980285014338607,7.11702213293803,0.000210313011103136,0.0221250946811759,Up,0.360493934472697,0.13805785669817,FALSE,0.418118936897988,1.55645772299896,green,0.450278288720317,0.644880585591385,FALSE,TRUE,KEGG_AGE_RAGE_diabetic_complications
MET,-0.572652493798318,8.39356932832753,0.00021683848175233,0.0223449411074048,Down,-0.154278209252931,0.275413177806761,FALSE,-0.635122834945244,-0.534374523746303,magenta,-0.443900850507957,0.892694915812131,TRUE,FALSE,
