gene,mouse,pool,logFC,P.Value,logFC_GSE15653,logFC_GSE64998,sc_STZ,best_cell_type,best_logFC_mouse,best_FDR_mouse,best_pct_detected,tau,module,kME_own,hub,val_logFC,val_P,hb_logFC,hb_P,bulk_DE,specificity,network,external_val,clinical,feasibility,protein,literature,druggability,manual_scores_missing,score,max_score,score_pct,tissue
CDKN1A,Cdkn1a,A_bulk_main,0.620760312850149,0.000117699387081058,0.551436862888069,0.687607925313586,3,Cholangiocyte,1.92225963356805,0.00892552773555026,27.67,0.249945648088665,turquoise,0.712546001608122,TRUE,0.402420729949853,0.0635308499587564,0.112427060859471,0.0890973593610132,3,0,3,2,1,2,2,FALSE,3,TRUE,32,45,71.1,liver
CCND1,Ccnd1,A_bulk_main,0.604789776040789,0.00136650456502841,0.671809724740955,0.540163396937056,1,Cholangiocyte,1.09527899016613,0.116685250545614,68.24,0.482923712234915,turquoise,0.718609960317573,TRUE,0.534781435386029,0.0156965005660771,0.182077889816173,0.0304883005440193,2,1,3,3,3,3,2,FALSE,3,TRUE,30,45,66.7,liver
CXCR3,Cxcr3,B_scRNA_first,0.147046527536223,0.00981367176253983,0.199930251005523,0.0960515084765396,3,NK_cell,1.15279888265152,0.017725922990889,21.81,,pink,0.417775892885186,FALSE,-0.181092139876043,0.158398544519973,0.0465795017120662,0.0414226477680044,2,0,0,0,3,2,3,FALSE,2,TRUE,26,45,57.8,liver
ATP1B1,Atp1b1,B_scRNA_first,-0.432400348569027,0.0159962026699765,-0.730844806538173,-0.144614621241638,3,NK_cell,-0.847547685223584,0.0361323337959629,30.87,,green,0.547358983014451,FALSE,0.252420638817339,0.0553631603013856,-0.107853387207114,0.243770864033675,1,0,1,0,0,3,3,FALSE,3,TRUE,24,45,53.3,liver
PPIG,Ppig,B_scRNA_first,-0.181867179209204,0.0423254261053254,-0.286833910068371,-0.0806492601664376,3,NK_cell,-0.836931551608922,0.00942792467227175,42.79,,green,0.722592397019064,TRUE,0.326022724041822,0.0223312868823214,-0.0530551355200654,0.243639710233988,1,0,3,0,0,3,2,FALSE,2,TRUE,23,45,51.1,liver
TOX,Tox,B_scRNA_first,0.0302043394987463,0.653851024434612,0.0735893856008206,-0.0116312406711121,3,NK_cell,1.38343441588506,0.00756675870519637,32.38,,turquoise,0.387505665251127,FALSE,0.123633943464331,0.150663986396697,0.0185720210874,0.341897990518269,0,0,1,2,0,3,3,FALSE,0,TRUE,23,45,51.1,liver
CA2,Car2,B_scRNA_first,0.00211998366019445,0.986102903100448,0.116583937712797,-0.108255972033388,3,B_cell,1.16919223479495,0.0209552597582596,5.77,,grey60,0.520408738469197,FALSE,0.0217595181166627,0.902748357181196,0.0388974979716277,0.5109227808653,0,0,1,1,0,1,3,FALSE,3,TRUE,22,45,48.9,liver
CMA1,Cma1,B_scRNA_first,-0.0692370698143894,0.301634175090387,-0.0777064886453167,-0.0610701302274237,3,NK_cell,-1.13819739072147,0.0261955328444425,12.92,,tan,0.456414007479733,FALSE,-0.0958937242577186,0.328948339201737,-0.0306861920583204,0.080984766008255,0,0,0,1,1,2,3,FALSE,2,TRUE,22,45,48.9,liver
KLRB1,Klrb1f,B_scRNA_first,0.0673538878603066,0.544013896475911,0.125724974402792,0.0110674829800524,3,NK_cell,0.78495010427156,0.0361323337959629,40.27,,yellow,0.328828622068914,FALSE,0.621975226220077,0.00515911031622868,0.050672911784556,0.246510069884358,0,0,1,3,0,3,1,FALSE,1,TRUE,22,45,48.9,liver
SATB1,Satb1,B_scRNA_first,-0.175854835421492,0.0384437650520379,-0.177818480088249,-0.173961320921404,3,NK_cell,-0.901089803931774,0.00756675870519637,45.3,,green,0.464026319905681,FALSE,0.00848859495806727,0.965362825740838,-0.0575944882578064,0.123880033978199,1,0,1,0,1,3,3,FALSE,0,TRUE,22,45,48.9,liver
CD7,Cd7,B_scRNA_first,0.104941347693802,0.147209750756576,0.153828011321813,0.0578006363382204,3,NK_cell,0.879114286606885,0.00721478602297177,69.63,,blue,0.675520731857368,FALSE,-0.0544476842149951,0.722400616433433,0.023812144485486,0.448276963679186,0,0,1,0,0,3,3,FALSE,2,TRUE,21,45,46.7,liver
NFKBIA,Nfkbia,B_scRNA_first,-0.132985598219,0.249057900266623,-0.0254432735018741,-0.2366871256248,3,NK_cell,-1.22391729524761,0.00161421852677342,68.62,,turquoise,0.34728817211485,FALSE,-0.222281762298015,0.352772586022533,0.00498379524279382,0.922083179655022,0,0,1,1,0,3,1,FALSE,3,TRUE,20,45,44.4,liver
PHLDA3,Phlda3,B_scRNA_first,0.140314927486286,0.00991000716645711,0.10324621948224,0.176059753061616,3,Cholangiocyte,2.08762040411668,0.00380675934653315,18.4,,blue,0.317360535664657,FALSE,0.100264429427242,0.362896462972808,0.013169158939945,0.52805385471219,2,0,1,1,0,2,1,FALSE,0,TRUE,20,45,44.4,liver
CREM,Crem,B_scRNA_first,-0.012018865352256,0.832078864880149,-0.0802168382704538,0.0537434656760058,3,NK_cell,-0.880361130324312,0.0444388771476537,31.04,,brown,0.470884916586546,FALSE,0.291755869565691,0.00431584818136936,-0.015327247063777,0.555531685438061,0,0,1,0,0,3,3,FALSE,0,TRUE,19,45,42.2,liver
NR4A3,Nr4a3,B_scRNA_first,-0.152485598966009,0.153436714326564,-0.268390228787069,-0.0407204202099886,3,NK_cell,-1.22831006549464,0.00407211696040235,31.21,,red,0.702381446442489,FALSE,0.0676829250539688,0.723668320389063,-0.101201408377121,0.0482139272815345,0,0,0,0,3,3,0,FALSE,2,TRUE,17,45,37.8,liver
IER5,Ier5,B_scRNA_first,0.243693863088733,0.00959705994724522,0.360977267155843,0.130599152024018,0,NK_cell,-0.548929199262542,0.0470882585756756,65.6,,greenyellow,0.515943174283607,FALSE,0.610798762103602,0.0016578214562034,0.0649874984510185,0.1287323675752,2,0,0,3,1,3,1,FALSE,0,TRUE,16,45,35.6,liver
RETREG1,Retreg1,A_bulk_main,-0.50284395636083,0.000966503186456345,-0.317728330151071,-0.681348310205955,1,B_cell,-0.268541337415388,0.603157700955227,30.26,0.381291940573591,grey60,0.766563621738601,TRUE,0.31612221012892,0.167711746124931,-0.071062918402804,0.196928379786212,3,0,3,0,1,3,0,FALSE,0,TRUE,16,45,35.6,liver
DNAJB4,Dnajb4,B_scRNA_first,-0.0593356511718386,0.412621275848863,-0.0591937305086675,-0.0594725032398989,3,Cholangiocyte,-0.933957056358548,0.0475966113494685,45.91,,yellow,0.537259446407069,FALSE,0.228384250815593,0.0515205276321487,-0.0100729268898964,0.566383024329873,0,0,1,0,0,3,1,FALSE,0,TRUE,15,45,33.3,liver
HSPA5,Hspa5,B_scRNA_first,0.486016758794984,0.00345309616891199,0.627902496130899,0.349198369221063,0,NK_cell,-0.59241918611231,0.0388585477151566,80.37,,turquoise,0.769255933279343,TRUE,0.10762458121402,0.435245200779886,0.114988461362982,0.111431867307359,2,0,3,1,1,3,0,FALSE,0,TRUE,13,45,28.9,liver
IFNG,Ifng,B_scRNA_first,-0.0419288299386448,0.419494423542534,-0.138924430697155,0.0516026422213472,3,NK_cell,-0.855970414593936,0.00756675870519637,53.02,,yellow,0.25258194446917,FALSE,0.0125674470274732,0.863644992897543,-0.0235299966075229,0.259031747478389,0,0,1,0,0,3,0,FALSE,0,TRUE,13,45,28.9,liver
RHOB,Rhob,B_scRNA_first,0.133532034588412,0.474740804228361,0.461741439183937,-0.182955605557274,1,Neutrophil,0.575064975388368,0.659891110768471,29.2,,turquoise,0.417973456207691,FALSE,0.514326823134882,0.0309509483626524,0.116193002022749,0.129982402418132,0,0,1,3,1,2,0,FALSE,0,TRUE,13,45,28.9,liver
TMEM176B,Tmem176b,B_scRNA_first,0.110918076302093,0.129782556644541,0.166244839757635,0.0575672686842513,3,NK_cell,1.13948870805557,0.0146656380924451,38.59,,blue,0.584434723048241,FALSE,-0.0225704392295056,0.803458241158551,0.0444758976337162,0.215095472926122,0,0,1,0,0,3,0,FALSE,0,TRUE,13,45,28.9,liver
TNFAIP3,Tnfaip3,B_scRNA_first,-0.074256621209309,0.37149170608847,-0.0824629926089368,-0.0663433345025249,3,NK_cell,-0.744127038228403,0.0145851130004702,64.77,,brown,0.342232208396011,FALSE,0.514096673395152,0.00137182338393747,-0.0245378493644741,0.436036349440478,0,0,1,0,0,3,0,FALSE,0,TRUE,13,45,28.9,liver
IRF8,Irf8,B_scRNA_first,-0.0237235800891476,0.780909497700752,0.109141316702913,-0.151843301995778,3,NK_cell,-1.3271085026217,0.000287219134050485,52.18,,greenyellow,0.523635398160631,FALSE,0.337402640644348,0.0688160535395709,0.0172523076766057,0.500146692746788,0,0,0,0,0,3,0,FALSE,0,TRUE,12,45,26.7,liver
CCN1,Ccn1,B_scRNA_first,0.477755872843942,0.0138077287262584,0.327838887337623,0.622318680296462,0,Cholangiocyte,-1.48037096699218,0.0134990119050578,55.66,,grey,,FALSE,0.350303459442342,0.0411383287685533,0.0434357103557642,0.620737362138812,1,0,0,3,0,3,0,FALSE,0,TRUE,11,45,24.4,liver
CXCR4,Cxcr4,B_scRNA_first,-0.140346762242127,0.247262141879739,-0.0374262361430987,-0.239591555266189,3,NK_cell,-1.06814217157058,0.017725922990889,19.63,,magenta,0.349228194492777,FALSE,0.591586902458385,0.0249523461788882,0.0237455475032326,0.573601849713016,0,0,0,0,0,2,0,FALSE,0,TRUE,11,45,24.4,liver
GLUL,Glul,B_scRNA_first,-0.0445800217372665,0.649650551042224,0.0493550408414086,-0.135160260652419,3,NK_cell,-1.38378252813487,0.00827534301380963,15.27,,grey,,FALSE,0.319407353998686,0.0467090929156703,-0.0056216100898461,0.887791931036993,0,0,0,0,0,2,0,FALSE,0,TRUE,11,45,24.4,liver
NRGN,Nrgn,B_scRNA_first,0.0503906932562016,0.486832883510226,-0.0134671382182052,0.111967887892237,3,NK_cell,1.6160541011378,0.00161421852677342,24.83,,black,0.494333599905065,FALSE,-0.0331796087305032,0.747383288979842,-0.00924405965603567,0.758144530617139,0,0,0,0,0,2,0,FALSE,0,TRUE,11,45,24.4,liver
SLC2A1,Slc2a1,B_scRNA_first,-0.0835761424566717,0.32902607347944,-0.0141303958120791,-0.150541683863958,3,B_cell,-1.07219136269512,0.0209552597582596,5.5,,black,0.69080031032713,FALSE,0.0147115530663247,0.911525391184015,-0.0148602411013267,0.624446257888174,0,0,0,0,0,1,0,FALSE,0,TRUE,10,45,22.2,liver
GZMA,Gzma,B_scRNA_first,0.104509149124266,0.182576276936111,0.008215308091362,0.197363924405993,0,NK_cell,-1.01721249757244,0.00721478602297177,45.97,,midnightblue,0.563162751728353,FALSE,0.736523116572577,0.00601873040574566,0.00689895472403809,0.749421459316555,0,0,0,3,0,3,0,FALSE,0,TRUE,9,45,20,liver
PIM1,Pim1,B_scRNA_first,0.177613815989963,0.0347172864373667,0.297186296529888,0.0623117811836043,0,NK_cell,-0.836748518903819,0.00924033559546387,74.16,,blue,0.537683951513729,FALSE,0.1378544985958,0.342062682158195,0.0527943434546204,0.137211515234856,1,0,1,1,1,3,0,FALSE,0,TRUE,9,45,20,liver
BHLHE40,Bhlhe40,B_scRNA_first,0.237354397411059,0.0616569711963286,0.0582187451763104,0.410092347780279,0,NK_cell,-0.703692102667996,0.0447938287735092,52.52,,turquoise,0.21460447010093,FALSE,0.292023866612013,0.136565494045759,0.0469088375036947,0.399877167373907,0,0,1,2,0,3,0,FALSE,0,TRUE,8,45,17.8,liver
