tissue,gene,mouse,pool,logFC,P.Value,logFC_GSE15653,logFC_GSE64998,sc_STZ,best_cell_type,best_logFC_mouse,best_FDR_mouse,best_pct_detected,tau,module,kME_own,hub,val_logFC,val_P,hb_logFC,hb_P,bulk_DE,specificity,network,external_val,clinical,feasibility,protein,literature,druggability,manual_scores_missing,score,max_score,score_pct
kidney,CCND1,Ccnd1,A_bulk_main,0.604789776040789,0.00136650456502841,0.671809724740955,0.540163396937056,3,Endothelial,0.97401374785967,0.00151455848219794,35.23,0.226416821098174,turquoise,0.718609960317573,TRUE,0.534781435386029,0.0156965005660771,0.182077889816173,0.0304883005440193,2,0,3,3,3,3,2,FALSE,3,TRUE,35,45,77.8
kidney,CDKN1A,Cdkn1a,A_bulk_main,0.620760312850149,0.000117699387081058,0.551436862888069,0.687607925313586,3,Endothelial,1.25533960716011,0.00751551638726709,26.61,0.135963804263516,turquoise,0.712546001608122,TRUE,0.402420729949853,0.0635308499587564,0.112427060859471,0.0890973593610132,3,0,3,2,1,2,2,FALSE,3,TRUE,32,45,71.1
kidney,VIM,Vim,B_scRNA_first,0.390819014228951,0.0396525244113715,0.72107144076907,0.0723613172081184,3,Endothelial,1.00616810229829,0.0208052042285036,25.91,,greenyellow,0.842702866971101,FALSE,0.230078863461585,0.34682448164909,0.193755341327346,0.0229539204685221,1,0,0,1,3,2,3,FALSE,3,TRUE,27,45,60
kidney,BAX,Bax,B_scRNA_first,0.237153881766812,0.0229484864514657,0.319408429133773,0.157836996805811,3,Endothelial,0.605013595757011,0.0495584348902317,42.09,,blue,0.787007784282292,TRUE,-0.0332067637754373,0.849020222920663,0.123187411242601,0.0107329073745664,1,0,3,0,3,3,1,FALSE,3,TRUE,25,45,55.6
kidney,ENPEP,Enpep,B_scRNA_first,-0.386958233144864,0.0178070913858487,-0.549537273234138,-0.230185587344493,3,Endothelial,-0.715940062616929,0.0483652368931564,21.25,,brown,0.618264199156239,FALSE,0.402672854341631,0.0219511463326989,-0.159695199520453,0.0335565758828282,1,0,1,0,3,2,3,FALSE,2,TRUE,25,45,55.6
kidney,COL4A2,Col4a2,B_scRNA_first,0.241141914938516,0.095611020004172,0.328715467584907,0.156695989172353,3,Endothelial,0.720802383788039,0.0256138378966277,56.8,,greenyellow,0.767901287190998,FALSE,0.120394991561224,0.526492930920241,0.0707578675421442,0.314973512917192,0,0,0,1,0,3,3,FALSE,3,TRUE,23,45,51.1
kidney,SPARC,Sparc,B_scRNA_first,0.0946523197959382,0.428201628410939,0.158784159766384,0.0328109026815744,3,Endothelial,0.531393027901704,0.0495584348902317,92.21,,greenyellow,0.737704153515205,FALSE,0.0104088657395771,0.949152183634267,0.0295716465394806,0.528786365802564,0,0,0,1,0,3,2,FALSE,3,TRUE,21,45,46.7
kidney,ABLIM1,Ablim1,B_scRNA_first,0.0873506196002361,0.374172393181174,0.0813192891806216,0.0931665453620063,3,Endothelial,0.909400214951134,0.0256138378966277,13.91,,turquoise,0.540460987201373,FALSE,0.381944220960892,0.0424599371719326,0.0160858812186937,0.733339668289769,0,0,1,3,0,2,1,FALSE,0,TRUE,20,45,44.4
kidney,PHLDA3,Phlda3,B_scRNA_first,0.140314927486286,0.00991000716645711,0.10324621948224,0.176059753061616,3,Endothelial,2.83113650937105,9.85534959261142e-07,11.41,,blue,0.317360535664657,FALSE,0.100264429427242,0.362896462972808,0.013169158939945,0.52805385471219,2,0,1,1,0,2,1,FALSE,0,TRUE,20,45,44.4
kidney,HSPD1,Hspd1,B_scRNA_first,-0.021534801842304,0.750825069965395,-0.077399650453357,0.0323348736040656,3,Endothelial,-1.1177798856722,0.00151455848219794,32.31,,lightcyan,0.73134493284,FALSE,0.116972112396556,0.0884306235338934,-0.00117361523858413,0.971454133880364,0,0,0,0,0,3,2,FALSE,3,TRUE,19,45,42.2
kidney,SPRY1,Spry1,B_scRNA_first,-0.223476388677505,0.0356751915401543,-0.402698355058388,-0.0506552068102268,3,Endothelial,-1.14569419768115,0.00151455848219794,18.96,,magenta,0.725029336967384,FALSE,0.189909162603902,0.155867937130606,-0.112143203602037,0.0184553864062569,1,0,0,0,3,2,1,FALSE,0,TRUE,18,45,40
