cell_type,mouse_id,condition,T2D_up_top100_UCell,T2D_down_top100_UCell
PT,Control_1,Control,0.043882992426194,0.017033456005353
Endothelial,Control_1,Control,0.138357753129916,0.00762016935998956
B_cell,Control_1,Control,0.0235365772874145,0.0311093055489175
Macrophage,Control_1,Control,0.059876493232153,0.0295241281524319
CD_IC,Control_1,Control,0.0435184708125097,0.0271194379391101
LoH,Control_1,Control,0.0433188211654387,0.0536751421880228
Distal_tubule,Control_1,Control,0.0548171687655947,0.0341490226067008
cDC,Control_1,Control,0.0882401899198231,0.0126051934014463
Urothelium,Control_1,Control,0.0738832500386418,0
Fibroblast_Pericyte,Control_1,Control,0.108892781699212,0.00569421211107394
T_cell,Control_1,Control,0.0215924692304662,0.0143841143014583
Tubular_epithelium_other,Control_1,Control,0.102774486063167,0.0674431247909
Proliferating,Control_1,Control,0,0.0454332552693209
Neutrophil,Control_1,Control,0.0519346694832295,0.0415858146537303
Endothelial,Control_2,Control,0.135088653331682,0.00894830753699236
PT,Control_2,Control,0.0462442193855456,0.0202589675657591
T_cell,Control_2,Control,0.0236726023216827,0.00948863782587437
LoH,Control_2,Control,0.0823179109347897,0.0477054756328761
Macrophage,Control_2,Control,0.0609058008993339,0.0306906934622351
B_cell,Control_2,Control,0.0177958678963367,0
Distal_tubule,Control_2,Control,0.0861690218689549,0.0500076036375802
cDC,Control_2,Control,0.0810301553771078,0.0232662620083162
Tubular_epithelium_other,Control_2,Control,0.100707146169303,0.095332887253262
CD_IC,Control_2,Control,0.0609382245350095,0.0499721199955392
Urothelium,Control_2,Control,0.102896851975887,0.0421712947474072
Fibroblast_Pericyte,Control_2,Control,0.04701427172961,0.0597524255603881
Endothelial,Control_3,Control,0.142620984173228,0.00643533866601782
cDC,Control_3,Control,0.141867175021897,0
Macrophage,Control_3,Control,0.101343381122702,0.0231480340194749
CD_IC,Control_3,Control,0.0383713741047967,0.0989628638340582
T_cell,Control_3,Control,0.0156604948969316,0.0167401684966088
PT,Control_3,Control,0.0374489233781315,0.00924672517178372
Proliferating,Control_3,Control,0.0629862434952857,0
Distal_tubule,Control_3,Control,0.0640682157761863,0
