cell_type,mouse_id,condition,T2D_up_top100_UCell,T2D_down_top100_UCell
LSEC,Control_1,Control,0.0871397003680996,0.0111111111111111
B_cell,Control_1,Control,0.00784772665313228,0.0216678708954308
T_cell,Control_1,Control,0.011069805046826,0.0191723498983452
NK_cell,Control_1,Control,0.0138355058649767,0.00352551949741645
pDC,Control_1,Control,0.0525592482343033,0.00595551034063676
Monocyte,Control_1,Control,0.0641557067962052,0.00411256367687811
Hepatocyte,Control_1,Control,0.0362151579164305,0.0325593844095015
Neutrophil,Control_1,Control,0.0355674236179092,0.0317612495817999
Macrophage_other,Control_1,Control,0.0927726827760317,0.0371696219471395
Cholangiocyte,Control_1,Control,0.168812446248172,0.0828499369482976
HSC_Fibroblast,Control_1,Control,0.0616534779195825,0.0318230570916891
cDC,Control_1,Control,0.0597300221546705,0.00341633608947092
Kupffer_cell,Control_1,Control,0.0190088261987896,0.0139112643796485
LSEC,Control_2,Control,0.0824485711876871,0.00502866571367742
B_cell,Control_2,Control,0.00774681579707644,0.0283250923611963
NK_cell,Control_2,Control,0.0251740519657465,0.009087819358813
HSC_Fibroblast,Control_2,Control,0.0551457328771068,0.0224535715925715
pDC,Control_2,Control,0.0563736662656303,0.00480770458602663
cDC,Control_2,Control,0.0667430916928573,0.00669433757109401
Cholangiocyte,Control_2,Control,0.145442300499233,0.0691183690849131
T_cell,Control_2,Control,0.0170569747812567,0.0267215082754413
Neutrophil,Control_2,Control,0.0611226014441018,0.0373617550064522
Kupffer_cell,Control_2,Control,0.0276876134210361,0.00298130181034163
Monocyte,Control_2,Control,0.101078880931527,0.00990431582469053
Macrophage_other,Control_2,Control,0.103225307846875,0.0156950485112078
HSC_Fibroblast,Control_3,Control,0.0599939069055817,0.0195566351986269
B_cell,Control_3,Control,0.00769730262068554,0.0270543961642877
LSEC,Control_3,Control,0.0750580015394765,0.00914506071133001
cDC,Control_3,Control,0.0698614513416925,0.00674929286170504
T_cell,Control_3,Control,0.0150912750464758,0.0239421046569663
Neutrophil,Control_3,Control,0.0698849920252964,0.031587841550405
Monocyte,Control_3,Control,0.102547713505517,0.0123479424556708
Cholangiocyte,Control_3,Control,0.153949621140775,0.0510165689495363
NK_cell,Control_3,Control,0.0207055229005051,0.00795809534558441
Macrophage_other,Control_3,Control,0.0868058537181109,0.0261625961860154
pDC,Control_3,Control,0.0540630812936053,0.00916763765992547
Kupffer_cell,Control_3,Control,0.044882528723788,0.0145645143303223
Hepatocyte,Control_3,Control,0,0
HSC_Fibroblast,STZ_1,STZ,0.0635403843139232,0.021026980726019
