source,entrez,gene
KEGG_AGE_RAGE_diabetic_complications,10000,AKT3
KEGG_AGE_RAGE_diabetic_complications,1019,CDK4
KEGG_AGE_RAGE_diabetic_complications,1027,CDKN1B
KEGG_AGE_RAGE_diabetic_complications,110117499,P3R3URF-PIK3R3
KEGG_AGE_RAGE_diabetic_complications,113026,PLCD3
KEGG_AGE_RAGE_diabetic_complications,1277,COL1A1
KEGG_AGE_RAGE_diabetic_complications,1278,COL1A2
KEGG_AGE_RAGE_diabetic_complications,1281,COL3A1
KEGG_AGE_RAGE_diabetic_complications,1282,COL4A1
KEGG_AGE_RAGE_diabetic_complications,1284,COL4A2
KEGG_AGE_RAGE_diabetic_complications,1285,COL4A3
KEGG_AGE_RAGE_diabetic_complications,1286,COL4A4
KEGG_AGE_RAGE_diabetic_complications,1287,COL4A5
KEGG_AGE_RAGE_diabetic_complications,1288,COL4A6
KEGG_AGE_RAGE_diabetic_complications,1432,MAPK14
KEGG_AGE_RAGE_diabetic_complications,1536,CYBB
KEGG_AGE_RAGE_diabetic_complications,1729,DIAPH1
KEGG_AGE_RAGE_diabetic_complications,177,AGER
KEGG_AGE_RAGE_diabetic_complications,183,AGT
KEGG_AGE_RAGE_diabetic_complications,185,AGTR1
KEGG_AGE_RAGE_diabetic_complications,1906,EDN1
KEGG_AGE_RAGE_diabetic_complications,1958,EGR1
KEGG_AGE_RAGE_diabetic_complications,207,AKT1
KEGG_AGE_RAGE_diabetic_complications,208,AKT2
KEGG_AGE_RAGE_diabetic_complications,2152,F3
KEGG_AGE_RAGE_diabetic_complications,2277,VEGFD
KEGG_AGE_RAGE_diabetic_complications,2308,FOXO1
KEGG_AGE_RAGE_diabetic_complications,23236,PLCB1
KEGG_AGE_RAGE_diabetic_complications,2335,FN1
KEGG_AGE_RAGE_diabetic_complications,27035,NOX1
KEGG_AGE_RAGE_diabetic_complications,3265,HRAS
KEGG_AGE_RAGE_diabetic_complications,3383,ICAM1
KEGG_AGE_RAGE_diabetic_complications,3552,IL1A
KEGG_AGE_RAGE_diabetic_complications,3553,IL1B
KEGG_AGE_RAGE_diabetic_complications,3569,IL6
KEGG_AGE_RAGE_diabetic_complications,3576,CXCL8
KEGG_AGE_RAGE_diabetic_complications,3717,JAK2
KEGG_AGE_RAGE_diabetic_complications,3725,JUN
KEGG_AGE_RAGE_diabetic_complications,3845,KRAS
KEGG_AGE_RAGE_diabetic_complications,4087,SMAD2
KEGG_AGE_RAGE_diabetic_complications,4088,SMAD3
KEGG_AGE_RAGE_diabetic_complications,4089,SMAD4
KEGG_AGE_RAGE_diabetic_complications,4313,MMP2
KEGG_AGE_RAGE_diabetic_complications,4772,NFATC1
KEGG_AGE_RAGE_diabetic_complications,4790,NFKB1
KEGG_AGE_RAGE_diabetic_complications,4846,NOS3
KEGG_AGE_RAGE_diabetic_complications,4893,NRAS
KEGG_AGE_RAGE_diabetic_complications,50507,NOX4
KEGG_AGE_RAGE_diabetic_complications,5054,SERPINE1
KEGG_AGE_RAGE_diabetic_complications,51196,PLCE1
KEGG_AGE_RAGE_diabetic_complications,5290,PIK3CA
KEGG_AGE_RAGE_diabetic_complications,5291,PIK3CB
KEGG_AGE_RAGE_diabetic_complications,5292,PIM1
KEGG_AGE_RAGE_diabetic_complications,5293,PIK3CD
KEGG_AGE_RAGE_diabetic_complications,5295,PIK3R1
KEGG_AGE_RAGE_diabetic_complications,5296,PIK3R2
KEGG_AGE_RAGE_diabetic_complications,5330,PLCB2
KEGG_AGE_RAGE_diabetic_complications,5331,PLCB3
KEGG_AGE_RAGE_diabetic_complications,5332,PLCB4
KEGG_AGE_RAGE_diabetic_complications,5333,PLCD1
KEGG_AGE_RAGE_diabetic_complications,5335,PLCG1
KEGG_AGE_RAGE_diabetic_complications,5336,PLCG2
KEGG_AGE_RAGE_diabetic_complications,5578,PRKCA
KEGG_AGE_RAGE_diabetic_complications,5579,PRKCB
KEGG_AGE_RAGE_diabetic_complications,5580,PRKCD
KEGG_AGE_RAGE_diabetic_complications,5581,PRKCE
KEGG_AGE_RAGE_diabetic_complications,5590,PRKCZ
KEGG_AGE_RAGE_diabetic_complications,5594,MAPK1
KEGG_AGE_RAGE_diabetic_complications,5595,MAPK3
KEGG_AGE_RAGE_diabetic_complications,5599,MAPK8
KEGG_AGE_RAGE_diabetic_complications,5600,MAPK11
KEGG_AGE_RAGE_diabetic_complications,5601,MAPK9
KEGG_AGE_RAGE_diabetic_complications,5602,MAPK10
KEGG_AGE_RAGE_diabetic_complications,5603,MAPK13
KEGG_AGE_RAGE_diabetic_complications,581,BAX
KEGG_AGE_RAGE_diabetic_complications,5879,RAC1
KEGG_AGE_RAGE_diabetic_complications,595,CCND1
KEGG_AGE_RAGE_diabetic_complications,596,BCL2
KEGG_AGE_RAGE_diabetic_complications,5970,RELA
KEGG_AGE_RAGE_diabetic_complications,6300,MAPK12
KEGG_AGE_RAGE_diabetic_complications,6347,CCL2
KEGG_AGE_RAGE_diabetic_complications,6401,SELE
KEGG_AGE_RAGE_diabetic_complications,6772,STAT1
KEGG_AGE_RAGE_diabetic_complications,6774,STAT3
KEGG_AGE_RAGE_diabetic_complications,6776,STAT5A
KEGG_AGE_RAGE_diabetic_complications,6777,STAT5B
KEGG_AGE_RAGE_diabetic_complications,7040,TGFB1
KEGG_AGE_RAGE_diabetic_complications,7042,TGFB2
KEGG_AGE_RAGE_diabetic_complications,7043,TGFB3
