gene,protein_detectability,literature,druggability,hpa_ihc_reliability,dgidb_n_interactions,dgidb_approved_drugs,dgidb_categories,notes
ABCB4,3,,3,Enhanced,7,CYCLOSPORINE;IMATINIB;MARALIXIBAT;MITOMYCIN;ODEVIXIBAT;VINBLASTINE;VINCRISTINE,ABC TRANSPORTER;DRUGGABLE GENOME;ENZYME;TRANSPORTER,
ABCG2,3,,3,Enhanced,74,ANHYDROUS TACROLIMUS;AXITINIB;CAPECITABINE;CARBOPLATIN;CHLORPROMAZINE;CHORIOGONADOTROPIN ALFA;CLOZAPINE;CYCLOPHOSPHAMIDE ANHYDROUS;CYCLOSPORINE;DASATINIB ANHYDROUS,ABC TRANSPORTER;DRUGGABLE GENOME;TRANSPORTER,
ABHD17A,0,,0,Uncertain,0,,,
ABI3BP,0,,1,Uncertain,0,,DRUGGABLE GENOME,
ABLIM1,1,,0,Approved,0,,,
ABR,3,,0,Enhanced,0,,,
ACTN1,1,,3,Approved,1,VINCRISTINE,DRUGGABLE GENOME,
ADGRG6,1,,1,Approved,0,,CELL SURFACE;DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,
AGPAT2,0,,3,Uncertain,1,METRELEPTIN,DRUGGABLE GENOME;ENZYME,
ALDH18A1,1,,1,Approved,0,,DRUGGABLE GENOME;ENZYME;KINASE,
ANGPTL8,0,,0,none,0,,,
ANKRD46,1,,0,Approved,0,,,
AP2M1,0,,0,Uncertain,0,,KINASE,
APOE,3,,3,Enhanced,39,ADUCANUMAB;APIXABAN;BUPROPION HYDROCHLORIDE;CHOLESTEROL;CHORIOGONADOTROPIN ALFA;DONANEMAB;DONEPEZIL;FENOFIBRATE MICRONIZED;FLUVASTATIN;GALANTAMINE,DRUGGABLE GENOME,
ARPC1B,3,,0,Enhanced,0,,KINASE,
ATP1B1,3,,3,Enhanced,6,ACETYLDIGITOXIN;DESLANOSIDE;DIGITOXIN;DIGOXIN,DRUGGABLE GENOME;ENZYME;TRANSPORTER,
ATP6V0D1,0,,0,Uncertain,0,,ENZYME;TRANSPORTER,
BAX,1,,3,Approved,66,ARGIPRESSIN;ATENOLOL;BICALUTAMIDE;CAMPTOTHECIN;CARVEDILOL;CETUXIMAB;CHORIOGONADOTROPIN ALFA;CIPROFLOXACIN;CISPLATIN;CYCLOPHOSPHAMIDE ANHYDROUS,DRUGGABLE GENOME,
BAZ2B,0,,3,Uncertain,347,BENZTHIAZIDE;BIFONAZOLE;BITHIONOL;CARVEDILOL;CEFACLOR ANHYDROUS;CEFOTETAN;CEFOXITIN SODIUM;CEPHALOTHIN SODIUM;CEPHAPIRIN SODIUM;CHLORAMBUCIL,,
BCHE,1,,3,Approved,29,BUPIVACAINE HYDROCHLORIDE;CHLOROPROCAINE;DEMECARIUM BROMIDE;DONEPEZIL HYDROCHLORIDE;ECHOTHIOPHATE IODIDE;GALANTAMINE;IRINOTECAN HYDROCHLORIDE;ISOFLUROPHATE;MEMANTINE HYDROCHLORIDE;MEPTAZINOL,DRUGGABLE GENOME;ENZYME,
BSG,3,,2,Enhanced,4,,DRUGGABLE GENOME;TRANSPORTER,
BST2,3,,1,Enhanced,0,,CELL SURFACE;DRUGGABLE GENOME,
CA2,3,,3,Enhanced,33,ACETAZOLAMIDE;ACETAZOLAMIDE SODIUM;BENZTHIAZIDE;BRINZOLAMIDE;CHLOROTHIAZIDE;CURCUMIN;CYCLOTHIAZIDE;DICHLORPHENAMIDE;DORZOLAMIDE;DORZOLAMIDE HYDROCHLORIDE,DRUGGABLE GENOME;ENZYME,
CALM1,2,,3,Supported,6,BENZIODARONE;BEPRIDIL;CYCLOSPORINE;PRENYLAMINE,DRUGGABLE GENOME;ENZYME;ION CHANNEL;KINASE,
CAMKK2,1,,3,Approved,6,PEMETREXED DISODIUM,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE;TYROSINE KINASE,
CAST,3,,3,Enhanced,7,DOXORUBICIN HYDROCHLORIDE;EPINEPHRINE;THROMBIN ALFA,PROTEASE INHIBITOR,
CCND1,2,,3,Supported,31,ABEMACICLIB;ACETAMINOPHEN;ARSENIC TRIOXIDE;BORTEZOMIB;CISPLATIN;CYTARABINE;DOXORUBICIN HYDROCHLORIDE;FLUOROURACIL;LAPATINIB;MEDROXYPROGESTERONE ACETATE,CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;KINASE;TRANSCRIPTION FACTOR,
CCNL2,2,,0,Supported,0,,KINASE;TUMOR SUPPRESSOR,
CD151,2,,1,Supported,0,,CELL SURFACE;DRUGGABLE GENOME;TRANSPORTER,
CD7,3,,2,Enhanced,1,,DRUGGABLE GENOME,
CDH15,3,,3,Enhanced,2,ASPIRIN;CLOPIDOGREL,,
CDHR2,3,,0,Enhanced,0,,,
CDKN1A,2,,3,Supported,30,4-PHENYLBUTYRIC ACID;ACETAMINOPHEN;ARSENIC TRIOXIDE;CARBOPLATIN;CELECOXIB;CLADRIBINE;CYCLOSPORINE;DICUMAROL;EPOETIN ALFA;FLUOROURACIL,CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;KINASE;TUMOR SUPPRESSOR,
CDS2,1,,0,Approved,0,,ENZYME;KINASE,
CEBPA,1,,2,Approved,1,,CLINICALLY ACTIONABLE;TRANSCRIPTION FACTOR;TRANSCRIPTION FACTOR COMPLEX;TUMOR SUPPRESSOR,
CMA1,3,,2,Enhanced,5,,DRUGGABLE GENOME;ENZYME;PROTEASE,
COL4A2,3,,3,Enhanced,3,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM;OCRIPLASMIN,DRUGGABLE GENOME,
CPT2,3,,3,Enhanced,4,PERHEXILINE MALEATE;TRIHEPTANOIN,DRUGGABLE GENOME;ENZYME,
CREM,3,,0,Enhanced,0,,TRANSCRIPTION FACTOR;TRANSCRIPTION FACTOR COMPLEX,
CTSD,2,,3,Supported,7,STREPTOZOCIN,DRUGGABLE GENOME;ENZYME;PROTEASE,
CTSE,3,,2,Enhanced,4,,DRUGGABLE GENOME;ENZYME;PROTEASE,
CXCR3,3,,2,Enhanced,20,,CELL SURFACE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE;G PROTEIN COUPLED RECEPTOR,
CYP26A1,0,,2,none,4,,CYTOCHROME P450;DRUGGABLE GENOME;ENZYME,
CYP2C19,2,,3,Supported,477,ABROCITINIB;ACETAMINOPHEN;ALLOPURINOL;ALPROSTADIL;AMBRISENTAN;AMIODARONE HYDROCHLORIDE;AMOXICILLIN ANHYDROUS;AMSACRINE;APIGENIN;ATORVASTATIN,CYTOCHROME P450;DRUGGABLE GENOME;ENZYME,
DAPK1,1,,2,Approved,1,,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE,
DCUN1D1,0,,0,Uncertain,0,,CLINICALLY ACTIONABLE,
DGAT1,3,,3,Enhanced,8,HESPERETIN,DRUGGABLE GENOME;ENZYME,
DHRS3,2,,1,Supported,0,,DRUGGABLE GENOME;SHORT CHAIN DEHYDROGENASE REDUCTASE,
DMD,3,,3,Enhanced,8,ATALUREN;CASIMERSEN;DELANDISTROGENE MOXEPARVOVEC;ETEPLIRSEN;GOLODIRSEN;VILTOLARSEN,CELL SURFACE;DRUGGABLE GENOME;TRANSPORTER,
DNAJB4,1,,0,Approved,0,,,
DNAJC12,3,,0,Enhanced,0,,,
EIF4G1,1,,3,Approved,1,"INSULIN, REGULAR, HUMAN",,
EMILIN1,2,,1,Supported,0,,DRUGGABLE GENOME,
ENPEP,3,,2,Enhanced,3,,DRUGGABLE GENOME;ENZYME;EXTERNAL SIDE OF PLASMA MEMBRANE;NEUTRAL ZINC METALLOPEPTIDASE;PROTEASE,
ENPP1,3,,2,Enhanced,4,,CELL SURFACE;DRUGGABLE GENOME;ENZYME,
ESM1,1,,1,Approved,0,,DRUGGABLE GENOME,
FANCL,2,,0,Supported,0,,CLINICALLY ACTIONABLE;DNA REPAIR;ENZYME,
FBP1,3,,2,Enhanced,2,,DRUGGABLE GENOME;ENZYME,
FMO4,1,,1,Approved,0,,DRUGGABLE GENOME;ENZYME,
FMO5,3,,3,Enhanced,1,METFORMIN,DRUGGABLE GENOME;ENZYME,
GABRE,0,,3,Uncertain,82,ACAMPROSATE CALCIUM;ALPRAZOLAM;BREXANOLONE;BROMAZEPAM;BUTABARBITAL SODIUM;BUTALBITAL;CENOBAMATE;CHLORDIAZEPOXIDE;CHLORDIAZEPOXIDE HYDROCHLORIDE;CLOBAZAM,DRUGGABLE GENOME;ION CHANNEL,
GALNT2,2,,3,Supported,1,ATENOLOL,DRUGGABLE GENOME,
GAS2,3,,0,Enhanced,0,,,
GAS6,1,,3,Approved,3,DOCETAXEL ANHYDROUS;WARFARIN,DRUG RESISTANCE;DRUGGABLE GENOME;KINASE,
GDF15,3,,3,Enhanced,7,CALCITRIOL;DICLOFENAC SODIUM;ETOPOSIDE,DRUGGABLE GENOME;GROWTH FACTOR;HORMONE ACTIVITY;TRANSCRIPTION FACTOR,
GNB2,1,,0,Approved,0,,,
GPR88,0,,2,none,3,,DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,
GPX1,1,,1,Approved,0,,DRUGGABLE GENOME;PROTEASE INHIBITOR,
HAL,3,,0,Enhanced,0,,ENZYME,
HERC5,2,,0,Supported,0,,,
HMOX1,3,,3,Enhanced,10,ASPIRIN;SELENIUM;SORAFENIB;SUNITINIB;ZINC CHLORIDE,DRUG RESISTANCE;DRUGGABLE GENOME;ENZYME,
HPRT1,3,,3,Enhanced,4,LAMIVUDINE;MERCAPTOPURINE;MYCOPHENOLATE,DRUGGABLE GENOME;ENZYME,
HSD17B11,3,,1,Enhanced,0,,DRUGGABLE GENOME;SHORT CHAIN DEHYDROGENASE REDUCTASE,
HSPA5,3,,3,Enhanced,17,FLUOROURACIL;NORGESTREL,CELL SURFACE;DRUGGABLE GENOME;ENZYME;PROTEASE INHIBITOR;TRANSPORTER,
HSPD1,2,,3,Supported,3,ATORVASTATIN CALCIUM TRIHYDRATE;CETRORELIX,CELL SURFACE;DRUGGABLE GENOME;ENZYME,
ID1,1,,0,Approved,0,,TRANSCRIPTION FACTOR,
IDH2,3,,3,Enhanced,27,ALECTINIB;AZACITIDINE;CYTARABINE;DASATINIB ANHYDROUS;DAUNORUBICIN LIPOSOMAL;DECITABINE;ENASIDENIB;ENASIDENIB MESYLATE;GILTERITINIB;IVOSIDENIB,CLINICALLY ACTIONABLE;ENZYME,
IER3IP1,2,,0,Supported,0,,,
IER5,1,,0,Approved,0,,KINASE;TRANSCRIPTION FACTOR,
IGF1,1,,3,Approved,6,MECASERMIN;TROFINETIDE,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;GROWTH FACTOR;HORMONE ACTIVITY;KINASE,
IGFBP1,3,,3,Enhanced,12,BUSERELIN;DEHYDRATED ALCOHOL;DEXAMETHASONE;LIOTHYRONINE;OCTREOTIDE ACETATE;SIROLIMUS;STREPTOZOCIN,DRUGGABLE GENOME,
IGFBP2,0,,2,none,1,,DRUGGABLE GENOME,
IL32,0,,1,Uncertain,0,,DRUGGABLE GENOME,
IMPA1,1,,3,Approved,3,LITHIUM CARBONATE;LITHIUM CATION;LITHIUM CITRATE,DRUGGABLE GENOME;ENZYME,
IRF7,1,,0,Approved,0,,KINASE;TRANSCRIPTION FACTOR,
IRS2,1,,3,Approved,4,"ASPIRIN;DEXAMETHASONE;INSULIN, REGULAR, HUMAN",CLINICALLY ACTIONABLE;KINASE,
KHK,3,,3,Enhanced,3,FRUCTOSE,DRUGGABLE GENOME;ENZYME;KINASE,
KLRB1,1,,1,Approved,0,,CELL SURFACE;DRUGGABLE GENOME;KINASE,
KMO,3,,2,Enhanced,2,,DRUGGABLE GENOME;ENZYME,
KRT18,3,,3,Enhanced,4,MITOMYCIN;RIBAVIRIN,DRUGGABLE GENOME,
KRT8,3,,1,Enhanced,0,,DRUGGABLE GENOME,
LAMA5,3,,3,Enhanced,1,OCRIPLASMIN,DRUGGABLE GENOME,
LBP,1,,1,Approved,0,,CELL SURFACE;DRUGGABLE GENOME,
LGALS3BP,0,,1,Uncertain,0,,DRUGGABLE GENOME,
LPCAT3,0,,1,none,0,,DRUGGABLE GENOME;ENZYME,
LTBP3,0,,1,none,0,,DRUGGABLE GENOME,
LZTFL1,3,,0,Enhanced,0,,TRANSCRIPTION FACTOR,
MAGT1,1,,0,Approved,0,,TRANSPORTER,
MAN2A1,3,,1,Enhanced,0,,DRUGGABLE GENOME,
MANF,1,,1,Approved,0,,DRUGGABLE GENOME;GROWTH FACTOR,
