gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig,deg_call,logFC_paper,P_paper,adjP_paper,sig_paper,logFC_sex,P_sex,adjP_sex,logFC_GSE15653,P_GSE15653,logFC_GSE64998,P_GSE64998,consistent_both_datasets
HBB,1.52469491557793,9.1668440214461,5.83825029240884,2.28223968969629e-06,0.0158446857863832,4.66230872372958,Up,Up,1.52751434161984,7.90418446466562e-07,0.00428285034358991,Up,1.47100564682397,9.07589850284917e-06,0.0653258523050599,1.46627533934577,0.000689127523933388,1.58281643274769,0.000605888828731587,TRUE
VSNL1,-0.566664041219153,8.27094016084102,-5.62903013263269,4.09482192397975e-06,0.0158446857863832,4.14948381842661,Down,Down,-0.568872280403638,7.56623917687499e-07,0.00428285034358991,Down,-0.552334242424648,1.3685877194189e-05,0.0653258523050599,-0.598506352371229,0.000114609773005541,-0.534984190838261,0.00399383888761018,TRUE
MYOT,-0.539055460532145,3.68672860153785,-5.625367076347,4.13702215505293e-06,0.0158446857863832,4.14047532597599,Down,Down,-0.518213072550852,3.12182104222035e-06,0.00867800340522484,Down,-0.481707996810362,1.66968686736869e-05,0.0653258523050599,-0.734418797886368,4.33550018250483e-05,-0.344688874899116,0.00656972455330284,TRUE
CDKN1A,0.960105171790021,6.66196381803277,5.53732937730364,5.29391439571774e-06,0.0158446857863832,3.92368887894077,Up,Up,0.986591166343854,1.07321675833359e-06,0.00428285034358991,Up,0.896416622141087,2.33250086400257e-05,0.0653258523050599,0.826386736781334,0.0101555927760826,1.0931413698854,1.13108589019401e-05,TRUE
HPS5,0.916997060469046,5.78279995186497,5.4095101095711,7.57639756139252e-06,0.0181409263209982,3.60808361348881,Up,Up,0.895505761047224,4.34914971862254e-06,0.00867800340522484,Up,0.825438332652613,3.27393178942833e-05,0.0653258523050599,1.05161125843639,0.000963466105842541,0.783069669634181,0.000723534293125898,TRUE
DAPK1,-0.506286891347378,8.69707796550149,-5.23541152286517,1.23535783059052e-05,0.0246495065797162,3.17688011564124,Down,Down,-0.493287422623231,3.81343879223816e-06,0.00867800340522484,NS,-0.505507061689759,2.86046087124479e-05,0.0653258523050599,-0.554238593003206,0.00458560598775778,-0.458579841230606,1.79565836312486e-05,TRUE
KMO,-0.656728009523246,8.4886001739335,-5.08464839389582,1.88704265604958e-05,0.0322738209688937,2.80259877961429,Down,Down,-0.669736742318369,5.95681319348334e-06,0.0101878525074832,Down,-0.628634797975855,6.62939739042661e-05,0.0984645136235941,-0.480547220694568,0.0182458055007028,-0.832009916776267,0.000112751722785987,TRUE
ZNF253,-0.4283471748701,5.91420678511121,-5.0089906978513,2.33404361871286e-05,0.0336273794982535,2.61458735361083,NS,NS,-0.40537034522125,2.24942993730098e-05,0.0207155193918211,NS,-0.381441628462284,9.69444557931654e-05,0.113900470031884,-0.693834480883813,7.92507459340817e-06,-0.164214395927886,0.0759359433986146,TRUE
LZTFL1,-0.528722549562551,5.19264504208258,-4.98058367939855,2.52795201707553e-05,0.0336273794982535,2.5439772110976,Down,Down,-0.465080917812446,5.2157058545515e-05,0.026205194922404,NS,-0.477419720847931,0.000108244630484277,0.113900470031884,-0.855609419669557,3.59037496554107e-05,-0.203503469609151,0.0109106875116609,TRUE
GAS6,0.567192952505768,7.66718160302645,4.90776709222315,3.10162198953699e-05,0.0371326184587369,2.36296070832371,Up,Up,0.580237826280857,9.61720396336387e-06,0.014392145731174,Up,0.563923042932811,7.24211379143093e-05,0.0984645136235941,0.369066903258805,0.0371422861931351,0.764308154562696,9.48973585802967e-05,TRUE
FAM162A,-0.445574341781139,8.49171471312938,-4.85341925591841,3.61284967142994e-05,0.0393209420603266,2.22785953501391,NS,NS,-0.434253291072992,2.24107999576989e-05,0.0207155193918211,NS,-0.446494361237953,7.40211011203097e-05,0.0984645136235941,-0.531262297710606,0.00236477762864701,-0.360323569300293,0.00320746015683173,TRUE
BORCS6,0.286577029327241,5.98270813709248,4.80803738691067,4.10348696644347e-05,0.0409391216352177,2.11506481725537,NS,NS,0.285452075551898,1.78207644069162e-05,0.0206988137778932,NS,0.271618808692001,0.000138250322295215,0.118223775608451,0.328164884541281,0.00344942449922809,0.245201357047964,0.008503281742097,TRUE
