pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_P53_PATHWAY,2.92574326349431e-07,1.46287163174716e-05,0.674962860011025,0.360739257888611,1.94882091114007,192,CDKN1A;AEN;SERTAD3;HMOX1;ZMAT3;MXD4;EPS8L2;SEC61A1;RAB40C;FDXR;UPP1;NINJ1;IFI30;CTSD;DEF6;CEBPA;IP6K2;CDKN2B;IER5;TGFB1;NOTCH1;BAX;TRIB3;CD81;ABCC5;TRAF4;PHLDA3;STEAP3;HRAS;WRAP73;RXRA;H2AC25;MDM2;SDC1;DDB2;GADD45A;NUPR1;RALGDS;PLK3;RACK1;TSC22D1;CCND3;PLXNB2;GPX2;RHBDF2;SOCS1;ABHD4;IER3;H1-2;PERP;TCN2;RNF19B;EI24;HSPA4L;RPL18;GM2A;RRAD;DDIT4;PPP1R15A;TNNI1;SLC3A2;PRMT2;SERPINB5;PLK2;RPL36;F2R;CASP1;BTG1;CD82;SPHK1;TRIAP1;OSGIN1;MXD1;MAPKAPK3;CDK5R1;RGS16;DGKA;HBEGF;PIDD1;PMM1;S100A4;ADA;COQ8A;EPHX1;POLH;CDKN2A;DCXR;PRKAB1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,6.12510202094597e-06,0.000153127550523649,0.610526878385931,0.505952459637599,2.19353806835975,57,ANXA5;SREBF2;TNFRSF12A;STX5;ABCA2;MVK;AVPR1A;SQLE;MVD;TM7SF2;FASN;TRIB3;LDLR;DHCR7;NSDHL;CLU;PMVK;ECH1;FADS2;LGMN;S100A11;PCYT2;PNRC1;GLDC;PLAUR;SCD;LPL;PPARG;EBP;ALDOC;HMGCR;LGALS3;IDI1
HALLMARK_APICAL_JUNCTION,3.3046004767118e-05,0.000550766746118634,0.557332238758646,0.338653088153493,1.81268973485721,178,IKBKG;VAV2;MMP9;VASP;RAC2;LDLRAP1;RHOF;NRTN;CDH15;ACTN1;MAP4K2;CLDN7;ICAM2;MVD;FSCN1;B4GALT1;LAMB3;PLCG1;MPZL1;SHC1;PFN1;INPPL1;CRAT;SYMPK;GAMT;TAOK2;CLDN6;CDH1;HRAS;PCDH1;CLDN4;SKAP2;PKD1;MYH9;ZYX;MSN;CLDN9;ACTA1;GNAI2;NF2;AKT2;CTNNA1;STX4;RRAS;MAPK11;ARPC2;CDH4;VCAN;NRXN2;ADAM15;TSPAN4;CLDN5;YWHAH
HALLMARK_UV_RESPONSE_UP,0.000197921495060377,0.00247401868825471,0.518848077743792,0.334494318507411,1.7514800228367,155,BSG;YKT6;HMOX1;STIP1;DNAJB1;NXF1;JUNB;DGAT1;HYAL2;RXRB;RPN1;H2AX;CDKN2B;HLA-F;TST;STARD3;DNAJA1;CNP;FURIN;PSMC3;STK25;SQSTM1;IL6;BCL2L11;CYB5R1;MGAT1;RET;CDC34;PPIF;CYB5B;ACAA1;PDAP1;GPX3;CCND3;SLC6A8;KLHDC3;PRKCD;NKX2-5;MARK2;FEN1;HTR7;IRF1;WIZ;CLTB;AP2S1;CDO1;EPCAM;CLCN2;RRAD
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.000297160356803549,0.00297160356803549,0.49849310876659,0.361524119207352,1.79823441835354,107,PREB;HSPA5;ALDH18A1;EEF2;ATF4;ATP6V0D1;XBP1;HYOU1;EIF4G1;RRP9;KDELR3;SHC1;H2AX;CXXC1;WIPI1;LSM4;YIF1A;SLC7A5;EXOC2;EXOSC4;ZBTB17;ARFGAP1;WFS1;GOSR2;PDIA6;CALR;BAG3;HERPUD1;DKC1;KIF5B
HALLMARK_MYOGENESIS,0.000431554480677021,0.00359628733897517,0.49849310876659,0.302517923830861,1.64235438300695,196,CDKN1A;SIRT2;MYL4;PICK1;PSEN2;LSP1;MYO1C;FLII;PDLIM7;PPFIA4;TCAP;KIFC3;MRAS;TGFB1;CACNA1H;NOTCH1;HDAC5;CRAT;SH2B1;BAG1;CAMK2B;FABP3;SYNGR2;MYH9;CLU;TSC2;ACTA1;AGRN;DES;AKT2;IGFBP3;ENO3;ACSL1;GPX3;COL1A1;CHRNG;TNNI2;GAA;PVALB;PLXNB2;MYL11;TPM2;SLC6A8;LAMA2;DENND2B;SPDEF;BHLHE40;MYL7;SPTAN1;BIN1;CD36;MAPRE3;PC;PTP4A3;TNNI1;OCEL1;CAV3;MYBPC3;COL6A2;SCD;CFD;SGCA;FXYD1;ACHE;MAPK12;SPHK1;DMPK;STC2;AEBP1;ABLIM1;TEAD4;PPP1R3C;HBEGF;FOXO4;COL4A2;SORBS3;ATP2A1;COL3A1
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.000600765002769479,0.00384331382043551,0.477270815362862,0.371628579835214,1.75777704830262,86,TNFRSF12A;INHBE;HMOX1;IL17RA;PLA2G2A;LTB;STAT3;TGFB1;PIM1;CSF2;TYK2;IL4R;CD14;CSF1;IL6;IL3RA;LTBR;TNFRSF1A;TNF;SOCS3;IFNGR2;STAT2;PF4;SOCS1;PIK3R5;IRF1;ACVRL1;CD36;DNTT;CSF3R
HALLMARK_MTORC1_SIGNALING,0.000614930211269682,0.00384331382043551,0.477270815362862,0.292164022590848,1.57729300617533,191,CDKN1A;YKT6;HSPA5;CORO1A;STIP1;SDF2L1;TES;XBP1;FDXR;PFKL;ACLY;HMBS;IFI30;SQLE;RRP9;GAPDH;TM7SF2;ACTR2;GPI;ITGB2;RPN1;SLC7A5;TRIB3;TOMM40;LDLR;SQSTM1;ARPC5L;PSMC4;SKAP2;CYB5B;DHCR7;ME1;PNO1;PDAP1;CDC25A;ENO1;NUPR1;PSMD13;FADS2;MAP2K3;SERPINH1;NMT1;PHGDH;LGMN;CALR;NFKBIB;BUB1;CCNF;MCM4;BHLHE40;TUBG1;DDIT4;DAPP1;SLA;ATP2A2;HSPA9;PPP1R15A;EIF2S2;CFP;QDPR;STC1;WARS1;SCD;G6PD;PSPH;SERP1;M6PR;GSR
HALLMARK_APOPTOSIS,0.000750641068611066,0.00417022815895037,0.477270815362862,0.320010531781818,1.68088196158296,156,CDKN1A;TNFRSF12A;HMOX1;CCND1;BRCA1;GPX1;PSEN2;FDXR;GUCY2D;AVPR1A;BCL2L1;CASP4;PRF1;BAX;DNAJA1;KRT18;CD14;CASP9;SQSTM1;IL6;BCL2L11;CLU;IGF2R;PPP2R5B;TNF;BIRC3;GADD45A;LMNA;GPX3;RHOT2;F2;ERBB2;DAP;TSPO;PDGFRB;IER3;CASP2;GPX4;IRF1;DIABLO;SPTAN1;RNASEL;SMAD7;DNM1L;BCL2L10;LEF1;PLCB2;MADD;EREG;CASP3;CYLD;ISG20;FEZ1;F2R;GSR;CASP1;IGFBP6;HSPB1;EBP;PTK2;XIAP;RELA;FASLG;CASP6;TIMP1
HALLMARK_UV_RESPONSE_DN,0.000931532301068396,0.00465766150534198,0.477270815362862,-0.319840593978921,-1.66192622380042,141,MET;DYRK1A;PDLIM5;IRS1;PRKCA;NEK7;ADD3;DLG1;SCAF8;TGFBR3;SNAI2;TFPI;PHF3;ARHGEF9;NFIB;ATRX;ACVR2A;GJA1;LPAR1;SYNE1;INPP4B;AMPH;YTHDC1;NOTCH2;MAGI2;SCN8A;CDKN1B;COL11A1;ATP2C1;MRPS31;TJP1;KALRN;PMP22;APBB2;CAP2;ADORA2B;IGFBP5;AKT3;BCKDHB;TOGARAM1;ATRN
HALLMARK_COMPLEMENT,0.0010314522474063,0.00468841930639225,0.45505986738723,0.296744781366021,1.59903055023312,184,ANXA5;HSPA5;SERPINE1;S100A9;IRF7;DOCK9;GNB2;PPP4C;CTSD;TMPRSS6;HNF4A;CASP4;PFN1;FCN1;PIM1;MMP15;APOA4;GP9;CASP9;IL6;GZMA;CLU;GNAI2;ME1;ITIH1;PSMB9;STX4;LRP1;C1R;DYRK2;LGMN;SIRT6;MSRB1;F2;MAFF;PLA2G7;EHD1;PIK3R5;KLK1;PRKCD;CFB;CCL5;SERPING1;IRF1;MT3;CD36;LCK;ITGAM;CASP3;RHOG;DUSP5;PLAUR;APOBEC3F;MMP14;C1QA;CASP1;CTSS;ERAP2;LTF;FDX1;F10;HPCAL4;C2;CDK5R1;DGKH;TIMP1;MMP13;ADRA2B;COL4A2;GRB2;LGALS3;WAS;CXCL1;CTSV;CEBPB;PLEK;RAF1;CASP5
HALLMARK_MYC_TARGETS_V2,0.00150579740755578,0.00627415586481577,0.45505986738723,0.420413161609939,1.80006584678387,55,TBRG4;RRP9;RRP12;SRM;TFB2M;FARSA;PPRC1;MAP3K6;NOC4L;GRWD1;NIP7;IMP4;MRTO4;IPO4;MCM5;PES1;WDR74;PHB1;SLC19A1;DUSP2;MCM4
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.00249525917832618,0.00913841527695839,0.431707695803346,0.281827174973236,1.50228794318311,172,CDKN1A;LGALS3BP;IRF7;MVP;RNF31;UPP1;STAT3;IFI30;PFKP;CASP4;TNFAIP2;PIM1;ZBP1;IL18BP;IFI35;FPR1;IL4R;BST2;IL6;IFI27;IL2RB;GZMA;DHX58;PSMB9;SLC25A28;PTPN6;SOCS3;STAT2;TAPBP;PSMB10;TOR1B;SECTM1;C1R;NUP93;CD40;OGFR;ITGB7;VAMP5;SOCS1;IL10RA;CFB;CCL5;SERPING1;IRF1;PSMB8;XAF1;LY6E;CASP3;ISG20;WARS1;ICAM1;CD74;IL7;PML;CASP1;BTG1
HALLMARK_PROTEIN_SECRETION,0.00255875627754835,0.00913841527695839,0.431707695803346,-0.341243685117117,-1.6431169547684,93,TOM1L1;CLCN3;ARFIP1;SCAMP1;VAMP4;SH3GL2;TSPAN8;TMX1;GALC;ADAM10;KIF1B;VPS4B;ATP6V1H;ANP32E;SNAP23;SGMS1;STX7;BET1;COG2;SOD1;CLN5;MON2;OCRL;STAM;TMED10;ARFGEF1;DST;LMAN1;VAMP7;AP2B1;RAB5A;AP3B1;AP3S1;VAMP3;SNX2
HALLMARK_ADIPOGENESIS,0.00590426874032928,0.0196808958010976,0.407017918923954,0.276942678243411,1.47838601694934,174,PREB;CD151;PLIN2;LPCAT3;FABP4;CPT2;PFKL;ACLY;SLC25A10;DGAT1;APOE;POR;MDH2;TST;AGPAT3;CRAT;ARAF;ACO2;MGLL;CYC1;DHCR7;VEGFB;ME1;ALDH2;GADD45A;ECH1;FAH;TKT;NMT1;GPX3;PEMT;SCARB1;UQCRC1;SLC5A6;SLC19A1;IDH3G;ACADS;MTCH2;RETN;SNCG;GPX4;CAVIN2;ECHS1;CD36;BCKDHA;ESRRA;QDPR;SLC25A1;HADH;TALDO1;SLC66A3;SDHB;LPL;DHRS7;PPARG;AIFM1;SOWAHC;BCL2L13
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0103719303153556,0.0324122822354863,0.380730400722792,0.256548840031883,1.39203327526378,195,CDKN1A;SERPINE1;CCND1;JUNB;NINJ1;LITAF;BCL3;B4GALT1;LAMB3;ETS2;KDM6B;IER5;TNFAIP2;INHBA;CSF2;LDLR;SLC2A6;CSF1;SQSTM1;IL6;SGK1;SDC4;IL23A;TNF;BIRC3;GADD45A;TNIP1;MSC;PLAU;SOCS3;IFNGR2;MAP2K3;NFKBIE;TSC22D1;IER2;PHLDA2;KLF2;G0S2;EIF1;MAFF;NFKB2;EHD1;DUSP2;IER3;CCL5;RELB;IRF1;BHLHE40;RNF19B;PNRC1;ACKR3
HALLMARK_COAGULATION,0.0130430183341809,0.0363623152754824,0.380730400722792,0.275912858028873,1.4194158269282,134,SERPINE1;MMP9;SIRT2;GNB2;TMPRSS6;HNF4A;MMP15;PEF1;ARF4;FURIN;GP9;CASP9;C8G;CLU;ITIH1;APOA1;COMP;PLAU;CRIP2;LRP1;HPN;HTRA1;C1R;LGMN;F2;MAFF;PF4;MASP2;SH2B2;CFB;SERPING1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0130904334991737,0.0363623152754824,0.380730400722792,0.314606564184279,1.53318095771488,99,CDKN1A;RPS6KA1;AKT1;DUSP3;AP2M1;ACTR2;PLCG1;PFN1;ARF1;PPP1CA;TRIB3;CFL1;TRAF2;MAPKAP1;PRKAA2;HRAS;SQSTM1;ECSIT;TNFRSF1A;TSC2;ARHGDIA;MAP2K3;STAT2
HALLMARK_ALLOGRAFT_REJECTION,0.0151890478830736,0.0392743563166345,0.380730400722792,0.256745039994237,1.38667408466113,190,CAPG;TAP2;MMP9;BRCA1;SPI1;LTB;IRF7;AKT1;BCL3;ITGB2;ZAP70;PRF1;TGFB1;INHBA;TRAF2;PRKCG;IL4R;CSF1;IL6;CD7;IL2RB;CSK;GZMA;TNF;CD247;FLNA;AARS1;PTPN6;IFNGR2;TAPBP;PSMB10;RPS19;CD40;CCND3;F2;PF4;CXCR3;SOCS1;ITGAL;CCL22;CCL5;CRTAM;LCK;CD79A;EREG;FCGR2B;CFP;THY1;WARS1;ICAM1;CD74;IL7;STAB1;ACHE;F2R;KLRD1;CTSS;FGR
HALLMARK_HYPOXIA,0.0158154509822182,0.0392743563166345,0.352487857583619,0.251232403342828,1.35723226813772,192,CDKN1A;HSPA5;SERPINE1;HMOX1;GPC1;PLIN2;TES;JMJD6;FBP1;PFKL;TPST2;PPFIA4;PFKP;GAPDH;GPI;CCN5;EDN2;KDELR3;TGM2;PIM1;IL6;NAGK;MYH9;HDLBP;SDC4;GAPDHS;ENO1;IGFBP3;ENO3;HS3ST1;GAA;SCARB1;GALK1;MAFF;DPYSL4;SAP30;BCL2;GCK;IER3;LDHC;BHLHE40;PNRC1;ACKR3;DDIT4;PPP1R15A;VHL;SLC2A5;STC1;SLC25A1;PLAC8;ISG20;PLAUR;HAS1
HALLMARK_SPERMATOGENESIS,0.0164952296529865,0.0392743563166345,0.352487857583619,-0.292609363435745,-1.4871988496002,123,SCG5;IFT88;COIL;SIRT1;TKTL1;CCT6B;TOPBP1;STAM2;ALOX15;ZPBP;SYCP1;PARP2;MLF1;HSPA1L;DMC1;ZC3H14;SPATA6;NPY5R;PIAS2;DCC;RAD17;AGFG1;CST8;TULP2;TTK;VDAC3;NEK2;CCNB2;TSSK2;ODF1;MTNR1A;SNAP91;CRISP2;TLE4;PRKAR2A;ACRV1;ADAM2;MAST2;GSTM3;NEFH;PACRG;ART3
HALLMARK_IL2_STAT5_SIGNALING,0.0260746437464972,0.0592605539693118,0.352487857583619,0.252084218860114,1.34590357171036,175,CAPG;PLIN2;SPP1;CTSZ;XBP1;LTB;MYO1C;PLEC;CDC6;BCL2L1;TGM2;DHRS3;AGER;PIM1;RNH1;CD81;CSF2;FURIN;CD79B;IL4R;FLT3LG;CSF1;IL3RA;SYNGR2;IL2RB;IGF2R;FAH;BATF;ENO3;CCND3;MYO1E;MAFF;CST7;SOCS1;CISH;BCL2;IL10RA;SERPINB6;GPX4;P2RX4;BHLHE40;NRP1;GATA1;PTH1R;ST3GAL4;S100A1;CASP3;MAPKAPK2;CD48;TWSG1;ITGA6;PUS1;PTGER2
HALLMARK_GLYCOLYSIS,0.036246085870106,0.0787958388480565,0.321775918075361,0.241796929792382,1.3010571751351,186,HSPA5;GPC1;CHPF;B4GALT7;IDUA;PYGB;GFUS;PPFIA4;GFPT1;SLC25A10;PFKP;B4GALT1;PMM2;KDELR3;MDH2;CACNA1H;PLOD1;PKP2;PSMC4;GMPPA;NSDHL;HDLBP;CLDN9;SDC1;ME1;AGRN;B3GAT3;GAPDHS;ENO1;GMPPB;IGFBP3;ELF3;XYLT2;CLDN3;GALK1;DPYSL4;VCAN;SAP30;QSOX1;IER3;SLC16A3;LDHC;B4GALT4;PKM;DDIT4;GNPDA1;SOX9;PC;B4GALT2;GALK2;CLN6;NOL3;STC1;ISG20;LHPP;MERTK;CAPN5;G6PD;TALDO1
HALLMARK_PEROXISOME,0.05078125,0.105794270833333,0.282013350011725,0.273081680796074,1.33243323365896,96,IDH2;MVP;CRABP2;DHRS3;CRAT;ABCC5;ABCB4;HRAS;SLC27A2;CACNA1B;ACAA1;MLYCD;ECH1;MSH2;ACSL1;ESR2;ATXN1;PEX6;CTBP1;ERCC3;FABP6;PABPC1;TSPO;YWHAH;PEX13;HMGCL
HALLMARK_TGF_BETA_SIGNALING,0.0530451866404715,0.106090373280943,0.276500599254472,0.344081967969969,1.46082532512889,53,SERPINE1;JUNB;CDK9;ID1;SKIL;TGFB1;PPP1CA;FURIN;CDH1;ENG;RHOA;SMAD1;IFNGR2;SMAD6;SMAD7;PPP1R15A;NCOR2;SMAD3;HDAC1;ID2;RAB31;XIAP
