pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,0.000472654907408165,0.0841325735186534,0.49849310876659,0.624502758169568,2.06865224831476,19,TMED3;KDELR3;ARCN1;ARF1;COPG1;KDELR1;TMED9;COPE;COPZ2;GBF1
KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA,0.00128617830703613,0.114469869326216,0.45505986738723,-0.546615412642429,-1.94379582929916,25,NUP43;NCBP1;NUP88;NUP107;NUP133;NUP205;SRSF7;NUP54;NXT2;SEH1L;NDC1;NUP160;RANBP2;NUP58;NUP155
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY,0.00298113016776882,0.176880389954283,0.431707695803346,0.520524458842921,1.8955287073044,27,CLDN7;CTTN;ACTR2;ARPC1B;CLDN6;CLDN4;ARPC5L;CLDN9;CLDN3;ARPC2;CLDN5;ARPC5;ARPC1A
KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS,0.00652786508111699,0.288994751612473,0.407017918923954,-0.566259483237467,-1.84279414057864,18,PIGN;PIGP;PIGF;PIGB;PIGL;PGAP1;PIGV;PIGK;PIGA
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY,0.00811783010147397,0.288994751612473,0.380730400722792,0.524270820201667,1.73663606244878,19,VAV2;PLCG1;ZAP70;CD247;LAT;VAV1;LCK;GRAP2
KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,0.0105643189921598,0.313408130100741,0.380730400722792,0.492525843591845,1.70727686886917,22,BORCS6;KLC2;PLEKHM2;TUBB1;TUBB4B;KIF5C;TUBA3C;KIF5B;KXD1;TUBB2B;TUBA4A
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,0.0504709058891348,0.642367376398412,0.321775918075361,0.457037698231913,1.5139277603564,19,KLC2;PLEKHM2;TUBB1;TUBB4B;KIF5C;TUBA3C;KIF5B;TUBB2B;TUBA4A
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.0458083580770427,0.642367376398412,0.321775918075361,0.417006841359749,1.5099445423106,28,CYTH2;ACTR2;ARPC1B;ARF1;ARPC5L;CYTH4;PIK3CD;ARPC2;CYTH3;ARPC5;ARPC1A
KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.0600414078674948,0.642367376398412,0.266350657088526,0.4139615489146,1.50747190906664,27,CYTH2;ACTR2;ARPC1B;ARF1;ARPC5L;CYTH4;PIK3CD;ARPC2;CYTH3;ARPC5;ARPC1A
KEGG_MEDICUS_REFERENCE_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,0.0366616733947621,0.642367376398412,0.321775918075361,0.465483571105099,1.63590139521725,23,CYTH2;ACTR2;ARPC1B;ARF1;ARPC5L;CYTH4;ARPC2;CYTH3;ARPC5;ARPC1A
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION,0.027350751082444,0.642367376398412,0.352487857583619,0.482649142230962,1.59876512979654,19,MCM3;VCP;NPLOC4;GINS2;MCM7;MCM5;ELOB;MCM4
KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,0.0600414078674948,0.642367376398412,0.266350657088526,0.445841422500074,1.49908677602288,20,PFKL;PFKP;GAPDH;GPI;ENO1;ENO3;LDHC;PKM
KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY,0.0594059405940594,0.642367376398412,0.261663521711573,-0.474818729855085,-1.49509801170612,16,IFNA2;TRAF6;IFNA13;TLR8;IFNA5;IFNA10
KEGG_MEDICUS_REFERENCE_TNF_P38_SIGNALING_PATHWAY,0.0560165975103735,0.642367376398412,0.276500599254472,0.441769221457707,1.51151537859725,21,ATF4;CREB3;TRAF2;TNFRSF1A;TRADD;TNF;MAP2K3
KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY,0.0510511677199039,0.642367376398412,0.321775918075361,0.489130511226824,1.55602569815347,16,MCM3;VCP;NPLOC4;GINS2;MCM7;MCM5;MCM4;TRAIP
KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY,0.0613496932515337,0.642367376398412,0.261663521711573,0.42894139323621,1.48686962989006,22,CACNA1A;CACNA1H;SLC25A5;CASP9;CACNA1B;SLC25A6;CASP3;CACNA1S;VDAC1;CACNA1D;CACNA1C;CACNA1I;APAF1;SLC25A4;CYCS;CACNA1E;CACNA1G;CACNA1F
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_AGE_RAGE_SIGNALING_PATHWAY,0.0587047332084447,0.642367376398412,0.321775918075361,0.487814333560132,1.51767049582084,15,AGER;ARAF;HRAS;IL6;TNF;MAP2K2;MAPK3
KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT,0.0893970893970894,0.683700734802939,0.216542836735348,0.425063494829867,1.38608640125823,18,KLC2;TUBB1;TUBB4B;KIF5C;TUBA3C;KIF5B;TUBB2B;TUBA4A
KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING,0.0748560460652591,0.683700734802939,0.227987202850442,-0.44525087269155,-1.44899242056389,18,CASQ1;ASPH;CACNA2D3;CACNB2;RYR2;CACNB1;CACNB4;CACNA2D2;CACNG4;CACNA2D1;CASQ2;TRDN
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY,0.0921843687374749,0.683700734802939,0.208955027549354,0.328176552433378,1.34745561552589,43,STAT3;PIM1;IL4R;IL6;IL3RA;IL2RB;IL23A;EPO;IFNGR2;STAT2;JAK3
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP,0.0769230769230769,0.683700734802939,0.234392647294686,0.438658725477738,1.43041898815922,18,DUSP7;DUSP3;DUSP9;DUSP8;MAPK3;DUSP2;DUSP5
