pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,1.22101676745371e-09,1.31503505854765e-06,0.788186810800237,0.641633322807335,2.60456210973099,43,PREB;HSPA5;ATP6V0D1;XBP1;HYOU1;EXTL3;GFPT1;KDELR3;SHC1;CXXC1;WIPI1;YIF1A;ZBTB17;ARFGAP1;WFS1;GOSR2;CUL7;PDIA6;PPP2R5B;MYDGF;LMNA;ACADVL;KLHDC3;SRPRA;EXTL1
REACTOME_NEUTROPHIL_DEGRANULATION,2.71475925043563e-07,0.000146189785635959,0.674962860011025,0.297354778510585,1.73536847169588,396,HBB;STK10;AGPAT2;MMP9;TOLLIP;EEF2;PTGES2;PLEKHO2;ARHGAP45;CHI3L1;NBEAL2;HMOX2;RHOF;CTSZ;S100A9;PYGB;MVP;PYCARD;PFKL;ACLY;TMBIM1;DGAT1;CTSD;B4GALT1;ACTR2;LPCAT1;GPI;ITGB2;VCP;KCNAB2;NEU1;TMEM63A;XRCC6;ARSA;FCN1;HSPA8;ADGRE5;FPR1;FTH1;PSMC3;PGLYRP1;BST2;DYNC1H1;CD14;RAB5C;TCIRG1;SLC27A2;PTAFR;CYBA;TSPAN14;RAB3D;CTSA;ATP11A;ACAA1;ATP6V0C;TYROBP;RHOA;PSMD2;IGF2R;PDAP1;PSMD13;HK3;DOK3;PLAU;LILRB2;PTPN6;TOM1;GSDMD;GRN;CYB5R3;GAA;CAPN1;APRT;AZU1;OLFM4;PSAP;TUBB4B;ADAM8;MNDA;ACTR1B;ITGAL;SLC11A1;LYZ;S100A8;FOLR3;S100A11;QSOX1;PRKCD;DSN1;APEH;SERPINB6;RETN;AP2A2;CST3;ARPC5;CEACAM3;PSMD3;PRSS2;SPTAN1;GYG1;MLEC;CD36;PKM;GM2A;MMP25;ITGAM;PRDX4;CRISP3;SERPINB1;SIGLEC9;ATP6V0A1;CAP1;CSNK2B;RAB5B;CFP;RHOG;SLC2A5;C1orf35;ANPEP;PLAC8;S100A7;PLAUR;MAN2B1;RNASET2;ILF2;CSTB;CFD;PSMD7;OSTF1;CMTM6;DYNLL1;CTSS;FPR2;IMPDH1;FGR;LTF;ADA2;AHSG;LAMTOR2;CPPED1;RAB31;ALDOC;MGAM;GSTP1;LILRA3;CXCR2;AMPD3;JUP;GLB1;CAB39;HSP90AB1;CAMP;HEXB;DEGS1;ADGRG3;LAIR1;LGALS3;GLA;CD300A;PA2G4;CXCL1;GMFG;GSN;PTPRJ;DEFA4;ITGAX;MANBA;NCKAP1L;P2RX1;HSPA6;SIRPA;LCN2;TMC6;ALAD;VNN1;TRPM2;MAPK1;CALML5;CAT;CHIT1;RAB27A;C5AR1
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,4.32919605704087e-06,0.00155418138447767,0.610526878385931,0.454164759317365,2.10238562739258,80,PREB;HSPA5;ATF4;ATP6V0D1;CREB3;XBP1;HYOU1;EXTL3;GFPT1;KDELR3;SHC1;CXXC1;WIPI1;MBTPS1;YIF1A;EXOSC4;ZBTB17;ARFGAP1;WFS1;GOSR2;CUL7;PDIA6;EXOSC7;PPP2R5B;MYDGF;LMNA;ACADVL;CALR;HERPUD1;KLHDC3;SRPRA;EXTL1
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,7.65932098009841e-06,0.0020622721738915,0.593325476396405,0.315912144099809,1.75511412071201,250,PREB;YKT6;STX5;SEC16A;ALG12;SLC35C1;GOLGA2;NANS;CTSZ;TMED3;GFUS;ALG3;GFPT1;NAPA;MGAT4B;MVD;B4GALT1;PMM2;ACTR1A;KDELR3;RPN1;VCP;ARCN1;NEU1;MOGS;ARF1;SPTB;ARF4;ASGR1;ARFGAP1;CSNK1D;COPG1;DYNC1H1;GOSR2;KDELR1;TMED9;GMDS;PPP6R1;MGAT1;TUBB1;COG4;LMAN2;NAGK;MAN2A2;GMPPA;CTSA;DHDDS;FOLR1;CAPZB;GORASP1;CMAS;GMPPB;DPM2;COPE;BET1L;ARF5;ST8SIA5;SPTBN2;CALR;COPZ2;TUBB4B;DOLK;RENBP;TUBA3C;AMDHD2;SEC24C;UBXN1;MPDU1;MAN1B1;DERL1;SPTBN4;AMFR;B4GALT4;SPTAN1;SEC13;GBF1;MLEC;DCTN2;TRAPPC6A;ARFGAP3;DPM3;B4GALT2;ST3GAL4;ST6GALNAC4;SPTBN5;ENGASE;TMEM115
REACTOME_SIGNALING_BY_INTERLEUKINS,2.35631127727838e-05,0.00507549449125763,0.575610261071129,0.269370325548365,1.57919104373976,408,CDKN1A;RPS6KA1;IKBKG;MMP9;HMOX1;IL17RA;CCND1;TOLLIP;TXLNA;IL32;PPP2R1A;LAMA5;IL17RC;DUSP7;JUNB;CRK;LBP;AKT1;LGALS9;P4HB;STAT3;DUSP3;PIK3R2;HNRNPF;BIRC5;FSCN1;ITGB2;SHC1;BCL2L1;AGER;TGFB1;PIM1;ARF1;IL18BP;INPPL1;HSPA8;CFL1;CSF2;TRAF2;FPR1;PSMA7;PSMC3;IL22RA1;TYK2;IL4R;CSF1;SQSTM1;IL6;IL3RA;PTAFR;PSMC4;IL2RB;TNFRSF1A;ADRM1;H3C8;LRRC14;MSN;SDC1;PSMD2;IL23A;TNF;AIP;RAPGEF1;MAP2K7;BATF;PSMD13;STX4;STXBP2;PTPN6;SOCS3;IL20RA;VIM;MAP2K3;STAT2;OPRD1;H3C11;PITPNA;GSDMD;HCK;VRK3;MAP3K3;PIK3CD;MAPK11;JAK3;NFKB2;H3C10;NLRX1;POMC;SOCS1;MAPK7;CISH;VAV1;NFKBIB;BCL2;CCL22;MAPK3
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,4.00573713236036e-05,0.00643924063044835,0.557332238758646,0.416927465721077,1.93032840199029,85,YKT6;STX5;GOLGA2;TMED3;NAPA;ACTR1A;KDELR3;ARCN1;ARF1;SPTB;ARF4;ARFGAP1;COPG1;DYNC1H1;GOSR2;KDELR1;TMED9;TUBB1;COG4;FOLR1;CAPZB;GORASP1;COPE;BET1L;ARF5;SPTBN2;COPZ2;TUBB4B;TUBA3C;SPTBN4;SPTAN1;GBF1;DCTN2;ARFGAP3;SPTBN5;TMEM115;DYNLL1;TUBB2B;TUBA4A;DCTN1;RAB1A
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION,4.7830942473154e-05,0.00643924063044835,0.557332238758646,0.485235282767659,2.05668666667083,54,GATAD2A;MBD3;H2AX;H4C2;H4C13;H4C1;H2BC10;H4C8;H3-3B;H3C8;H2BC11;H2BC12;H3C11;H2AC14;H3C10;RBBP4;H3C1;H4C6;H2BC5;HDAC1;H4C9;EHMT2;H3C6;H2AC6;H2BC14;H2BC9;H3C2;CHD4;H2AZ2;CHD3;H2BC4;MTA1
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,4.4064807684369e-05,0.00643924063044835,0.557332238758646,0.441760533252617,1.9874183317651,70,CDKN1A;SPI1;STAT3;CEBPA;H2AX;H4C2;H4C13;H4C1;H2BC10;H4C8;MYB;RXRA;H3-3B;H3C8;H2BC11;CEBPE;H2BC12;H3C11;TAL1;H2AC14;H3C10;H3C1;LEF1;CSF3R;H4C6;PML;H2BC5;H4C9;H3C6;CDK4;H2AC6;CEBPB;H2BC14;H2BC9;H3C2
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,7.64537028537205e-05,0.00914895977482855,0.538434096309916,0.478221747845177,2.02695955433261,54,PRMT1;CCND1;SMARCB1;H2AX;H4C2;H4C13;H4C1;PRMT7;H4C8;H2AC25;H3C8;H3C11;H2AC15;H2AC14;CARM1;RPS2;SMARCC2;H3C10;ARID1A;H3C1;H4C6;H2AC13;SMARCA4;H4C9;H3C6;CDK4;H2AC11;SMARCD3;H2AC6
REACTOME_DNA_METHYLATION,8.62513132860318e-05,0.00928926644090562,0.538434096309916,0.494963746206088,2.03708416572099,45,H2AX;H4C2;H4C13;H4C1;H2BC10;H4C8;H3-3B;H3C8;H2BC11;DNMT1;H2BC12;H3C11;H2AC14;H3C10;H3C1;H4C6;H2BC5;H4C9;H3C6;H2AC6;H2BC14;DNMT3L;H2BC9;H3C2;H2AZ2
