gene,module,GS_T2D,GS_p,MM_red,MM_yellow,MM_tan,MM_greenyellow,kME_own,hub
GSTM1,grey,0.0899056447460428,0.655624036277571,-0.0493450774556335,-0.220187414482696,-0.111283472512169,-0.159221593453678,,FALSE
PLA2G2A,red,0.549585729022443,0.00298370830702185,0.506123878206305,-0.387927504655278,-0.569594863703641,-0.234650727463619,0.506123878206305,FALSE
IGFBP1,yellow,-0.558542353715421,0.00246174659225149,-0.679707181920541,0.742472887452385,0.669666805700186,0.186659343058181,0.742472887452385,TRUE
IL32,turquoise,0.613334817301434,0.000669155597295787,0.843960988876853,-0.78293321822401,-0.787677937428046,-0.506071047720788,0.643879570738954,FALSE
CRP,red,0.511133909396408,0.00643555919262859,0.559060928875732,-0.371797674455912,-0.636090388094807,-0.0894269128089448,0.559060928875732,FALSE
LGALS4,turquoise,0.335356253348128,0.0872606140982199,0.436671571941686,-0.380675647070141,-0.252938552094065,-0.23823348785118,0.37151978001089,FALSE
IGFBP2,yellow,-0.408079643289301,0.0345932547855557,-0.356497531542719,0.525006728692386,0.266705580171456,0.357595819327872,0.525006728692386,FALSE
CHI3L1,turquoise,0.540413469780051,0.00361357453043,0.659078327428987,-0.459365228286985,-0.622458244697253,-0.36377519647736,0.480884241685458,FALSE
CYP2C19,yellow,-0.626991549868537,0.000465576038232338,-0.635899682553385,0.747400263766566,0.656291565845167,0.567945366528754,0.747400263766566,TRUE
S100A8,purple,0.334619963509278,0.0880004677166838,0.0256793348913436,-0.059241173299024,-0.231798960284937,-0.123699091455326,0.591601116019187,FALSE
HMGCS1,cyan,0.140926765267991,0.483216933762369,0.304798042268877,0.0701855943913273,-0.176006379882144,-0.231719157515244,0.876882366240831,FALSE
HBB,turquoise,0.746846951529928,7.65396432653258e-06,0.512083027382795,-0.588755596179056,-0.424415684015435,-0.6195582102239,0.558545538471529,FALSE
INHBE,turquoise,0.617894810101982,0.000593924316638797,0.684513404632232,-0.716049821295128,-0.48405875744479,-0.400433966134429,0.573497539834567,FALSE
ENO3,turquoise,0.366524507296805,0.0600482155202011,0.407548818087694,-0.553526509852893,-0.254822988543779,-0.448242761421063,0.461242009431976,FALSE
P4HA1,yellow,-0.617293002152153,0.000603409891032845,-0.70813867793495,0.659985525141646,0.46299682743859,0.660387337959503,0.659985525141646,FALSE
TSPAN8,yellow,-0.497977634912876,0.00820947296055814,-0.432739363834304,0.416325398369222,0.471026435685477,0.206769328005005,0.416325398369222,FALSE
IGF1,yellow,-0.434790283304063,0.0234262375000699,-0.595361150255491,0.771557617014198,0.55867233963888,0.38763493567652,0.771557617014198,TRUE
PZP,blue,-0.0319473066832676,0.874308610948832,-0.0814666737250326,0.149458211399956,0.0158740258125415,0.198281603074274,0.376576896406087,FALSE
OAT,yellow,-0.341178253162563,0.0815752176561866,-0.470271415865561,0.764522814358483,0.632367965284592,0.0672741675066347,0.764522814358483,TRUE
IDH2,turquoise,0.540490403152789,0.00360785391644172,0.808078296371322,-0.686377275463834,-0.727337550832272,-0.400848797289152,0.844054409062946,FALSE
SLC3A1,grey,-0.169304690698887,0.398544000552297,-0.327011020061437,0.327366168507525,0.395858317444941,0.210390472559686,,FALSE
NNMT,turquoise,0.347382410155672,0.0758317149203281,0.354942329408346,-0.131409138721527,-0.479561932513769,0.0424187896868978,0.234708959085697,FALSE
LGALS3BP,turquoise,0.572392225425903,0.00180903921457584,0.740216528925961,-0.704772998577389,-0.651016740005891,-0.407356098222246,0.757286715564058,FALSE
ACTA2,brown,-0.136091421131956,0.498501131075105,-0.293010559399748,0.267125756739168,0.151294176601414,0.276138717847842,0.65240787459687,FALSE
LUM,brown,-0.196815399899862,0.325135552897869,-0.267288960048767,0.0427332833591215,0.00226753245798541,0.336665074381139,0.752660689226619,FALSE
