module,size,r_T2D,p_T2D,r_T2D_GSE15653,p_T2D_GSE15653,r_T2D_GSE64998,p_T2D_GSE64998,concordant,replicates,key
red,135,0.653489617659105,0.0002189443387535,0.624525564885825,0.0169603750250891,0.683338350032427,0.010028831521516,TRUE,TRUE,TRUE
yellow,170,-0.60124689854809,0.000910094903222367,-0.473558920281199,0.0871805721272204,-0.741966453901985,0.00368655058495253,TRUE,TRUE,TRUE
tan,46,-0.597449966427882,0.000999892813109836,-0.584560602475682,0.0281306684288294,-0.611063005383357,0.0265056690024739,TRUE,TRUE,TRUE
greenyellow,67,-0.518847160408601,0.00555477612647281,-0.49885493564304,0.0693934044974867,-0.54706590272972,0.05300517267035,TRUE,TRUE,TRUE
blue,1671,-0.477259309707626,0.0118252343035915,-0.715512779445642,0.00401160875752494,0.114924143268766,0.708511618388401,FALSE,FALSE,FALSE
green,137,0.467075873165076,0.0140380979737059,0.688241402589212,0.00650395935445011,0.232865733107778,0.44389755189058,TRUE,FALSE,FALSE
turquoise,1796,0.458362086877008,0.0161940174498165,0.626503302588607,0.0165128716180231,0.16176437195554,0.597513042315469,TRUE,FALSE,FALSE
pink,109,0.291341035562611,0.140367961018648,0.45491354091326,0.102180285753491,0.120276192501154,0.695507562998464,TRUE,FALSE,FALSE
brown,231,-0.240739228145933,0.226426851967601,-0.525189490356737,0.0537934424267135,0.0197951367600262,0.948822058962132,FALSE,FALSE,FALSE
black,119,-0.227711000456737,0.253321644965537,-0.385603960534692,0.173309493130433,0.0229771411300186,0.940607493063806,FALSE,FALSE,FALSE
magenta,104,-0.213566476756246,0.284792729644288,-0.500251080137696,0.0684938573187053,0.0389916945469272,0.899362073584133,FALSE,FALSE,FALSE
salmon,44,0.151308274610402,0.451226703733744,0.364904288750349,0.199546637546172,-0.198076047348781,0.516539103360924,FALSE,FALSE,FALSE
purple,74,0.129127556606197,0.520929448234937,-0.388335235327405,0.170023973335612,0.441274910017014,0.13117952214586,FALSE,FALSE,FALSE
cyan,42,0.107188908597856,0.594620644016076,-0.305198091721256,0.288661769230887,0.565759908648024,0.0438719310732455,FALSE,FALSE,FALSE
