module,size,r_T2D,r_Dataset,r_HbA1c_GSE15653,r_T2D_GSE15653,r_T2D_GSE64998,p_T2D,p_Dataset,p_HbA1c_GSE15653,p_T2D_GSE15653,p_T2D_GSE64998,concordant,replicates
salmon,44,0.151308274610402,-0.00776743415995884,0.491922299537183,0.364904288750349,-0.198076047348781,0.451226703733744,0.96932776500438,0.0739850219759039,0.199546637546172,0.516539103360924,FALSE,FALSE
red,135,0.653489617659105,-0.0659805466949205,0.498454230428389,0.624525564885825,0.683338350032427,0.0002189443387535,0.743684109617228,0.0696531280317332,0.0169603750250891,0.010028831521516,TRUE,TRUE
turquoise,1796,0.458362086877008,-0.0555928426119402,0.512604203853094,0.626503302588607,0.16176437195554,0.0161940174498165,0.782999060161937,0.0608935540332124,0.0165128716180231,0.597513042315469,TRUE,FALSE
green,137,0.467075873165076,-0.0498900698199475,0.532788204892389,0.688241402589212,0.232865733107778,0.0140380979737059,0.804812769312629,0.0498083212911158,0.00650395935445011,0.44389755189058,TRUE,FALSE
pink,109,0.291341035562611,-0.0303922019202445,0.454795736465699,0.45491354091326,0.120276192501154,0.140367961018648,0.880382575720416,0.102280358214501,0.102180285753491,0.695507562998464,TRUE,FALSE
cyan,42,0.107188908597856,0.00507563352797758,0.0364301703117434,-0.305198091721256,0.565759908648024,0.594620644016076,0.979954557519923,0.901600178588221,0.288661769230887,0.0438719310732455,FALSE,FALSE
tan,46,-0.597449966427882,0.0755384896728947,-0.37366175073199,-0.584560602475682,-0.611063005383357,0.000999892813109836,0.708053005106892,0.18815687975142,0.0281306684288294,0.0265056690024739,TRUE,TRUE
yellow,170,-0.60124689854809,0.0758350530430417,-0.211841953066582,-0.473558920281199,-0.741966453901985,0.000910094903222367,0.706956544049442,0.467192287568071,0.0871805721272204,0.00368655058495253,TRUE,TRUE
black,119,-0.227711000456737,0.0402943704205339,-0.20403050599365,-0.385603960534692,0.0229771411300186,0.253321644965537,0.841833304166698,0.484144960205239,0.173309493130433,0.940607493063806,FALSE,FALSE
blue,1671,-0.477259309707626,0.0648736582828537,-0.565181215371329,-0.715512779445642,0.114924143268766,0.0118252343035915,0.747845574767904,0.0351932161602439,0.00401160875752494,0.708511618388401,FALSE,FALSE
greenyellow,67,-0.518847160408601,0.0529233357513932,-0.552721643958034,-0.49885493564304,-0.54706590272972,0.00555477612647281,0.79319134770133,0.0403776224621856,0.0693934044974867,0.05300517267035,TRUE,TRUE
purple,74,0.129127556606197,-0.0127476519830369,-0.328211002009247,-0.388335235327405,0.441274910017014,0.520929448234937,0.949681464113782,0.251938814115161,0.170023973335612,0.13117952214586,FALSE,FALSE
brown,231,-0.240739228145933,0.0290520480787622,-0.370144561629198,-0.525189490356737,0.0197951367600262,0.226426851967601,0.885622296973356,0.192680020039326,0.0537934424267135,0.948822058962132,FALSE,FALSE
magenta,104,-0.213566476756246,0.0315892222757447,-0.345106577242048,-0.500251080137696,0.0389916945469272,0.284792729644288,0.875706622120671,0.226874532912969,0.0684938573187053,0.899362073584133,FALSE,FALSE
