Power,SFT.R.sq,slope,truncated.R.sq,mean.k.,median.k.,max.k.,R2
1,0.264365175314236,0.723760689695578,0.660420917767722,841.809857984554,874.955895096787,1332.53743445201,-0.264365175314236
2,0.2479793847105,-0.575294049779783,0.634521655423858,390.692839236713,387.952436669379,874.281923975701,0.2479793847105
3,0.542930386362033,-0.972360133781708,0.822794055638499,210.682600449364,191.617980556898,614.928579907521,0.542930386362033
4,0.652249464711762,-1.18416666828726,0.89527121891783,124.246123795837,101.471458227257,450.140419652532,0.652249464711762
5,0.728572530999246,-1.28351453917547,0.944523670053653,77.8832850610146,56.6103326362129,338.69748022326,0.728572530999246
6,0.785128405488219,-1.36619968702839,0.970888360052456,51.0722309868966,32.9749056618556,260.215807907736,0.785128405488219
7,0.819811146706195,-1.42476225541689,0.980078453028372,34.686882241104,19.9862997398798,203.301102018851,0.819811146706195
8,0.838961470432275,-1.4719051227514,0.986036683992216,24.2355999165528,12.4150493595649,161.073072917537,0.838961470432275
9,0.861801986756449,-1.50859055903408,0.988334436537255,17.336335129105,7.93490650561681,129.151674626502,0.861801986756449
10,0.877209414752498,-1.53250311456699,0.988186789353294,12.6507973457283,5.16038261852983,104.638493602922,0.877209414752498
12,0.886218892659377,-1.56230543238575,0.980987878651639,7.07735555836029,2.30694402295132,70.8765799241379,0.886218892659377
14,0.906118018579067,-1.59453901557344,0.990731467605432,4.17606218425641,1.11118419562331,50.1186990606096,0.906118018579067
16,0.922023379325653,-1.60829346291476,0.998501239612643,2.57137960995034,0.563931488693997,36.2722589125518,0.922023379325653
18,0.923881784439669,-1.61721728074132,0.988893639641863,1.63977739270869,0.299289633436922,26.7564067050273,0.923881784439669
20,0.935256049328191,-1.6129933692178,0.996533281982119,1.07695520551279,0.159961525933386,20.054368545202,0.935256049328191
22,0.937021594104717,-1.60815593747998,0.991387807656199,0.725359958019835,0.0901528128259652,15.2361708173292,0.937021594104717
24,0.945982481562514,-1.60219770576593,0.993635150430569,0.499347974265569,0.0520700545946109,11.7113395084808,0.945982481562514
26,0.951549882410766,-1.60014900795797,0.995833339399641,0.350418987588254,0.0306878454571006,9.09374119932737,0.951549882410766
28,0.949918009936288,-1.59660423958368,0.990262012679432,0.250128560520017,0.0186498505330175,7.17375436653775,0.949918009936288
30,0.947885141601182,-1.59829151970247,0.978573111156134,0.18128056687345,0.0113825190542101,5.73876787277099,0.947885141601182
