gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig,sig_fallback,logFC_paper,adjP_paper,sig_paper,logFC_GSE15653,P_GSE15653,logFC_GSE64998,P_GSE64998,logFC_C2,P_C2,adjP_C2,hyperglycemia_tag
CDKN1A,0.94301688668823,6.66675256990885,6.28871620383263,1.73708721503071e-07,0.00146783869670095,6.99322860411656,Up,Up,0.971914625008611,0.000275870041607747,Up,0.819288392373592,0.00533406074678434,1.07106031615829,5.04458941989439e-07,0.310012902363427,0.0430003766558073,0.999792781902493,TRUE
HBB,1.52165973674511,9.26316264824064,5.53717040077959,2.01303221249585e-06,0.00850506109779497,4.79696452441426,Up,Up,1.52844835580053,0.00402780305058708,Up,1.45841534719449,0.00272973195819298,1.55616855972248,0.000136263979109824,0.273482029918698,0.320544747523659,0.999792781902493,FALSE
DAPK1,-0.506438887300017,8.75969032776348,-5.32206435897524,4.04464325386949e-06,0.0113924118317324,4.16953930551301,Down,Down,-0.501339365124187,0.00513577644359789,Down,-0.54903377564261,0.00243149238378616,-0.471781929274181,0.000279530186212006,-0.130297223029767,0.174017355227641,0.999792781902493,FALSE
GAS6,0.551620094430099,7.58497039121637,5.13081755284178,7.50024199076112e-06,0.0143765204762116,3.61383559250086,Up,Up,0.567034693071297,0.00513577644359789,Up,0.351257532432722,0.0386908194456839,0.757739078936539,1.82049276544516e-05,0.212876683719793,0.0521170876625062,0.999792781902493,FALSE
FAM162A,-0.430588513556451,8.3603716847699,-5.01425046182057,1.09099727683007e-05,0.0143765204762116,3.27651004546663,NS,NS,-0.42271334995214,0.00636455293506912,NS,-0.505499746899902,0.00178562324267058,-0.366786176127136,0.00236577863191865,-0.0901179147306763,0.295198508935523,0.999792781902493,FALSE
KMO,-0.66102882482773,8.53938914442103,-4.97677539445178,1.23030399615544e-05,0.0143765204762116,3.16833065571367,Down,Down,-0.681854007240021,0.00584005684244543,Down,-0.520137021850477,0.0166012121592301,-0.834023052551515,1.19007459588376e-05,-0.158539762963343,0.234730984517764,0.999792781902493,FALSE
TUT7,-0.574117539134569,8.15468759351283,-4.97400720973233,1.24126570594938e-05,0.0143765204762116,3.16034528936437,Down,Down,-0.578276872715016,0.00584005684244543,Down,-0.561164004627622,0.00518295434097452,-0.609591149530218,0.000143860289215036,-0.167298718399914,0.150706079012568,0.999792781902493,FALSE
CA14,-0.656405290928415,6.04470343763116,-4.8986531453718,1.57972106425989e-05,0.0143765204762116,2.94328184669097,Down,Down,-0.669479382439777,0.00584005684244543,Down,-0.446147552624367,0.0269869339139389,-0.863568828481539,0.000100839398208297,-0.15016097137647,0.264102938010878,0.999792781902493,FALSE
MACROH2A2,0.567556670122094,6.43042502056616,4.88611926000097,1.64425460500236e-05,0.0143765204762116,2.90723738409473,Up,Up,0.581069280187617,0.00584005684244543,Up,0.209399032413152,0.151145045103056,0.931590537001409,3.32990222686648e-06,0.187562553757917,0.110467765478253,0.999792781902493,FALSE
LZTFL1,-0.50796596233251,5.34506245339638,-4.83165892926928,1.95624200880654e-05,0.0143765204762116,2.75083515158212,Down,Down,-0.434950817669995,0.0183315999987201,NS,-0.832824248318185,5.53207095319165e-05,-0.211993921453992,0.0106546317411367,-0.102120464135711,0.332128823821283,0.999792781902493,FALSE
