gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig,sig_fallback,logFC_paper,adjP_paper,sig_paper,logFC_GSE15653,P_GSE15653,logFC_GSE64998,P_GSE64998
GSE1,0.263970585321289,7.23065112462543,3.45622797309912,0.00129621415000815,0.999792781902493,-2.1166499606565,NS,NS,0.261699990158171,0.998681922476051,NS,0.294997511391895,0.0329664221888823,0.25971295375864,0.00848507904831083
CCT6B,-0.24961799524221,5.05934952319392,-3.31126021814329,0.00195489388630117,0.999792781902493,-2.3172573745457,NS,NS,-0.255119019221024,0.998681922476051,NS,-0.154751987212255,0.207815451708461,-0.34315765447505,0.00164408728625473
SPINK1,-0.954363003974652,4.50833396575967,-3.26725714759109,0.00221112684859575,0.999792781902493,-2.3775353276249,NS,Down,-0.931646145415428,0.998681922476051,NS,-1.50052589249248,0.00172321361720851,-0.565402888346184,0.156954992099059
HERC6,-0.350860226640042,5.85137960157325,-3.1539368505191,0.00302585340040748,0.999792781902493,-2.53130846543308,NS,NS,-0.343994354635115,0.998681922476051,NS,-0.249250284942273,0.0358279230733587,-0.428908131566136,0.0273001986386209
SRPK2,-0.19945539027862,6.75301379477813,-3.00680700208362,0.00451134125116644,0.999792781902493,-2.72750466775866,NS,NS,-0.184107938589816,0.998681922476051,NS,-0.259320771930586,0.0612109450746251,-0.143821084711452,0.0255183264857946
GBA3,-0.384746181953853,8.79884528377048,-2.98652988674539,0.00476315975226446,0.999792781902493,-2.75421144294108,NS,NS,-0.357938249867191,0.998681922476051,NS,-0.534131933505387,0.038473790695579,-0.255678619668238,0.0483753407722463
AKAP3,-0.259234972597808,4.99397202494585,-2.96356525629403,0.00506426128339283,0.999792781902493,-2.78435531363402,NS,NS,-0.258062403960658,0.998681922476051,NS,-0.232071383548415,0.077334450713539,-0.280651053176075,0.0367429306916937
CDK18,0.25679029845042,6.21702273774614,2.96062947956152,0.00510401541215643,0.999792781902493,-2.78820092173305,NS,NS,0.257398797996936,0.998681922476051,NS,0.121218237359399,0.312698960675582,0.321997627151906,0.0112590202763309
TNFRSF12A,0.281683724913383,6.24668020169046,2.93341495802906,0.00548670901573855,0.999792781902493,-2.82376244838152,NS,NS,0.283456718594303,0.998681922476051,NS,0.209958315209355,0.143535722955007,0.345966447379876,0.0208073581853423
CERT1,-0.226872152606575,7.04578496799167,-2.90045042531183,0.00598621019871782,0.999792781902493,-2.8666234491876,NS,NS,-0.182747915555897,0.998681922476051,NS,-0.44230585834413,0.00575503635963619,-0.0795010557063121,0.218247062520271
NQO1,-0.226439961000974,5.23630244990117,-2.83140615375236,0.00717308520426381,0.999792781902493,-2.95560956886718,NS,NS,-0.227111953444866,0.998681922476051,NS,-0.0943743745181518,0.410311039142687,-0.289923805936119,0.0119569210174723
RRS1,0.175655644930986,5.92632788524852,2.82080757981341,0.00737358904899703,0.999792781902493,-2.96917232196183,NS,NS,0.184285254048874,0.998681922476051,NS,-0.009463969581466,0.921560980365907,0.315590667998325,0.00056981246268186
GPRIN2,-0.204184219546748,5.45583274832923,-2.80715852944215,0.00763948365223744,0.999792781902493,-2.98659978559867,NS,NS,-0.200519995886671,0.998681922476051,NS,-0.225735685537645,0.105992849508501,-0.210350690095417,0.0183984917383388
FAM20B,-0.171011090390985,6.54770795435127,-2.79857030108703,0.00781132883930843,0.999792781902493,-2.99754282223209,NS,NS,-0.159855797157376,0.998681922476051,NS,-0.208158628494378,0.0947212078525128,-0.12377080924129,0.0279406395989425
GDF15,0.469118295307397,5.37907181261262,2.79562286599956,0.00787112820598746,0.999792781902493,-3.00129436014969,NS,NS,0.451974255638476,0.998681922476051,NS,0.530843745243753,0.0983691780623825,0.371575806247683,0.0311662577392445
CCN1,0.611277631068798,5.40044587929578,2.7904599107673,0.00797690322850618,0.999792781902493,-3.00786082974648,NS,Up,0.594014817561608,0.998681922476051,NS,0.770641085354114,0.069749718378282,0.583584211298749,0.00558502933754863
GNB5,0.170561486422057,6.28253208791107,2.75847944864592,0.00866205102437861,0.999792781902493,-3.0483913327478,NS,NS,0.143611381288852,0.998681922476051,NS,0.263954874287185,0.0459331946573971,0.0878749090815063,0.102079038752268
S100A4,0.341895261623991,5.19444990159769,2.75223626726845,0.0088020119160037,0.999792781902493,-3.05627448489258,NS,NS,0.312927159850834,0.998681922476051,NS,0.520019634285053,0.0315231959201102,0.19306339853364,0.137061246875402
ZNF692,0.236462408014637,6.98562992746242,2.70852724759864,0.00984208730836663,0.999792781902493,-3.11119309324441,NS,NS,0.236359537037589,0.998681922476051,NS,0.254220050347874,0.0529950350796748,0.219002184712237,0.0945618568739397
ZYX,0.230598949953674,7.3688653073489,2.68110634668205,0.0105513703932155,0.999792781902493,-3.14539896123134,NS,NS,0.228980073904714,0.998681922476051,NS,0.112415899646751,0.36719175087897,0.327705528585836,0.0143012668830191
ENTPD5,-0.303909420784213,8.82318577963513,-2.67548684902355,0.0107024284000583,0.999792781902493,-3.15238496822912,NS,NS,-0.300806792535951,0.998681922476051,NS,-0.403010794767478,0.0371519082296154,-0.235738891623338,0.11688462427582
KRAS,-0.296035977200118,6.30553689328507,-2.66874466956782,0.010886295602733,0.999792781902493,-3.16075580712921,NS,NS,-0.247581186110376,0.998681922476051,NS,-0.493373819335466,0.0331239903344284,-0.141029610465314,0.124471784969968
IL18BP,0.168295225189214,6.64978091763091,2.65875129835041,0.0111641867613742,0.999792781902493,-3.17314131115239,NS,NS,0.166879494043709,0.998681922476051,NS,0.198816109391643,0.116079895229931,0.147675650924137,0.0610407348924185
ZBTB25,-0.223559649539641,5.19425891519156,-2.65335695740984,0.0113168912122309,0.999792781902493,-3.17981598588568,NS,NS,-0.219948275517996,0.998681922476051,NS,-0.252506564226157,0.0859412283900005,-0.175588658102537,0.101312517266219
SMAD6,0.167789550860324,6.37208935761564,2.64598231069746,0.0115287670127409,0.999792781902493,-3.18892853577471,NS,NS,0.179520315042948,0.998681922476051,NS,0.0359656176490395,0.740298551979132,0.262692004764471,0.00167133963549266
IL7R,-0.400250592983471,5.86263126128038,-2.61236530490663,0.0125416076647668,0.999792781902493,-3.23028360408261,NS,NS,-0.395727780788047,0.998681922476051,NS,-0.214098473368372,0.237906968670879,-0.512237325663818,0.0387717153989715
GDPD3,0.170177554502498,6.00119278869267,2.6110921411844,0.0125815261013583,0.999792781902493,-3.23184383877612,NS,NS,0.178724322868074,0.998681922476051,NS,0.0574548847147689,0.603370009495761,0.261686810687659,0.0043376925577851
MUC6,0.583576167252998,6.48847783642333,2.61019562019841,0.01260970533285,0.999792781902493,-3.23294224158025,NS,NS,0.544824006077183,0.998681922476051,NS,0.182012314751639,0.106605018669547,0.829106692519512,0.0397933160835519
ZNF518A,-0.189586712669999,6.70759209768994,-2.60603855120578,0.0127411280278745,0.999792781902493,-3.2380325555171,NS,NS,-0.1776019046292,0.998681922476051,NS,-0.305379407836274,0.0222996050413013,-0.0899202726402706,0.290647633894147
TROAP,-0.153615380199176,5.36563330913359,-2.59615547702061,0.0130586360520693,0.999792781902493,-3.25011539568006,NS,NS,-0.145091259979507,0.998681922476051,NS,-0.254709900240382,0.018470692956815,-0.0946226325615216,0.214345842908241
ALKBH4,0.224785944025077,5.5349583298471,2.59554323412967,0.0130785419554085,0.999792781902493,-3.25086303103494,NS,NS,0.214221543753061,0.998681922476051,NS,0.258729922639223,0.0860205869936998,0.137619318140293,0.0750553981224475
CYP3A5,-0.262187488840077,10.806497899879,-2.59510078843709,0.0130929445453203,0.999792781902493,-3.25140325588288,NS,NS,-0.273824423950924,0.998681922476051,NS,-0.182769936770898,0.340544288344541,-0.330784037319113,0.00579114573620288
ECHDC1,-0.255863219262863,7.6778022994274,-2.58781298109702,0.0133322811726077,0.999792781902493,-3.2602938989488,NS,NS,-0.266988081104405,0.998681922476051,NS,-0.0959431249919094,0.542612777491649,-0.343128999270858,0.00770542649307232
MBTPS2,-0.194836534306086,7.07933328621243,-2.56882217940692,0.0139749108645969,0.999792781902493,-3.28339239621442,NS,NS,-0.193459257770007,0.998681922476051,NS,-0.220604776699609,0.130126059519588,-0.197246302939705,0.018495421090629
