pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_CHOLESTEROL_HOMEOSTASIS,8.37298243178522e-06,0.000273425222449574,0.593325476396405,0.515371490299139,2.17204037354878,55,TNFRSF12A;STX5;ANXA5;SREBF2;MVK;ABCA2;SQLE;MVD;TM7SF2;TRIB3;AVPR1A;CLU;LDLR;NSDHL;FASN;DHCR7;PMVK;ECH1;LGMN;PLAUR;FADS2;PNRC1;S100A11;GLDC;PCYT2
HALLMARK_P53_PATHWAY,1.0937008897983e-05,0.000273425222449574,0.593325476396405,0.360728963201903,1.83976835297841,156,CDKN1A;AEN;ZMAT3;MXD4;HMOX1;SERTAD3;SEC61A1;RAB40C;IP6K2;NINJ1;EPS8L2;FDXR;BAX;IFI30;ABCC5;PHLDA3;TRIB3;CD81;UPP1;WRAP73;CTSD;PLK3;CEBPA;TGFB1;DEF6;TRAF4;HRAS;SDC1;RALGDS;NUPR1;STEAP3;TSC22D1;DDB2;CCND3;RHBDF2;RXRA;NOTCH1;EI24;TCN2;GADD45A;PPP1R15A;RACK1;PLXNB2;GPX2;CASP1;GM2A;IER3;PERP;RNF19B;MXD1;H1-2;TRIAP1;RPL18;ABHD4;S100A4;SLC3A2;BTG1;SOCS1;DDIT4;RPL36;RGS16;SPHK1;ADA;HBEGF;TRAFD1;OSGIN1;DRAM1;MAPKAPK3;DGKA;CDK5R1;TM7SF3
HALLMARK_APICAL_JUNCTION,2.64512224551604e-05,0.000440853707586006,0.575610261071129,0.370256299913654,1.87657892656076,143,IKBKG;VAV2;MMP9;VASP;RAC2;LDLRAP1;ACTN1;CDH15;RHOF;MVD;ICAM2;FSCN1;PLCG1;PFN1;CLDN7;SYMPK;SHC1;TAOK2;NF2;SKAP2;AKT2;B4GALT1;HRAS;INPPL1;PCDH1;TSPAN4;CRAT;MSN;CDH1;ACTA1;MPZL1;STX4;GAMT;GNAI2;ZYX;NRXN2;CLDN9;PKD1;MYH9;CLDN4;ARPC2;GTF2F1;YWHAH;CTNNA1;VCAN;CLDN5;TUBG1;MDK;RRAS;NECTIN2;THY1;MAPK11;HADH;ADAM15;CAP1;PTK2;SDC3;ICAM1;EVL;CLDN11;CD99
HALLMARK_UV_RESPONSE_DN,0.000558367586332248,0.0069795948291531,0.477270815362862,-0.323022423815197,-1.66623829782611,117,MET;PDLIM5;DYRK1A;PRKCA;SCAF8;PHF3;IRS1;DLG1;TFPI;NEK7;ADD3;TGFBR3;NFIB;MRPS31;ATRX;SYNE1;ACVR2A;YTHDC1;ARHGEF9;ATP2C1;NOTCH2;SCN8A;LPAR1;TJP1;AKT3;ADORA2B;CAP2;BCKDHB;KALRN;KCNMA1;IGFBP5;CDKN1B
HALLMARK_MYOGENESIS,0.00119815519537447,0.0119815519537447,0.45505986738723,0.320403810944052,1.63058052803343,148,CDKN1A;PDLIM7;KIFC3;PICK1;PSEN2;FLII;CACNA1H;SIRT2;HDAC5;SYNGR2;MYO1C;TGFB1;PVALB;MRAS;AKT2;AGRN;DES;CRAT;LSP1;ACTA1;SH2B1;TPM2;CLU;TCAP;IGFBP3;ENO3;BAG1;MYH9;ACSL1;CAMK2B;TSC2;NOTCH1;BIN1;FABP3;COL1A1;GPX3;PLXNB2;GAA;CFD;CD36;DENND2B;BHLHE40;CHRNG;TNNI2;MYBPC3;LAMA2;DMPK;SPTAN1;MYL11;PTP4A3;MAPRE3;FXYD1;COL6A2;PC;OCEL1
HALLMARK_PROTEIN_SECRETION,0.00210907544927312,0.0175756287439427,0.431707695803346,-0.340017828101867,-1.66925077314093,85,TOM1L1;ARFIP1;SCAMP1;KIF1B;CLCN3;TSPAN8;VAMP4;SNAP23;ANP32E;VPS4B;GALC;ADAM10;TMX1;CLN5;MON2;STX7;OCRL;BET1;ATP6V1H;ARFGEF1;SNX2;COG2;AP3B1;SOD1;AP2B1;DST;VAMP7;TMED10;VAMP3;AP3S1;RAB5A;ABCA1;STX12;AP1G1;RAB22A;PAM
HALLMARK_COMPLEMENT,0.00267959573797168,0.0191399695569405,0.431707695803346,0.31244154134659,1.58355499260892,143,SERPINE1;ANXA5;HSPA5;GNB2;DOCK9;HNF4A;S100A9;TMPRSS6;PFN1;PPP4C;CTSD;PIM1;CASP4;IRF7;MMP15;ITIH1;CASP9;GZMA;STX4;CLU;FCN1;GP9;ME1;PSMB9;GNAI2;APOA4;LGMN;PLAUR;MSRB1;CFB;DYRK2;LRP1;SIRT6;EHD1;C1R;SERPING1;F2;CASP1;CCL5;GP1BA;MT3;CD36;ADRA2B;PRKCD;KLK1;LCK;PIK3R5;MMP14;LTF;RHOG;C1QA;CASP3;IRF1;F10;C2;ITGAM;DUSP5;CTSS;CDK5R1;COL4A2;FDX1;RAF1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.00401428622373626,0.0223015901318681,0.407017918923954,0.336210310580544,1.57784246948128,95,ALDH18A1;PREB;HSPA5;EEF2;ATP6V0D1;ATF4;XBP1;KDELR3;HYOU1;EXOSC4;EIF4G1;ZBTB17;GOSR2;SHC1;RRP9;YIF1A;H2AX;ARFGAP1;CXXC1;WFS1;SLC7A5;PDIA6;LSM4
HALLMARK_UV_RESPONSE_UP,0.00371263092977824,0.0223015901318681,0.431707695803346,0.318476359754008,1.57688510677833,128,YKT6;HMOX1;BSG;STIP1;RET;DNAJB1;JUNB;RXRB;HYAL2;HLA-F;NXF1;RPN1;DGAT1;TST;ACAA1;CYB5B;FURIN;PSMC3;H2AX;MGAT1;CNP;WIZ;PPIF;SQSTM1;CDC34;HTR7;CCND3;STARD3;FEN1;STK25;CYB5R1;DNAJA1;MARK2;GPX3;CLTB;ATP6V1C1;CLCN2;PDAP1;AP2S1;PRKCD;PDLIM3;KLHDC3;DLG4;MMP14;FGF18;BTG1;NKX2-5;CDO1;ICAM1;CASP3;IRF1;FMO1
HALLMARK_APOPTOSIS,0.00472575371035772,0.0236287685517886,0.407017918923954,0.3072040527718,1.51457378437834,127,CDKN1A;TNFRSF12A;HMOX1;CCND1;GPX1;PSEN2;FDXR;BAX;BRCA1;PPP2R5B;CASP4;AVPR1A;BCL2L1;ADD1;KRT18;CASP9;PRF1;CLU;SQSTM1;LMNA;FEZ1;DAP;IGF2R;DNAJA1;GADD45A;TSPO;ERBB2;GPX3;CD14;F2;CASP1;IER3;CASP2;PDGFRB;GPX4;RNASEL;RHOT2;BCL2L10;SPTAN1;TNF;FASLG;ISG20;MADD;PTK2;GSR;PLCB2;IGFBP6;CASP3;IRF1;RELA;DIABLO;CASP6;HSPB1;BCAP31;CDC25B;LGALS3;IL1B;EBP;TIMP2;SMAD7;CYLD;H1-0
