pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,1.89801804911084e-05,0.00869292266492766,0.575610261071129,0.605850352993129,2.22482578572346,33,COL11A2;COL5A1;COL4A2;COL3A1;COL4A1;COL1A1;LOXL1;COL1A2;COL5A3;MMP9;COL6A3;PLEC;COL6A2;CD151;LAMA3
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,1.69547817011143e-05,0.00869292266492766,0.575610261071129,0.721259775320767,2.24997803400471,19,COL11A2;COL5A1;COL4A2;COL3A1;COL4A1;COL1A1;COL1A2;COL5A3;COL6A3;COL16A1;COL6A2;COL13A1
REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS,0.000254905775476402,0.0451047514397981,0.49849310876659,0.571162607202771,2.04587494532318,31,LAMA5;COL11A2;COL5A1;PDX1;COL3A1;COL1A1;COL1A2;KRT17;COL5A3;AQP1;LAMA3;SOX9;CA2;ANXA2;CLDN10;FOXA2;TFPI2;CD74;ONECUT1;LAMA2
REACTOME_ECM_PROTEOGLYCANS,0.000295445970129682,0.0451047514397981,0.49849310876659,0.492048718325599,1.94791617298191,46,LAMA5;COL5A1;COL4A2;ASPN;COL3A1;COL4A1;SERPINE1;VCAN;ITGAX;COL1A1;ITGAV;DCN;COL1A2;COL5A3;COL6A3;COL6A2;SPARC;LAMA3;AGRN;TGFB1;LUM;FMOD;ITGB5;HSPG2
REACTOME_NGF_STIMULATED_TRANSCRIPTION,0.000218403083376967,0.0451047514397981,0.518848077743792,0.597080824371917,2.05441818607709,26,JUNB;ID1;ID3;TRIB1;EGR1;ARC;JUND;FOS;CDK5R1
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,0.000294599255259178,0.0451047514397981,0.49849310876659,0.435195910763774,1.85417075018536,73,JUNB;PPP1R15A;UBE2D3;UBE2M;SMAD7;SERPINE1;LTBP4;TGIF1;ITGAV;MEN1;NEDD4L;CDK9;RHOA;COL1A2;NCOR2;RNF111;XPO1;PARD6A;STRAP;PRKCZ;SMAD3;FKBP1A;TGFB1;HDAC1;LTBP1;ITGB5;PPP1CC;LTBP2
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,0.000465584087761343,0.0561783204500199,0.49849310876659,-0.330517220805779,-1.65235786746214,180,IFT88;CLUAP1;WDR19;C2CD3;MKS1;CEP43;TFB1M;BBS4;TNPO1;DYNLRB1;TTC21B;ARL3;SAMM50;TRIP11;TCTN1;CETN2;KIFAP3;CEP162;APOO;ATP5MC1;ATP5PF;TBL1X;MED1;ATP5F1C;CCP110;TCTN3;NCOA2;NCOA6;YWHAE;DNAJC11;ATP5ME;AHI1;PRKAB2;TUBB2A;B9D1;PPARGC1A;PKD2;POLG2;NPHP4;TCTN2;CEP72;SEPTIN2;LZTFL1;MTX1;CEP63;CEP70;SSBP1;OFD1;BBS9;IFT52;PDE6D;MAPK11;ATP5MC2;PRKACA;TFAM;CCT3;CHCHD3;ATP5MJ;TGS1;SIRT3;SIRT5;IFT122;CKAP5;CRTC3;CEP57
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,0.000490640353275283,0.0561783204500199,0.477270815362862,0.578164273681205,1.98933067334759,26,PRMT1;CCND1;SMARCC2;H2AC6;RPS2;H2AX;CARM1;H2AZ2;PRMT5;PRMT7;SMARCA4;SMARCD3;RBBP7
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.000659526870188543,0.0671251792325228,0.477270815362862,0.419616062538491,1.78779214193753,73,SPP1;LAMA5;COL11A2;COL5A1;COL4A2;BSG;COL3A1;COL4A1;COL1A1;MMP25;MMP24;DCN;COL1A2;CAPNS1;COL5A3;MMP9;COL6A3;COL16A1;COL6A2;COL13A1;CAPN2;LAMA3;CDH1;TIMP2;MMP14
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,0.000933928463675869,0.08291926470659,0.477270815362862,0.644262546382001,1.95856813948891,17,ITPKC;PLCG1;PLCH2;INPP5D;ITPKA
