gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
TUBB2A,-0.200509826218594,8.02924546930861,-3.59242937270891,0.00176265734272587,0.590169329270731,-1.13598107699211
CXCR6,0.109852752896153,5.52564186573971,3.57286316929787,0.00184542803612096,0.590169329270731,-1.17560190969612
DPF2,0.0971915977956816,6.76252566943033,3.50810720291601,0.00214761300491324,0.590169329270731,-1.30650842173616
ACKR2,-0.0833408175010104,5.90686060760509,-3.47425317649961,0.00232445826600604,0.590169329270731,-1.37479664742786
UGGT1,-0.09233932243159,5.6538930356585,-3.38230134916624,0.00288012648613882,0.590169329270731,-1.55968413400684
ANXA5,0.137826263014532,7.82715932937277,3.38207204786799,0.00288166310831899,0.590169329270731,-1.56014401420119
CEP43,-0.113687007118268,6.56638302625632,-3.33703952281178,0.0031995210365083,0.590169329270731,-1.65033649815965
GNLY,0.0672679814055533,5.7045799510734,3.31851282498185,0.00334002334472558,0.590169329270731,-1.68736822471611
LAMA2,0.121220969283449,5.00603164669314,3.31727884157573,0.0033495927925,0.590169329270731,-1.6898331552962
CHI3L1,0.37529444138727,6.70086871379908,3.28728120330556,0.00359063497796092,0.590169329270731,-1.7496916713884
SRSF5,0.148708831221259,9.18859428895818,3.26692051485112,0.00376379861879273,0.590169329270731,-1.7902493285076
NAT8,-0.1623417387549,6.897225492394,-3.26261403417469,0.00380145424731885,0.590169329270731,-1.79882009554412
ADAMTSL2,0.140211575307015,6.39805724230846,3.22880418149536,0.00411011684784651,0.590169329270731,-1.86601385167226
ILF2,0.103054937022628,5.11047276958649,3.21411500631423,0.00425170174328589,0.590169329270731,-1.89515334044711
PSORS1C2,-0.143192625655027,6.35835444408698,-3.20432276977447,0.00434871074263163,0.590169329270731,-1.9145599310193
TIPRL,-0.0998024807079306,5.6086405390479,-3.20069428942911,0.0043852009624087,0.590169329270731,-1.92174713557555
HYAL2,0.160700446794771,6.57318063609553,3.18021632645668,0.00459678798118193,0.590169329270731,-1.96226976759695
LPAL2,0.148053088753865,5.87294248605374,3.17746119907294,0.00462600160431412,0.590169329270731,-1.96771652173905
TMEM259,0.243348039178986,6.20459873724136,3.15845887304084,0.00483245823649869,0.590169329270731,-2.00524889006122
KLHL12,0.069134996788227,5.23244512803924,3.15000940107758,0.00492710760130242,0.590169329270731,-2.02191829775935
RPS26,0.131472801388687,9.94201606115583,3.14172031738038,0.00502170705764657,0.590169329270731,-2.03825940192756
CD37,0.123781085671383,5.41150190124524,3.13894397113689,0.00505378432063368,0.590169329270731,-2.04373003678947
CYP3A5,-0.098085400940297,10.5524425469615,-3.13078637976639,0.00514918920222538,0.590169329270731,-2.059796334063
HPS5,0.225678823229292,4.96633651958584,3.12578115928445,0.00520858836537913,0.590169329270731,-2.06964827806145
PRKAG2,0.0894295098384427,6.04181084631581,3.11344775877888,0.00535780270822643,0.590169329270731,-2.09390551168432
PXMP4,-0.0646278390601482,7.32200943038567,-3.107954911856,0.00542558266366149,0.590169329270731,-2.10470000127743
DDB2,0.102072906565973,6.26737233391114,3.10503221043648,0.00546198563707029,0.590169329270731,-2.11044143485945
RGS4,-0.0811787957421852,5.99049017231387,-3.10350002412202,0.00548116379220283,0.590169329270731,-2.11345068111182
RELB,0.064157822396738,6.29150587960968,3.10335380132234,0.00548299744679294,0.590169329270731,-2.11373784336811
ZNF764,-0.0901421327630623,6.05421792012669,-3.0941102394296,0.00560012642980859,0.590169329270731,-2.13188301364596
SLC22A4,-0.0731851630238464,5.08040010953819,-3.07523224332867,0.00584690753424726,0.590169329270731,-2.16889130676729
NOS3,0.102859944320595,5.11553600228094,3.05692052357307,0.00609631695158875,0.590169329270731,-2.20472487559738
ADGRD2,0.12841382643033,6.6378104918494,3.05671480312559,0.00609917649081798,0.590169329270731,-2.20512707547933
MSC,0.118553760868254,4.97344832996018,3.05326755101565,0.00614728698513048,0.590169329270731,-2.21186550241343
LACTB2,-0.127934681244505,5.61535895147305,-3.04572014662825,0.00625390348686563,0.590169329270731,-2.22661047877805
SOBP,-0.135250757227932,6.25404952177479,-3.04553681760951,0.00625651532991019,0.590169329270731,-2.22696849996126
TBL1X,-0.113060006502909,7.40669666305896,-3.04230799270899,0.00630268863750166,0.590169329270731,-2.23327294786031
HRK,-0.0948503171082926,5.83512652558463,-3.04082676451569,0.00632398065983092,0.590169329270731,-2.23616443222008
DCAF4,-0.0558183452356126,5.22164688614984,-3.02354059057544,0.0065776531785858,0.590169329270731,-2.26987611716671
CD79A,0.0635164948512646,7.02853657672185,3.01886977447515,0.00664786468080539,0.590169329270731,-2.27897484638408
ATXN7,0.105013607333886,7.02751361611906,3.00480783749492,0.00686363449962649,0.590169329270731,-2.30634045544441
SLC28A3,-0.0660090857248302,5.7669533430019,-2.99883808620123,0.00695726353707453,0.590169329270731,-2.31794567396199
CAD,0.109444772831451,6.45702379530802,2.99193611831287,0.00706704784010591,0.590169329270731,-2.33135382786927
SYNE2,0.1173544288746,6.49265553444547,2.99129324760319,0.00707735804578039,0.590169329270731,-2.33260219451984
KLF10,-0.229351280552031,5.93815444602214,-2.98595217758246,0.00716357893753678,0.590169329270731,-2.34297043804169
ERGIC2,-0.129535581998665,5.27686091741654,-2.96786245433719,0.00746317979524397,0.590169329270731,-2.37804146299366
IGF2BP2,-0.0935721280527296,5.70017546279959,-2.96762093799377,0.00746726022103776,0.590169329270731,-2.37850921957557
