gene,module,GS_T2D,GS_p,MM_green,MM_magenta,kME_own,hub
A1CF,blue,-0.297098722830117,0.0662491053258458,-0.235623433392313,0.612458575134776,0.452171785673806,FALSE
A2M,lightyellow,0.107105280952506,0.51635059983166,-0.196605059271454,0.122496036151797,0.606957416562248,FALSE
A4GALT,turquoise,0.140685903820091,0.392961876635521,0.213806518381674,-0.246614173773501,0.572035934099987,FALSE
AAAS,turquoise,0.0890673876951177,0.589747338480304,0.557478378840938,-0.274704500526981,0.630950413439437,FALSE
AACS,green,0.207053100829827,0.205966482053152,0.343464636088168,-0.262005791188174,0.343464636088168,FALSE
AADAC,darkgreen,-0.254577907880303,0.117816074657081,0.0346636891210715,0.424944708488019,0.654950001052299,FALSE
AAGAB,red,0.309902637117494,0.0548655663053308,0.324824941468828,-0.338038307569861,0.545426077587886,FALSE
AAK1,midnightblue,0.10349967410889,0.530650536081085,0.0492776955771356,-0.293207457484309,0.535248240398044,FALSE
AAMDC,magenta,-0.317875833368946,0.0486061620787081,-0.246155525506481,0.481989594509538,0.481989594509538,FALSE
AAMP,brown,0.190193372655014,0.246156122570745,0.667356440312075,-0.312300109116926,0.794165462103551,FALSE
AAR2,green,0.272835069570321,0.092865916767061,0.61452870623546,-0.535340334342766,0.61452870623546,FALSE
AARS1,green,0.214857467593103,0.189004119366545,0.695217306640145,-0.407410359528275,0.695217306640145,FALSE
AASDHPPT,blue,-0.0987559800470465,0.549752953617828,-0.151466616154082,0.251104169426469,0.514188783409557,FALSE
AASS,magenta,-0.237610635691626,0.145239803915348,-0.460418396304793,0.644134362203393,0.644134362203393,FALSE
AATF,brown,0.156524782878701,0.341311848927949,0.535862565595443,-0.359286550297056,0.819322787314139,FALSE
AATK,grey,0.03055761196115,0.853490708758499,-0.0630323873285143,-0.133560675507485,,FALSE
ABAT,magenta,-0.310015873643424,0.0547723670231996,-0.148516372986875,0.55600834283086,0.55600834283086,FALSE
ABCA1,blue,-0.106648511927691,0.518151500403461,-0.469324145212246,0.477601757157935,0.557247566349028,FALSE
ABCA2,green,0.356744519614594,0.0257935132231207,0.724211296097543,-0.663628040233205,0.724211296097543,FALSE
ABCA3,turquoise,0.308834318306165,0.0557510989876107,0.37743505485238,-0.473234005208208,0.492326522171071,FALSE
ABCA5,royalblue,-0.18669499912801,0.255113388752512,-0.262151454082794,0.312393408768979,0.641502504708159,FALSE
ABCA6,magenta,-0.294109795186256,0.0691577769662846,-0.472315030880933,0.735273847193662,0.735273847193662,FALSE
ABCA7,turquoise,0.39278483430685,0.0133817198089453,0.667982277155469,-0.603563991145092,0.638446197255985,FALSE
ABCA8,magenta,-0.235159336634392,0.149559967299678,-0.635382880494715,0.679859655060224,0.679859655060224,FALSE
ABCB1,brown,0.0684528286310225,0.678826094782648,0.39724607178545,0.0566512489021155,0.587298915431955,FALSE
ABCB11,pink,-0.00411678103009711,0.980156343899467,0.00131716602154694,0.302655775673865,0.473115844927106,FALSE
ABCB4,green,0.277877300560777,0.0867495885369232,0.839726409680377,-0.429752937939294,0.839726409680377,TRUE
ABCB6,turquoise,-0.00286404837608622,0.986194045837972,0.215764900740838,0.0557107776737744,0.526644188309116,FALSE
ABCB7,blue,-0.389602741366017,0.0142202614408827,-0.391044898094138,0.657926547126295,0.542143492177927,FALSE
ABCB9,turquoise,-0.0859956396958789,0.602690284432854,0.138384798796394,-0.199403912560089,0.380772398090703,FALSE
ABCC1,tan,0.249967383568819,0.124848625735422,0.105020299999967,-0.176291382273326,0.317399892199374,FALSE
ABCC10,turquoise,0.349693523665373,0.0290948047911457,0.391585128217975,-0.397262712887563,0.463758089088551,FALSE
ABCC2,magenta,0.0167315898303343,0.919474160657684,0.0610521431426192,0.396967394352883,0.396967394352883,FALSE
ABCC3,turquoise,0.118215094077161,0.47352661674035,0.189513075518227,0.121267967672018,0.294538696484439,FALSE
ABCC5,turquoise,0.354853888588609,0.026646641818165,0.622452628096784,-0.573239373726511,0.520972961590926,FALSE
ABCC6,turquoise,0.132573391328711,0.421082721774622,0.597631905230381,-0.285436731653101,0.79719264336458,FALSE
ABCD1,green,0.140454239393397,0.393749437237659,0.606303986335089,-0.436004901493511,0.606303986335089,FALSE
ABCD3,pink,0.186927695428431,0.25451093482321,0.401334683146209,-0.0181768972647984,0.628999026061682,FALSE
ABCD4,turquoise,0.0198321703989984,0.904614692913526,0.362568686422492,-0.10379554074516,0.654903292478426,FALSE
ABCE1,blue,-0.170243025272633,0.300125256777035,-0.110657245831606,0.394924244597403,0.783290441383512,FALSE
ABCF1,green,0.267218622902801,0.100063707148079,0.74743709487415,-0.573522249545753,0.74743709487415,FALSE
ABCF3,turquoise,0.262532383533609,0.106389361483996,0.668378398051619,-0.576793084592824,0.835348263122892,FALSE
ABCG1,grey,0.00370112183167891,0.982159560978156,0.0299361360342879,-0.0476920134476003,,FALSE
ABCG2,magenta,-0.352233278126898,0.0278676791760312,-0.654369430834443,0.726024351036722,0.726024351036722,FALSE
ABCG4,lightcyan,0.150422673438784,0.360695006182631,-0.0089402645997751,-0.209245585602793,0.479972702444296,FALSE
ABCG5,grey,-0.0732567216154961,0.65762120426904,0.0101793905521835,0.105449624562779,,FALSE
ABHD10,blue,-0.40527935469669,0.0104822065703127,-0.393700124063405,0.466597517177428,0.775109368873922,FALSE
ABHD11,brown,0.307295094464022,0.0570469950312494,0.477881198930245,-0.487456578133589,0.518659564865762,FALSE
ABHD17A,turquoise,0.272396461822253,0.0934132528435103,0.554333277447033,-0.317808156215978,0.878211483876308,FALSE
ABHD17B,yellow,-0.220032784020732,0.178315329168336,-0.28850952635782,0.321249252612915,0.129084381757147,FALSE
ABHD18,magenta,-0.36068860055836,0.0240865384076287,-0.274045903053888,0.511148561755365,0.511148561755365,FALSE
ABHD2,turquoise,0.118410152886896,0.472791874866189,0.609786539373203,-0.29537515026254,0.697385432637005,FALSE
ABHD3,blue,-0.063315028460459,0.701777430137335,-0.166986162659284,0.344360110301574,0.46057325641021,FALSE
ABHD4,cyan,0.0782110843680719,0.636025623615815,0.430969928598554,-0.141945667359324,0.554589843414577,FALSE
ABHD5,brown,0.318352018270658,0.0482513353070711,0.410703617562856,-0.196556389315197,0.242948331020676,FALSE
ABHD6,green,0.410933887914169,0.00935754354002278,0.673666854365763,-0.26159949495671,0.673666854365763,FALSE
ABHD8,green,0.38017084097168,0.0169712106476793,0.71456910537814,-0.463586064628199,0.71456910537814,FALSE
ABI2,black,0.0262859612378835,0.873793206290732,-0.00261538196042948,-0.224005679618672,0.666743797616809,FALSE
ABITRAM,blue,-0.23520436618988,0.149479769299532,-0.244443936436928,0.328700722502793,0.648016887978439,FALSE
ABL1,turquoise,0.289247568110603,0.0741032749726,0.605701858144511,-0.404435079174401,0.725848429049979,FALSE
ABL2,grey,-0.090535030800271,0.583607057365868,-0.161305938994114,0.137660472942025,,FALSE
ABLIM1,turquoise,0.158100484145766,0.336412582257218,0.492389823135645,-0.217703022324384,0.571606673785364,FALSE
ABLIM3,grey,0.051907907052514,0.753650487317111,0.0197076610493532,0.12808210157641,,FALSE
ABO,grey,0.032001649146582,0.846647745479831,0.0683526312104117,-0.211269695869953,,FALSE
ABR,midnightblue,0.474543406976847,0.00227140668056839,0.601464234399429,-0.799977280603083,0.694796522045954,FALSE
ABRAXAS2,blue,-0.245780869438548,0.131502062745464,-0.239139898412113,0.302636800157771,0.740113523303984,FALSE
ABT1,brown,0.355644702205874,0.0262869956172284,0.520762323727535,-0.322317484052307,0.568158770695083,FALSE
ABTB2,grey,0.0451226918463628,0.785036323683322,0.131820051769061,-0.0395267573334141,,FALSE
ACAA1,brown,0.19276846520326,0.239699510240111,0.65690537024886,-0.313574308285172,0.734100200163055,FALSE
ACAA2,blue,-0.112362684489631,0.495848681268788,-0.0399346298100965,0.470899091743599,0.412175797750266,FALSE
ACACA,darkturquoise,0.00319337914420932,0.984606707961478,0.256098738374367,-0.18057261820445,0.824428558654189,FALSE
ACACB,turquoise,0.00111417082400575,0.994628995761282,0.421107900742196,-0.303866309761168,0.434440067186632,FALSE
ACAD10,turquoise,0.155483117702751,0.344574571824733,0.401925421266837,-0.292764174971781,0.638233018134512,FALSE
ACAD8,darkgreen,-0.153610553266636,0.350487636152939,0.14586745938313,0.279189858736218,0.737752509319337,FALSE
ACADL,blue,0.144352029352939,0.38062087487123,0.0682390754581115,0.362278295373983,0.244144273688921,FALSE
ACADM,blue,-0.0932922741124796,0.57214932420664,-0.134187525275764,0.446081009181493,0.770973837725508,FALSE
ACADS,brown,0.0860332431691356,0.602531101623588,0.473821137711061,-0.162249666869277,0.696170236469143,FALSE
ACADSB,magenta,-0.388890571489013,0.0144138963007627,-0.665798535342638,0.818099488965826,0.818099488965826,TRUE
ACADVL,turquoise,0.176659699660361,0.282001263933132,0.620167014471409,-0.26351415687397,0.777223260288555,FALSE
ACAT1,brown,0.226672409424064,0.165243271309247,0.736516369755313,-0.361208748131172,0.755680795784666,FALSE
ACAT2,darkturquoise,-0.0533511265950013,0.747022869725501,0.0587572369075912,0.103540999572951,0.879557056023189,FALSE
ACBD3,blue,-0.0832731844454432,0.61426281452783,0.0127840337419241,0.108193037869445,0.783514943613852,FALSE
ACBD4,turquoise,0.320337846828437,0.0467940272264691,0.546773454158372,-0.444966271320153,0.820455077982211,FALSE
ACD,brown,0.172515798502506,0.293622525323596,0.392493827212802,-0.43683276980643,0.540715418587354,FALSE
ACE2,red,-0.239211797521826,0.142467833634061,-0.00873436109409392,0.0668153555674084,0.542207595372967,FALSE
ACIN1,turquoise,0.0564665212792475,0.732777770875752,0.296528476080919,-0.166275493630312,0.530415064994678,FALSE
ACKR1,black,-0.0644474222621567,0.696695538598779,-0.23810893673745,-0.101506780886965,0.43767713982055,FALSE
ACKR2,magenta,-0.520855603902121,0.00067502760446064,-0.464859995247453,0.451260014973031,0.451260014973031,FALSE
ACKR5,grey60,0.137151442750049,0.405076857054021,0.0463904334011097,-0.197120420233513,0.54853119102979,FALSE
ACLY,green,0.33493550059216,0.037138068693337,0.624808316014112,-0.453089548085533,0.624808316014112,FALSE
ACO1,pink,0.134727439692884,0.413507824209932,0.243117103865318,0.223304689347049,0.686149526172647,FALSE
ACO2,brown,0.172963980281828,0.292350993521047,0.701004756418674,-0.315225400488088,0.917187397986902,FALSE
ACOT11,turquoise,-0.02657040806064,0.872438647929159,0.150601859684676,-0.385325406372772,0.426864613815747,FALSE
ACOT13,pink,-0.154463554436286,0.347786474700499,0.132416582375464,0.300075619610408,0.681061687574628,FALSE
ACOT7,turquoise,0.286415592249308,0.0771089260645701,0.506215616392602,-0.415487344080162,0.740288685249827,FALSE
ACOT8,turquoise,0.0901701916033436,0.585130791082911,0.558812466072455,-0.359928676413947,0.674996310616144,FALSE
ACOT9,grey,0.248864886581022,0.126575839533397,0.402969182582425,-0.290040236997069,,FALSE
ACOX1,blue,-0.0581224912914733,0.725241300244963,0.189791685134765,0.236649270249724,0.24061241575755,FALSE
ACOX2,turquoise,-0.0119526292602286,0.942428376103049,0.14770257821062,0.146313684112126,0.434677948812131,FALSE
ACOX3,green,0.263214159506945,0.105450648560844,0.660951901923371,-0.469547792337526,0.660951901923371,FALSE
ACP1,darkgreen,-0.0984447917508169,0.551017339344505,0.153404705990518,0.35434750111513,0.821708738585394,FALSE
ACP2,green,0.223370252678787,0.171655286900031,0.669157032266588,-0.41063664311374,0.669157032266588,FALSE
