Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Up,GO:0006695,cholesterol biosynthetic process,7/93,51/11209,0.137254901960784,16.5429053341767,10.1754910765889,1.85222290710417e-07,0.000157218850936997,1.12123989109677e-05,APOE/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/SQLE,7
Up,GO:1902653,secondary alcohol biosynthetic process,7/93,51/11209,0.137254901960784,16.5429053341767,10.1754910765889,1.85222290710417e-07,0.000157218850936997,1.12123989109677e-05,APOE/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/SQLE,7
Up,GO:0006066,alcohol metabolic process,13/93,262/11209,0.049618320610687,5.98034145941065,7.46093871429556,2.26648992220563e-07,0.000157218850936997,1.12123989109677e-05,DGAT1/APOE/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/RDH16/LDLR/SQLE/DHRS3/IDH2/TKFC,13
Up,GO:0016126,sterol biosynthetic process,7/93,56/11209,0.125,15.0658602150538,9.65152024293616,3.58753916354674e-07,0.000172730173091321,1.23186220552935e-05,APOE/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/SQLE,7
Up,GO:0010876,lipid localization,14/93,326/11209,0.0429447852760736,5.17600105547859,6.99884461420177,4.36829086051608e-07,0.000172730173091321,1.23186220552935e-05,APOE/CPT2/SPP1/FABP4/PLA2G2A/SREBF2/LPCAT3/LDLR/APOL3/PLIN2/SLC22A7/CRP/ABCB4/LBP,14
Up,GO:1902652,secondary alcohol metabolic process,9/93,117/11209,0.0769230769230769,9.27129859387924,8.22608070352711,4.9802068166647e-07,0.000172730173091321,1.23186220552935e-05,APOE/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/LDLR/SQLE/IDH2,9
Up,GO:0006641,triglyceride metabolic process,7/93,65/11209,0.107692307692308,12.9798180314309,8.85967139723288,1.01365824470366e-06,0.000301346115318332,2.14911433017254e-05,DGAT1/APOE/PNPLA3/FABP4/AGPAT2/LDLR/PLIN1,7
Up,GO:0008203,cholesterol metabolic process,8/93,109/11209,0.073394495412844,8.84600966755451,7.52890582560045,3.16898655823999e-06,0.000760856318729802,5.42620971256659e-05,APOE/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/LDLR/SQLE,8
Up,GO:0031667,response to nutrient levels,14/93,388/11209,0.0360824742268041,4.34890810331449,6.14068275326838,3.45009239274814e-06,0.000760856318729802,5.42620971256659e-05,APOE/GAS6/SPP1/HSPA5/FBP1/GPX1/SREBF2/LDLR/PLIN2/EIF4G1/CDKN1A/CCND1/POR/FASN,14
Up,GO:0008202,steroid metabolic process,11/93,235/11209,0.0468085106382979,5.64168382521162,6.5774608854144,3.65620527981644e-06,0.000760856318729802,5.42620971256659e-05,APOE/SPP1/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/RDH16/LDLR/SQLE/POR,11
Up,GO:0016125,sterol metabolic process,8/93,116/11209,0.0689655172413793,8.31219873934001,7.2407531375291,5.05437267336011e-06,0.000929046194488325,6.62569181573142e-05,APOE/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/LDLR/SQLE,8
Up,GO:0006638,neutral lipid metabolic process,7/93,84/11209,0.0833333333333333,10.0439068100358,7.60986545244972,5.80374845187325e-06,0.000929046194488325,6.62569181573142e-05,DGAT1/APOE/PNPLA3/FABP4/AGPAT2/LDLR/PLIN1,7
Up,GO:0006639,acylglycerol metabolic process,7/93,84/11209,0.0833333333333333,10.0439068100358,7.60986545244972,5.80374845187325e-06,0.000929046194488325,6.62569181573142e-05,DGAT1/APOE/PNPLA3/FABP4/AGPAT2/LDLR/PLIN1,7
Up,GO:0006869,lipid transport,12/93,311/11209,0.0385852090032154,4.65055492168862,5.97168575191089,9.38020064859996e-06,0.00126561309840325,9.02599073945003e-05,APOE/CPT2/SPP1/FABP4/PLA2G2A/SREBF2/LPCAT3/LDLR/APOL3/SLC22A7/ABCB4/LBP,12
Up,GO:0019915,lipid storage,6/93,60/11209,0.1,12.052688172043,7.85157622590297,9.67782341419737e-06,0.00126561309840325,9.02599073945003e-05,DGAT1/APOE/SREBF2/SQLE/PLIN2/CRP,6
Up,GO:0033490,cholesterol biosynthetic process via lathosterol,4/93,17/11209,0.235294117647059,28.35926628716,10.3253866327202,9.73080709968864e-06,0.00126561309840325,9.02599073945003e-05,DHCR7/MVD/TM7SF2/SQLE,4
Up,GO:0170062,nutrient storage,6/93,61/11209,0.0983606557377049,11.8551031200423,7.7755596485701,1.06623997578923e-05,0.00130520317036317,9.30833581262853e-05,DGAT1/APOE/SREBF2/SQLE/PLIN2/CRP,6
Up,GO:0006694,steroid biosynthetic process,8/93,131/11209,0.0610687022900763,7.36042025773619,6.69764378649161,1.24352973659606e-05,0.00143765854547578,0.000102529696747979,APOE/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/SQLE/POR,8
Up,GO:0097006,regulation of plasma lipoprotein particle levels,6/93,70/11209,0.0857142857142857,10.3308755760369,7.16274652607213,2.37148286367913e-05,0.00259739781016646,0.000185238985048497,DGAT1/APOE/PLA2G2A/LPCAT3/LDLR/HMOX1,6
Up,GO:0019432,triglyceride biosynthetic process,4/93,22/11209,0.181818181818182,21.9139784946237,8.98095343920412,2.89724163744868e-05,0.00301457992376535,0.00021499122053625,DGAT1/PNPLA3/AGPAT2/LDLR,4
Up,GO:0046165,alcohol biosynthetic process,7/93,115/11209,0.0608695652173913,7.33641888733053,6.24712197456129,4.55865399900061e-05,0.00451740903424775,0.000322168695637476,APOE/DHCR7/SREBF2/LPCAT3/MVD/TM7SF2/SQLE,7
Up,GO:1905954,positive regulation of lipid localization,6/93,80/11209,0.075,9.03951612903226,6.60051921203087,5.0856005545169e-05,0.00460653839094787,0.000328525146508626,APOE/SPP1/SREBF2/LPCAT3/PLIN2/ABCB4,6
Up,GO:1905952,regulation of lipid localization,7/93,117/11209,0.0598290598290598,7.21101001746163,6.17705540117521,5.09132066274873e-05,0.00460653839094787,0.000328525146508626,APOE/SPP1/SREBF2/LPCAT3/PLIN2/CRP/ABCB4,7
Up,GO:0006721,terpenoid metabolic process,6/93,83/11209,0.072289156626506,8.71278663039254,6.45077808373923,6.2617826959075e-05,0.00538962574581147,0.000384372697565871,DGAT1/APOE/MVD/RDH16/LDLR/DHRS3,6
Up,GO:0046460,neutral lipid biosynthetic process,4/93,27/11209,0.148148148148148,17.8558343289526,8.02054091373126,6.73379478092736e-05,0.00538962574581147,0.000384372697565871,DGAT1/PNPLA3/AGPAT2/LDLR,4
