category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,5/14,104/6259,0.0480769230769231,21.4938186813187,9.97794501538419,2.04443373822653e-06,0.000228976578681371,0.000178618947655581,CCND1/FBP1/PPARGC1A/IRS2/IGF1,5
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,4/14,117/6259,0.0341880341880342,15.2844932844933,7.38445485758921,0.000100459709037822,0.00562574370611806,0.00438850307902067,CCND1/SERPINE1/PPARGC1A/PLIN1,4
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,3/14,66/6259,0.0454545454545455,20.3214285714286,7.47095701097363,0.000375217778388328,0.0140081303931643,0.0109273949495548,CCND1/SERPINE1/IGF1,3
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,3/14,75/6259,0.04,17.8828571428571,6.96397835754426,0.000547130479343624,0.0153196534216215,0.0119504815225055,PPARGC1A/IRS2/IGF1,3
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,3/14,102/6259,0.0294117647058824,13.1491596638655,5.85702832831518,0.00134237347796816,0.0300691659064867,0.0234562102466015,SERPINE1/HMOX1/IGF1,3
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,3/14,117/6259,0.0256410256410256,11.46336996337,5.4091021371152,0.0019937153300564,0.0333119319981336,0.0259858116150855,CCND1/IRS2/IGF1,3
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,2/14,31/6259,0.0645161290322581,28.8433179723502,7.35771748126485,0.00208199574988335,0.0333119319981336,0.0259858116150855,FBP1/KHK,2
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,3/14,125/6259,0.024,10.7297142857143,5.202340619555,0.00240964799405786,0.0337350719168101,0.0263158925666846,FBP1/PPARGC1A/IRS2,3
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,3/14,144/6259,0.0208333333333333,9.31398809523809,4.77868044234534,0.00360381660456579,0.0448474955234854,0.0349844185004632,CCND1/HMOX1/IRS2,3
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,2/14,50/6259,0.04,17.8828571428571,5.67460574970189,0.00535331655137645,0.0599571453754162,0.0467710814488679,IRS2/IGF1,2
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,2/14,53/6259,0.0377358490566038,16.8706199460916,5.4934037138334,0.00599891422593043,0.0610798539367462,0.0476468785408828,PLIN1/IRS2,2
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,2/14,65/6259,0.0307692307692308,13.756043956044,4.89443607656974,0.00891734259877437,0.075638455907635,0.0590036827099033,PPARGC1A/IRS2,2
Human Diseases,Cancer: specific types,hsa05218,Melanoma,2/14,66/6259,0.0303030303030303,13.547619047619,4.85174903854972,0.00918428399941144,0.075638455907635,0.0590036827099033,CCND1/IGF1,2
Human Diseases,Cancer: specific types,hsa05214,Glioma,2/14,67/6259,0.0298507462686567,13.3454157782516,4.80997948878958,0.00945480698845438,0.075638455907635,0.0590036827099033,CCND1/IGF1,2
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,2/14,74/6259,0.027027027027027,12.0830115830116,4.54066404937326,0.0114475002058269,0.0854746682035074,0.066676667865518,GAS6/IGF1,2
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,2/14,87/6259,0.0229885057471264,10.2775041050903,4.1256596603367,0.0155946460396127,0.105234940711061,0.0820911661561847,CCND1/IGF1,2
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,2/14,91/6259,0.021978021978022,9.82574568288854,4.01527688304195,0.0169835232518891,0.105234940711061,0.0820911661561847,FBP1/PPARGC1A,2
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,2/14,95/6259,0.0210526315789474,9.41203007518797,3.91153193434204,0.0184239122946948,0.105234940711061,0.0820911661561847,CCND1/SERPINE1,2
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,2/14,96/6259,0.0208333333333333,9.31398809523809,3.8865522160335,0.0187919536984037,0.105234940711061,0.0820911661561847,PPARGC1A/IRS2,2
Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,2/14,96/6259,0.0208333333333333,9.31398809523809,3.8865522160335,0.0187919536984037,0.105234940711061,0.0820911661561847,CCND1/IGF1,2
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",2/14,109/6259,0.018348623853211,8.20314547837484,3.59181080907762,0.0238581605292921,0.127243522822891,0.0992595149840223,IRS2/IGF1,2
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,2/14,124/6259,0.0161290322580645,7.21082949308756,3.30726307128053,0.0303265424969754,0.151657166093882,0.118303992347671,CCND1/PPARGC1A,2
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,2/14,127/6259,0.015748031496063,7.04049493813273,3.25603367608466,0.0316966261941571,0.151657166093882,0.118303992347671,CCND1/IGF1,2
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,2/14,131/6259,0.0152671755725191,6.82551799345692,3.19026231220043,0.0335617084848445,0.151657166093882,0.118303992347671,CCND1/SERPINE1,2
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,2/14,134/6259,0.0149253731343284,6.6727078891258,3.14271753772406,0.0349888079385937,0.151657166093882,0.118303992347671,CCND1/SERPINE1,2
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,2/14,137/6259,0.0145985401459854,6.52659019812305,3.09660962443282,0.0364397800977995,0.151657166093882,0.118303992347671,CTSD/IRS2,2
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,2/14,139/6259,0.0143884892086331,6.43268242548818,3.06663143714253,0.0374201927066267,0.151657166093882,0.118303992347671,CCND1/IGF1,2
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,2/14,140/6259,0.0142857142857143,6.38673469387755,3.05186243405506,0.0379142915234706,0.151657166093882,0.118303992347671,CCND1/HMOX1,2
Metabolism,Metabolism of cofactors and vitamins,hsa00770,Pantothenate and CoA biosynthesis,1/14,19/6259,0.0526315789473684,23.5300751879699,4.65653340231465,0.0417128158990811,0.161097771748175,0.125668374577994,ENPP1,1
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway,1/14,23/6259,0.0434782608695652,19.4378881987578,4.1940887659616,0.050285984197475,0.187734341003907,0.146446901347032,FBP1,1
Metabolism,Metabolism of cofactors and vitamins,hsa00860,Porphyrin metabolism,1/14,26/6259,0.0384615384615385,17.1950549450549,3.91774452362425,0.056669062358259,0.194875183553664,0.152017295441298,HMOX1,1
Metabolism,Metabolism of cofactors and vitamins,hsa00760,Nicotinate and nicotinamide metabolism,1/14,27/6259,0.037037037037037,16.5582010582011,3.83568659889927,0.0587878868612247,0.194875183553664,0.152017295441298,ENPP1,1
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,2/14,180/6259,0.0111111111111111,4.96746031746032,2.55710374565965,0.0596664636718904,0.194875183553664,0.152017295441298,PPARGC1A/PLIN1,2
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,1/14,28/6259,0.0357142857142857,15.9668367346939,3.75790448263154,0.0609022914799577,0.194875183553664,0.152017295441298,ENPP1,1
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,2/14,183/6259,0.0109289617486339,4.88602654176425,2.52602707206403,0.061443389018375,0.194875183553664,0.152017295441298,CCND1/IGF1,2
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,2/14,185/6259,0.0108108108108108,4.83320463320463,2.50568256277205,0.0626384518565349,0.194875183553664,0.152017295441298,CCND1/IGF1,2
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,2/14,195/6259,0.0102564102564103,4.58534798534799,2.40815589944792,0.0687359130405329,0.204299439115147,0.159368923369899,IRS2/IGF1,2
