gene,logFC,AveExpr,P.Value,adj.P.Val,sig_use,logFC_GSE15653,logFC_GSE64998,module,GS_T2D,kME_own,hub,in_geneset,geneset_sources
VSNL1,-0.566664041219153,8.27094016084102,4.09482192397975e-06,0.0158446857863832,Down,-0.598506352371229,-0.534984190838261,yellow,-0.776628172643336,0.821138277195512,TRUE,TRUE,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
LZTFL1,-0.528722549562551,5.19264504208258,2.52795201707553e-05,0.0336273794982535,Down,-0.855609419669557,-0.203503469609151,blue,-0.6637688348905,0.858743575381595,TRUE,TRUE,HPO_Insulin_resistance
GAS6,0.567192952505768,7.66718160302645,3.10162198953699e-05,0.0371326184587369,Up,0.369066903258805,0.764308154562696,turquoise,0.712722355109627,0.487348157037998,FALSE,TRUE,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
SREBF2,0.507761802111129,7.65648692178984,0.00024168707159368,0.0472841517740822,Up,0.556930037765897,0.458844424801536,red,0.637078632980641,0.750489439531419,TRUE,TRUE,CTD_Insulin_Resistance
SERPINE1,0.940729889973464,6.97163285040244,0.000471244197152316,0.0532228199633379,Up,0.396951712396008,1.48173368909389,turquoise,0.609739081145431,0.337805806099462,FALSE,TRUE,KEGG_AGE_RAGE_diabetic_complications
PPARGC1A,-0.612471761557638,6.85348870007304,0.000603487342297342,0.0535181515702502,Down,-0.139428043637314,-1.08310199112123,yellow,-0.603172986681549,0.68355856013531,FALSE,TRUE,KEGG_insulin_resistance
HMOX1,0.52609759432192,7.81482125502386,0.000628451001269195,0.0539381129075716,Up,0.674051731809264,0.378898324882978,green,0.603366565906231,0.809652503262159,TRUE,TRUE,CTD_Insulin_Resistance
CCND1,0.8031084765255,7.51525667762404,0.00074921048132828,0.0578425746384107,Up,0.941393777036094,0.665528713262408,red,0.576797678599739,0.888689888944852,TRUE,TRUE,KEGG_AGE_RAGE_diabetic_complications
ENPP1,-0.517390726102194,8.48283962398988,0.000852469268132106,0.0603729605489353,Down,-0.816855771120047,-0.219453563967083,blue,-0.548266649320265,0.833698184699709,TRUE,TRUE,GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia;HPO_Insulin_resistance
PNPLA3,0.628534017510319,8.67837376740736,0.00085728393696283,0.0603729605489353,Up,0.856300369243766,0.401929738999999,turquoise,0.563448100738659,0.72637364025415,TRUE,TRUE,GOBP_RESPONSE_TO_INSULIN
GPX1,0.687834420558472,9.10006688615781,0.00120947147350558,0.0636171358842145,Up,1.0930185076637,0.284717599203775,green,0.529908062749576,0.854633401440022,TRUE,TRUE,CTD_Hyperglycemia;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
IGFBP1,-1.65567724558723,8.66525331315776,0.00166785434919427,0.0665585075618461,Down,-0.756381401030687,-2.5503848460389,yellow,-0.558542353715421,0.742472887452385,TRUE,TRUE,GOBP_RESPONSE_TO_INSULIN
FBP1,0.619906449388021,10.8905669898874,0.00253757287048046,0.0745214814612773,Up,1.05174507415686,0.190271082908816,turquoise,0.479958682483626,0.8840096898442,TRUE,TRUE,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN
IRS2,-0.584420274513232,7.34152837179605,0.00290962468594569,0.0747511303436519,Down,-0.739994083809521,-0.429640209141921,tan,-0.516772288616012,0.771622098386666,TRUE,TRUE,CTD_Hyperglycemia;CTD_Insulin_Resistance;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Insulin_resistance;KEGG_insulin_resistance;KEGG_type_II_diabetes
PLIN1,0.526689591687546,7.67191189091705,0.00617901329380455,0.0924192126902241,Up,0.449693809033141,0.603292538716162,turquoise,0.520335872801031,0.45132369759155,FALSE,TRUE,HPO_Insulin_resistance
CTSD,0.547802129648465,9.51062046290335,0.00704034286440144,0.0963279825972731,Up,0.921748317739147,0.175763830272531,turquoise,0.430285733099959,0.953657729862606,TRUE,TRUE,GOBP_RESPONSE_TO_INSULIN
KHK,0.526136419383069,9.8343663597419,0.0113868823175451,0.108286270795437,Up,0.998880459777162,0.0558043383787419,turquoise,0.382993331485202,0.950621544580708,TRUE,TRUE,GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia
IGF1,-0.750196331507432,7.50956373298675,0.0163841211440685,0.121600797588543,Down,-0.910518418628822,-0.590692214218295,yellow,-0.434790283304063,0.771557617014198,TRUE,TRUE,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Insulin_resistance
IGFBP2,-0.855518113152715,8.27716773523185,0.0295921332158199,0.153766067213453,Down,-0.506870835196095,-1.2023865784667,yellow,-0.408079643289301,0.525006728692386,FALSE,TRUE,CTD_Insulin_Resistance
