perm,s3,s4,s5,s6,s7,n_cand
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,5,2,0,0,0,14
4,0,0,0,0,0,0
5,0,0,0,0,0,1
6,2,0,0,0,0,2
7,0,0,0,0,0,0
8,1,1,0,0,0,1
9,0,0,0,0,0,1
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,1,1,0,0,0,1
13,0,0,0,0,0,2
14,0,0,0,0,0,0
15,2,0,0,0,0,3
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,1,0,0,0,0,2
20,0,0,0,0,0,2
21,1,1,1,0,0,0
22,1,1,0,0,0,2
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,1
26,2,1,1,0,0,0
27,3,1,1,1,1,4
28,0,0,0,0,0,0
29,1,1,1,0,0,0
30,0,0,0,0,0,2
31,9,4,3,2,1,19
32,0,0,0,0,0,0
33,0,0,0,0,0,1
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,1
37,0,0,0,0,0,0
38,3,2,0,0,0,3
39,0,0,0,0,0,0
40,1,1,1,1,1,3
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,1,1,0,0,0,1
46,1,1,1,0,0,1
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,1,1,1,1,1,1
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,3,3,3,0,0,1
54,0,0,0,0,0,1
55,0,0,0,0,0,0
56,2,1,1,1,1,3
57,1,1,0,0,0,1
58,0,0,0,0,0,2
59,3,3,3,1,1,4
60,0,0,0,0,0,0
61,0,0,0,0,0,1
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,1
67,2,1,0,0,0,6
68,0,0,0,0,0,0
69,0,0,0,0,0,2
70,0,0,0,0,0,1
71,2,2,2,1,1,2
72,1,1,0,0,0,0
73,0,0,0,0,0,0
74,2,0,0,0,0,4
75,0,0,0,0,0,2
76,6,4,0,0,0,6
77,1,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,1
82,1,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,1,0,0,0,0,3
86,5,2,0,0,0,5
87,1,0,0,0,0,2
88,1,0,0,0,0,1
89,0,0,0,0,0,2
90,0,0,0,0,0,0
91,1,1,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,1
95,1,1,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,1
99,3,2,0,0,0,3
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,1
103,0,0,0,0,0,1
104,0,0,0,0,0,0
105,0,0,0,0,0,2
106,1,1,1,1,1,1
107,1,0,0,0,0,1
108,0,0,0,0,0,2
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,1,0,0,0,0,1
112,0,0,0,0,0,1
113,0,0,0,0,0,0
114,0,0,0,0,0,2
115,0,0,0,0,0,2
116,0,0,0,0,0,0
117,0,0,0,0,0,1
118,0,0,0,0,0,0
119,0,0,0,0,0,1
120,1,1,1,0,0,2
121,0,0,0,0,0,1
122,1,1,0,0,0,1
123,0,0,0,0,0,1
124,0,0,0,0,0,0
125,1,1,1,1,1,1
126,0,0,0,0,0,1
127,4,2,0,0,0,6
128,0,0,0,0,0,3
129,2,1,0,0,0,4
130,0,0,0,0,0,0
131,1,1,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,2,2,1,0,0,1
136,1,0,0,0,0,2
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,1
140,1,0,0,0,0,1
141,0,0,0,0,0,0
142,0,0,0,0,0,1
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,1
146,0,0,0,0,0,0
147,2,1,1,0,0,1
148,0,0,0,0,0,1
149,0,0,0,0,0,1
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,1,0,0,0,0,3
153,0,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,5,2,0,0,0,6
158,1,0,0,0,0,4
159,0,0,0,0,0,0
160,0,0,0,0,0,0
161,0,0,0,0,0,0
162,0,0,0,0,0,0
163,0,0,0,0,0,0
164,0,0,0,0,0,1
165,0,0,0,0,0,1
166,0,0,0,0,0,2
167,0,0,0,0,0,0
168,0,0,0,0,0,0
169,4,3,3,2,2,10
170,0,0,0,0,0,0
171,0,0,0,0,0,1
172,0,0,0,0,0,0
173,0,0,0,0,0,1
174,0,0,0,0,0,0
175,0,0,0,0,0,0
