deg_rule,module_rule,n_candidates,n_on_AMPK_map,n_reachable,kept,candidates
P < 0.05 & |logFC| > 0.5 (used),7 key modules,8,4,2,PPARGC1A;CCND1;IRS2;VSNL1;SREBF2,VSNL1;SREBF2;PPARGC1A;CCND1;IGFBP1;IRS2;IGF1;IGFBP2
P < 0.05 & |logFC| > 0.5 (used),strongest module only,2,1,1,CCND1;SREBF2,SREBF2;CCND1
P < 0.01 & |logFC| > 0.5,7 key modules,6,3,2,PPARGC1A;CCND1;IRS2;VSNL1;SREBF2,VSNL1;SREBF2;PPARGC1A;CCND1;IGFBP1;IRS2
P < 0.01 & |logFC| > 0.5,strongest module only,2,1,1,CCND1;SREBF2,SREBF2;CCND1
FDR < 0.10 & |logFC| > 0.5,7 key modules,6,3,2,PPARGC1A;CCND1;IRS2;VSNL1;SREBF2,VSNL1;SREBF2;PPARGC1A;CCND1;IGFBP1;IRS2
FDR < 0.10 & |logFC| > 0.5,strongest module only,2,1,1,CCND1;SREBF2,SREBF2;CCND1
FDR < 0.05 & |logFC| > 0.5,7 key modules,2,0,0,VSNL1;SREBF2,VSNL1;SREBF2
FDR < 0.05 & |logFC| > 0.5,strongest module only,1,0,0,SREBF2,SREBF2
FDR < 0.05 (no logFC cutoff),7 key modules,2,0,0,VSNL1;SREBF2,VSNL1;SREBF2
FDR < 0.05 (no logFC cutoff),strongest module only,1,0,0,SREBF2,SREBF2
