gene,DEG,DEG_FDR,module,phenotype_set,candidate19,AMPK_map,AMPK_axis,axis_unanchored,p53_axis,sc_confirmed,ML_top7,MR_FDR05,replicated,logFC,P,FDR,ml_rank,mr_OR,mr_p,mr_FDR,n_stages
CCND1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.8031084765255,0.00074921048132828,0.0578425746384107,14,1.03282930380482,0.553509513341914,0.775346280670945,9
PPARGC1A,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-0.612471761557638,0.000603487342297342,0.0535181515702502,3,0.982506771323366,0.159240545617937,0.545967584975784,8
IRS2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.584420274513232,0.00290962468594569,0.0747511303436519,16,0.938413279779167,0.27734512924883,0.665628310197192,7
GAS6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.567192952505768,3.10162198953699e-05,0.0371326184587369,5.5,,,,6
LZTFL1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.528722549562551,2.52795201707553e-05,0.0336273794982535,2,1.0180361313307,0.511223669174779,0.775346280670945,6
SREBF2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.507761802111129,0.00024168707159368,0.0472841517740822,4,,,,6
VSNL1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-0.566664041219153,4.09482192397975e-06,0.0158446857863832,1,,,,6
CDKN1A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.960105171790021,5.29391439571774e-06,0.0158446857863832,,1.02490484550327,0.487937569404426,0.775346280670945,5
FBP1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.619906449388021,0.00253757287048046,0.0745214814612773,18,0.891271393569372,0.124175228034232,0.496700912136929,5
HMOX1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.52609759432192,0.000628451001269195,0.0539381129075716,5.5,0.978235474466754,0.699355958319221,0.775346280670945,5
IGF1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.750196331507432,0.0163841211440685,0.121600797588543,9,,,,5
PFKFB3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.655569796012921,0.000127446028528339,0.0422769009190092,,,,,5
PNPLA3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.628534017510319,0.00085728393696283,0.0603729605489353,19,,,,5
SERPINE1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.940729889973464,0.000471244197152316,0.0532228199633379,7,0.812923334018204,0.0232065017930696,0.185652014344556,5
BAX,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.341780465352488,0.0136443501184127,0.113739722456912,,1.03605977645094,0.628655268906928,0.775346280670945,4
CTSD,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.547802129648465,0.00704034286440144,0.0963279825972731,13,0.955869040241708,0.514288986716092,0.775346280670945,4
ENPP1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.517390726102194,0.000852469268132106,0.0603729605489353,8,1.03097662844235,0.833977396082179,0.861547674917712,4
GPX1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.687834420558472,0.00120947147350558,0.0636171358842145,15,1.03446910003952,0.710734090615033,0.775346280670945,4
IGFBP1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.65567724558723,0.00166785434919427,0.0665585075618461,10,,,,4
IGFBP2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.855518113152715,0.0295921332158199,0.153766067213453,11,1.0233104963334,0.569153757155151,0.775346280670945,4
KHK,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.526136419383069,0.0113868823175451,0.108286270795437,17,0.976044946770835,0.186946175952148,0.560838527856443,4
PIK3CA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.194162266153804,0.025007761246042,0.141319286744511,,,,,4
PIK3R2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.268794809673499,0.00604856153799963,0.0920119170685281,,,,,4
PLIN1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.526689591687546,0.00617901329380455,0.0924192126902241,12,0.975837104924027,0.701670017663431,0.775346280670945,4
SIRT1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.389065828328134,0.0044363570263749,0.0855266768434143,,1.02726369656006,0.000947093000646844,0.0113651160077621,4
SREBF1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.435480157850608,0.0261960327030443,0.14479173754425,,0.903211515288442,9.00682016875363e-09,2.16163684050087e-07,4
ZMAT3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.521870426246668,0.000836411484490072,0.060322399351296,,0.985338208887682,0.425473515514106,0.775346280670945,4
AKT1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.387089573539082,0.00343401055010987,0.0789152904062191,,,,,3
CAMKK2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.506110584900416,0.00844909260690126,0.100031858033946,,1.00825329812521,0.861547674917712,0.861547674917712,3
FASN,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.69799363467585,0.0102285985406989,0.104041445819242,,1.04373931812851,0.0683359892221259,0.410015935332755,3
FOXO3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.258505148092882,0.0236771002828433,0.138569997318525,,,,,3
GYS2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.436590184422608,0.0112001344569651,0.107509604953939,,,,,3
HNF4A,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.30625444596782,0.00865664236155255,0.10016520814237,,,,,3
IRS1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.3554897344882,0.00226335322613427,0.0728410344711814,,,,,3
PFKL,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.412788409607824,0.00375888054431156,0.0802162528992835,,,,,3
PIK3CD,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.187312414207718,0.0479971366369964,0.189473707246273,,,,,3
