gene,mouse,pool,logFC,P.Value,logFC_GSE15653,logFC_GSE64998,sc_STZ,best_cell_type,best_logFC_mouse,best_FDR_mouse,best_pct_detected,tau,module,kME_own,hub,val_logFC,val_P,hb_logFC,hb_P,bulk_DE,specificity,network,external_val,clinical,feasibility,protein,literature,druggability,manual_scores_missing,score,max_score,score_pct,tissue
CCND1,Ccnd1,A_bulk_main,0.8031084765255,0.00074921048132828,0.941393777036094,0.665528713262408,3,Endothelial,0.97401374785967,0.00151455848219794,35.23,0.226416821098174,red,0.888689888944852,TRUE,0.534781435386029,0.0156965005660771,0.208072595107431,0.0233913431680304,3,0,3,3,3,3,2,FALSE,3,TRUE,37,45,82.2,kidney
CDKN1A,Cdkn1a,B_scRNA_first,0.960105171790021,5.29391439571774e-06,0.826386736781334,1.0931413698854,3,Endothelial,1.25533960716011,0.00751551638726709,26.61,,turquoise,0.643028825719179,FALSE,0.402420729949853,0.0635308499587564,0.138502005978953,0.082140245475672,3,0,0,2,1,2,2,FALSE,3,TRUE,29,45,64.4,kidney
VIM,Vim,B_scRNA_first,0.458915796333076,0.0377758715879537,0.862560704495091,0.057330300967803,3,Endothelial,1.00616810229829,0.0208052042285036,25.91,,pink,0.884620588172248,FALSE,0.230078863461585,0.34682448164909,0.20847877310053,0.0117180719316021,1,0,0,1,3,2,3,FALSE,3,TRUE,27,45,60,kidney
ENPEP,Enpep,B_scRNA_first,-0.600118572899657,0.00277207192617269,-0.886972866908044,-0.314727821207641,3,Endothelial,-0.715940062616929,0.0483652368931564,21.25,,blue,0.721205893473412,FALSE,0.402672854341631,0.0219511463326989,-0.19853690381993,0.0153489584343833,2,0,0,0,3,2,3,FALSE,2,TRUE,26,45,57.8,kidney
COL4A2,Col4a2,B_scRNA_first,0.199399817126492,0.259552977245531,0.238040101763045,0.160956676799307,3,Endothelial,0.720802383788039,0.0256138378966277,56.8,,pink,0.886814195433353,FALSE,0.120394991561224,0.526492930920241,0.052214621233359,0.478575065151016,0,0,0,1,0,3,3,FALSE,3,TRUE,23,45,51.1,kidney
BAX,Bax,B_scRNA_first,0.341780465352488,0.0136443501184127,0.50235997743663,0.182020236493263,3,Endothelial,0.605013595757011,0.0495584348902317,42.09,,turquoise,0.822962538190245,FALSE,-0.0332067637754373,0.849020222920663,0.151916021217343,0.00474217201373474,1,0,0,0,3,3,1,FALSE,3,TRUE,22,45,48.9,kidney
IGFBP1,Igfbp1,A_bulk_main,-1.65567724558723,0.00166785434919427,-0.756381401030687,-2.5503848460389,0,,,,,0.861590359707774,yellow,0.742472887452385,TRUE,-0.488340053933784,0.450043772500187,-0.245693289338245,0.0891256179225577,2,3,3,1,1,0,3,FALSE,3,TRUE,22,45,48.9,kidney
SPARC,Sparc,B_scRNA_first,0.0591152526924335,0.68246570087118,0.101205571104059,0.0172396808033139,3,Endothelial,0.531393027901704,0.0495584348902317,92.21,,pink,0.777924989997623,FALSE,0.0104088657395771,0.949152183634267,0.0179365508587852,0.712150264518571,0,0,0,1,0,3,2,FALSE,3,TRUE,21,45,46.7,kidney
SPRY1,Spry1,B_scRNA_first,-0.374812023535712,0.00351487664808597,-0.613139585980681,-0.137700418041994,3,Endothelial,-1.14569419768115,0.00151455848219794,18.96,,brown,0.752060887980599,FALSE,0.189909162603902,0.155867937130606,-0.134295197479061,0.00917056230927678,2,0,0,0,3,2,1,FALSE,0,TRUE,20,45,44.4,kidney
SREBF2,Srebf2,A_bulk_main,0.507761802111129,0.00024168707159368,0.556930037765897,0.458844424801536,0,Endothelial,-0.222183710625037,0.749619762108955,12,0.186341795833714,red,0.750489439531419,TRUE,0.10359352230394,0.42560635039002,0.148904120361516,0.00243389009152714,3,0,3,1,3,2,1,FALSE,2,TRUE,20,45,44.4,kidney
