tissue,gene,mouse,pool,logFC,P.Value,logFC_GSE15653,logFC_GSE64998,sc_STZ,best_cell_type,best_logFC_mouse,best_FDR_mouse,best_pct_detected,tau,module,kME_own,hub,val_logFC,val_P,hb_logFC,hb_P,bulk_DE,specificity,network,external_val,clinical,feasibility,protein,literature,druggability,manual_scores_missing,score,max_score,score_pct
kidney,CCND1,Ccnd1,A_bulk_main,0.8031084765255,0.00074921048132828,0.941393777036094,0.665528713262408,3,Endothelial,0.97401374785967,0.00151455848219794,35.23,0.226416821098174,red,0.888689888944852,TRUE,0.534781435386029,0.0156965005660771,0.208072595107431,0.0233913431680304,3,0,3,3,3,3,2,FALSE,3,TRUE,37,45,82.2
kidney,CDKN1A,Cdkn1a,B_scRNA_first,0.960105171790021,5.29391439571774e-06,0.826386736781334,1.0931413698854,3,Endothelial,1.25533960716011,0.00751551638726709,26.61,,turquoise,0.643028825719179,FALSE,0.402420729949853,0.0635308499587564,0.138502005978953,0.082140245475672,3,0,1,2,1,2,2,FALSE,3,TRUE,30,45,66.7
kidney,ENPEP,Enpep,B_scRNA_first,-0.600118572899657,0.00277207192617269,-0.886972866908044,-0.314727821207641,3,Endothelial,-0.715940062616929,0.0483652368931564,21.25,,blue,0.721205893473412,TRUE,0.402672854341631,0.0219511463326989,-0.19853690381993,0.0153489584343833,2,0,3,0,3,2,3,FALSE,2,TRUE,29,45,64.4
kidney,VIM,Vim,B_scRNA_first,0.458915796333076,0.0377758715879537,0.862560704495091,0.057330300967803,3,Endothelial,1.00616810229829,0.0208052042285036,25.91,,pink,0.884620588172248,FALSE,0.230078863461585,0.34682448164909,0.20847877310053,0.0117180719316021,1,0,0,1,3,2,3,FALSE,3,TRUE,27,45,60
kidney,BAX,Bax,B_scRNA_first,0.341780465352488,0.0136443501184127,0.50235997743663,0.182020236493263,3,Endothelial,0.605013595757011,0.0495584348902317,42.09,,turquoise,0.822962538190245,TRUE,-0.0332067637754373,0.849020222920663,0.151916021217343,0.00474217201373474,1,0,3,0,3,3,1,FALSE,3,TRUE,25,45,55.6
kidney,HMOX1,Hmox1,A_bulk_main,0.52609759432192,0.000628451001269195,0.674051731809264,0.378898324882978,0,Endothelial,-0.519131316153096,0.700499873680359,6.12,0.340178617049744,green,0.809652503262159,TRUE,0.318204601671001,0.188011885079203,0.0955684838896866,0.0891649482297882,3,0,3,2,1,1,3,FALSE,3,TRUE,24,45,53.3
kidney,COL4A2,Col4a2,B_scRNA_first,0.199399817126492,0.259552977245531,0.238040101763045,0.160956676799307,3,Endothelial,0.720802383788039,0.0256138378966277,56.8,,pink,0.886814195433353,FALSE,0.120394991561224,0.526492930920241,0.052214621233359,0.478575065151016,0,0,0,1,0,3,3,FALSE,3,TRUE,23,45,51.1
kidney,PNPLA3,"",A_bulk_main,0.628534017510319,0.00085728393696283,0.856300369243766,0.401929738999999,0,,,,,,turquoise,0.72637364025415,TRUE,0.46128975861202,0.0165506271244401,0.220453345539135,0.00290693785584488,3,0,3,3,3,0,1,FALSE,3,TRUE,23,45,51.1
kidney,APOE,Apoe,B_scRNA_first,0.657283239106246,0.0071997812986039,1.1803092834771,0.13692569496177,0,Endothelial,-0.736221468979838,0.0239108088991266,65.63,,turquoise,0.928873509473215,TRUE,-0.198787603632603,0.0436589486861576,0.263655980433249,0.0112219776680435,2,0,3,0,3,3,3,FALSE,3,TRUE,22,45,48.9
kidney,IGFBP1,Igfbp1,A_bulk_main,-1.65567724558723,0.00166785434919427,-0.756381401030687,-2.5503848460389,0,,,,,0.861590359707774,yellow,0.742472887452385,TRUE,-0.488340053933784,0.450043772500187,-0.245693289338245,0.0891256179225577,2,3,3,1,1,0,3,FALSE,3,TRUE,22,45,48.9
kidney,IRF7,Irf7,B_scRNA_first,0.459841675044216,0.00332549938796678,0.603813815173488,0.316604086650293,3,Endothelial,0.693821326117327,0.030650904197232,36.56,,turquoise,0.703089110298869,TRUE,-0.37968777708903,0.130715067802955,0.0659706117591496,0.306048347942356,2,0,3,0,0,3,1,FALSE,0,TRUE,21,45,46.7
kidney,SPARC,Sparc,B_scRNA_first,0.0591152526924335,0.68246570087118,0.101205571104059,0.0172396808033139,3,Endothelial,0.531393027901704,0.0495584348902317,92.21,,pink,0.777924989997623,FALSE,0.0104088657395771,0.949152183634267,0.0179365508587852,0.712150264518571,0,0,0,1,0,3,2,FALSE,3,TRUE,21,45,46.7
kidney,ABLIM1,Ablim1,B_scRNA_first,0.137644843101874,0.21402387097881,0.183499021801401,0.0920246142936692,3,Endothelial,0.909400214951134,0.0256138378966277,13.91,,turquoise,0.588054832823162,FALSE,0.381944220960892,0.0424599371719326,0.0296215406172422,0.511705694933732,0,0,1,3,0,2,1,FALSE,0,TRUE,20,45,44.4
kidney,CTSD,Ctsd,A_bulk_main,0.547802129648465,0.00704034286440144,0.921748317739147,0.175763830272531,0,Endothelial,-0.0677309159745521,0.913699476425275,57.77,0.14781303936759,turquoise,0.953657729862606,TRUE,-0.157039544623176,0.434198939363824,0.183113811066025,0.0380960848294034,2,0,3,0,3,3,2,FALSE,3,TRUE,20,45,44.4
kidney,FBP1,Fbp1,A_bulk_main,0.619906449388021,0.00253757287048046,1.05174507415686,0.190271082908816,0,,,,,0.788758985880058,turquoise,0.8840096898442,TRUE,-0.0759994230636428,0.652104989245547,0.251812814514357,0.00296786969117609,2,2,3,0,3,0,3,FALSE,2,TRUE,20,45,44.4
