gene,logFC,AveExpr,P.Value,adj.P.Val,sig_use,logFC_GSE15653,logFC_GSE64998,module,GS_T2D,kME_own,hub,in_geneset,geneset_sources,mouse,best_cell_type,best_logFC_m,best_FDR_m,best_sig_concordant,best_nominal_concordant,best_deseq2_concordant,n_celltypes_sig_concordant,celltypes_sig_concordant,tau,top_expressing_cell_type,tier,logFC_GSE23343,P_GSE23343,GSE23343_concordant
PLIN1,0.526689591687546,7.67191189091705,0.00617901329380455,0.0924192126902241,Up,0.449693809033141,0.603292538716162,turquoise,0.520335872801031,0.45132369759155,FALSE,TRUE,HPO_Insulin_resistance,,,,,,,,,,,,No_1to1_ortholog,0.351108355276946,0.400647680425522,TRUE
PNPLA3,0.628534017510319,8.67837376740736,0.00085728393696283,0.0603729605489353,Up,0.856300369243766,0.401929738999999,turquoise,0.563448100738659,0.72637364025415,TRUE,TRUE,GOBP_RESPONSE_TO_INSULIN,,,,,,,,,,,,No_1to1_ortholog,0.46128975861202,0.0165506271244401,TRUE
VSNL1,-0.566664041219153,8.27094016084102,4.09482192397975e-06,0.0158446857863832,Down,-0.598506352371229,-0.534984190838261,yellow,-0.776628172643336,0.821138277195512,TRUE,TRUE,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE,,,,,,,,,,,,No_1to1_ortholog,0.250801178694978,0.16388672585107,FALSE
ENPP1,-0.517390726102194,8.48283962398988,0.000852469268132106,0.0603729605489353,Down,-0.816855771120047,-0.219453563967083,blue,-0.548266649320265,0.833698184699709,TRUE,TRUE,GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia;HPO_Insulin_resistance,Enpp1,,,,,,,,,0.408093225684013,Distal_tubule,Other,0.0304747376082123,0.839951040504275,FALSE
HMOX1,0.52609759432192,7.81482125502386,0.000628451001269195,0.0539381129075716,Up,0.674051731809264,0.378898324882978,green,0.603366565906231,0.809652503262159,TRUE,TRUE,CTD_Insulin_Resistance,Hmox1,Endothelial,-0.519131316153096,0.700499873680359,FALSE,FALSE,FALSE,0,"",0.340178617049744,Macrophage,Other,0.318204601671001,0.188011885079203,TRUE
GAS6,0.567192952505768,7.66718160302645,3.10162198953699e-05,0.0371326184587369,Up,0.369066903258805,0.764308154562696,turquoise,0.712722355109627,0.487348157037998,FALSE,TRUE,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE,Gas6,Endothelial,-0.175578395921564,0.72818825061154,FALSE,FALSE,FALSE,0,"",0.431967800189471,Endothelial,Other,0.141571011980095,0.41039836208188,TRUE
SREBF2,0.507761802111129,7.65648692178984,0.00024168707159368,0.0472841517740822,Up,0.556930037765897,0.458844424801536,red,0.637078632980641,0.750489439531419,TRUE,TRUE,CTD_Insulin_Resistance,Srebf2,Endothelial,-0.222183710625037,0.749619762108955,FALSE,FALSE,FALSE,0,"",0.186341795833714,cDC,Other,0.10359352230394,0.42560635039002,TRUE
LZTFL1,-0.528722549562551,5.19264504208258,2.52795201707553e-05,0.0336273794982535,Down,-0.855609419669557,-0.203503469609151,blue,-0.6637688348905,0.858743575381595,TRUE,TRUE,HPO_Insulin_resistance,Lztfl1,Endothelial,0.143497087867308,0.866727262694703,FALSE,FALSE,FALSE,0,"",0.24943907505225,T_cell,Other,0.236585748977877,0.183584668338111,FALSE
GPX1,0.687834420558472,9.10006688615781,0.00120947147350558,0.0636171358842145,Up,1.0930185076637,0.284717599203775,green,0.529908062749576,0.854633401440022,TRUE,TRUE,CTD_Hyperglycemia;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE,Gpx1,Endothelial,0.104225020773613,0.876950047076264,FALSE,FALSE,FALSE,0,"",0.271564854353695,PT,Other,0.120428498158665,0.300672654836046,TRUE
CTSD,0.547802129648465,9.51062046290335,0.00704034286440144,0.0963279825972731,Up,0.921748317739147,0.175763830272531,turquoise,0.430285733099959,0.953657729862606,TRUE,TRUE,GOBP_RESPONSE_TO_INSULIN,Ctsd,Endothelial,-0.0677309159745521,0.913699476425275,FALSE,FALSE,FALSE,0,"",0.14781303936759,Distal_tubule,Other,-0.157039544623176,0.434198939363824,FALSE
SERPINE1,0.940729889973464,6.97163285040244,0.000471244197152316,0.0532228199633379,Up,0.396951712396008,1.48173368909389,turquoise,0.609739081145431,0.337805806099462,FALSE,TRUE,KEGG_AGE_RAGE_diabetic_complications,Serpine1,Endothelial,0.100516047039876,0.939233831811233,FALSE,FALSE,FALSE,0,"",0.419714464418502,Fibroblast_Pericyte,Other,0.275120065558031,0.385144912429077,TRUE
