cell_type,mouse_id,condition,intersect_down_UCell,T2D_up_top100_UCell,T2D_down_top100_UCell
PT,Control_1,Control,0.00593453573814295,0.0861222899592232,0.0445131623962403
Endothelial,Control_1,Control,0.0174522064657174,0.104598407170821,0.0473521601962856
B_cell,Control_1,Control,0.0236305945223781,0.0731388025354274,0.0416337628196389
Macrophage,Control_1,Control,0.0206126538791869,0.0947365081928448,0.0445157968475757
CD_IC,Control_1,Control,0.10874415497662,0.0955589648350761,0.0538348308334984
LoH,Control_1,Control,0.0106813627254509,0.0895587225967944,0.0525879143633974
Distal_tubule,Control_1,Control,0.0251980150777746,0.0633966421160091,0.0349085165873973
cDC,Control_1,Control,0.00434201736806947,0.0900812740491371,0.0503603972957737
Urothelium,Control_1,Control,0,0.0573822116355122,0
Fibroblast_Pericyte,Control_1,Control,0.0564729458917836,0.122788566353103,0.0679632497254083
T_cell,Control_1,Control,0.00796102007937444,0.0650374163149858,0.052011960230011
Tubular_epithelium_other,Control_1,Control,0.012374749498998,0.142698029795309,0.0560791679420927
Proliferating,Control_1,Control,0,0.0844483023133756,0.0542881322361669
Neutrophil,Control_1,Control,0,0.0950664136622391,0.0330680447269388
Endothelial,Control_2,Control,0.0164027860789806,0.102961540068832,0.0463136661329095
PT,Control_2,Control,0.013981115383921,0.0919289914485522,0.0475537613346642
T_cell,Control_2,Control,0.00750218385488926,0.067526716087417,0.0427563190721085
LoH,Control_2,Control,0.00544978846582053,0.0890316524688118,0.0509476415122651
Macrophage,Control_2,Control,0.0599198396793587,0.0957406435463685,0.0543399771385712
B_cell,Control_2,Control,0.0113426853707415,0.0679526827889701,0.0508985000990331
Distal_tubule,Control_2,Control,0.0595554745855347,0.0796912562991129,0.0410164722289972
cDC,Control_2,Control,0.023618665903235,0.0842493208676745,0.0407077392420497
Tubular_epithelium_other,Control_2,Control,0.0108216432865731,0.12671080786467,0.0584531483515494
CD_IC,Control_2,Control,0.127299042529503,0.112237070531713,0.0603756654722678
Urothelium,Control_2,Control,0.237842351369406,0.142100004037305,0.0617516250427643
Fibroblast_Pericyte,Control_2,Control,0.0344912046314852,0.112713472485769,0.0681452605170127
Endothelial,Control_3,Control,0.0115845327017672,0.10128400052852,0.0421318731820064
cDC,Control_3,Control,0.0435315074593632,0.0958509965413757,0.0465365432054306
Macrophage,Control_3,Control,0.0269943395563056,0.108794099585433,0.0516545157661606
CD_IC,Control_3,Control,0.160120240480962,0.1055997416125,0.0786682752039181
T_cell,Control_3,Control,0.00282382947713609,0.0500181678711293,0.0456796206296539
PT,Control_3,Control,0.00281074970453728,0.0794948400140374,0.040292611578421
Proliferating,Control_3,Control,0,0.0614397028543744,0.0493589859012911
Distal_tubule,Control_3,Control,0,0.0479369373006581,0.0236441471451465
B_cell,Control_3,Control,0.0329770652415943,0.0721775875758677,0.0500777259604708
Fibroblast_Pericyte,Control_3,Control,0,0.0985889620089628,0.0471082341502062
T_cell,STZ_1,STZ,0.00165520229648486,0.0448064876212965,0.0396455686469551
Endothelial,STZ_1,STZ,0.0180465862691853,0.102125691089812,0.0467411352077985
Macrophage,STZ_1,STZ,0.0216756537129241,0.0803950252914247,0.041135052251782
Fibroblast_Pericyte,STZ_1,STZ,0.0448127023277324,0.111375882383997,0.059192866571281
cDC,STZ_1,STZ,0.00538989625838021,0.0945998860799085,0.0472733254352737
Distal_tubule,STZ_1,STZ,0.0570597335020919,0.0837781097339416,0.0437587601627365
LoH,STZ_1,STZ,0.035428953144384,0.0884058990789178,0.0491631061917538
PT,STZ_1,STZ,0.0099585135182646,0.101773332965018,0.0490154501077044
