cell_type,n_DEG_tested,spearman_DEGs,sign_agree_DEGs,sign_test_p
B_cell,77,-0.242205163257795,0.350649350649351,0.011672721024383
cDC,82,-0.234226880421415,0.365853658536585,0.0198269158458417
pDC,68,0.0852387677978394,0.573529411764706,0.274990396171002
LSEC,58,0.163308622227691,0.568965517241379,0.358143301806139
NK_cell,42,-0.194554736245037,0.428571428571429,0.440799067342597
HSC_Fibroblast,96,0.0878323385784048,0.541666666666667,0.475152049986573
Neutrophil,28,-0.171866447728517,0.428571428571429,0.571588188409806
Monocyte,65,-0.0724213286713287,0.523076923076923,0.804317000193401
Cholangiocyte,99,-0.0139517625231911,0.505050505050505,1
T_cell,72,0.022413016914271,0.5,1
