human,mouse,support_n
ABCB4,Abcb4,10
ABCG2,Abcg2,10
ABI3BP,Abi3bp,11
ACTN1,Actn1,12
ADGRG6,Adgrg6,12
AEN,Aen,12
AGPAT2,Agpat2,12
ALDH18A1,Aldh18a1,11
ANGPTL8,Angptl8,12
ANKRD46,Ankrd46,12
AP2M1,Ap2m1,12
APOE,Apoe,12
ARPC1B,Arpc1b,10
ATP6V0D1,Atp6v0d1,12
AVPR1A,Avpr1a,12
BAZ2B,Baz2b,9
BCHE,Bche,11
BSG,Bsg,11
BST2,Bst2,11
CA14,Car14,12
CALM1,Calm1,9
CAMKK2,Camkk2,11
CAST,Cast,12
CCND1,Ccnd1,12
CD151,Cd151,12
CDH15,Cdh15,11
CDHR2,Cdhr2,10
CDKN1A,Cdkn1a,12
CEBPA,Cebpa,12
CHI3L1,Chil1,12
CPT2,Cpt2,11
CRP,Crp,11
CTSD,Ctsd,11
CTSE,Ctse,11
CYP26A1,Cyp26a1,12
DAPK1,Dapk1,11
DCUN1D1,Dcun1d1,10
DGAT1,Dgat1,12
DHCR7,Dhcr7,12
DHRS3,Dhrs3,11
DMD,Dmd,11
DNAJC12,Dnajc12,12
EFHD1,Efhd1,12
EIF4G1,Eif4g1,12
EMILIN1,Emilin1,12
ENO3,Eno3,11
ENPEP,Enpep,12
ENPP1,Enpp1,10
FABP4,Fabp4,11
FAM171A1,Fam171a1,11
FANCL,Fancl,12
FASN,Fasn,12
FAT1,Fat1,11
FBP1,Fbp1,12
FMO4,Fmo4,12
FMO5,Fmo5,11
GALNT2,Galnt2,11
GAS2,Gas2,12
GAS6,Gas6,12
GNB2,Gnb2,12
GOLM1,Golm1,11
GPD1,Gpd1,12
GPR88,Gpr88,12
GPX1,Gpx1,12
HAL,Hal,12
HBB,Hbb-bt,7
HMOX1,Hmox1,11
HPRT1,Hprt,12
HPS5,Hps5,11
HSD17B11,Hsd17b11,12
HSPA5,Hspa5,12
ID1,Id1,12
IDH2,Idh2,12
IER3IP1,Ier3ip1,10
IGF1,Igf1,12
IGFBP2,Igfbp2,12
IGKC,Igkc,4
IMPA1,Impa1,12
IRS2,Irs2,11
KDM8,Kdm8,12
KHK,Khk,11
KMO,Kmo,12
KRT18,Krt18,12
KRT8,Krt8,12
LAMA5,Lama5,10
LBP,Lbp,11
LDLR,Ldlr,11
LGALS3BP,Lgals3bp,11
LPCAT3,Lpcat3,12
LTBP3,Ltbp3,12
LZTFL1,Lztfl1,12
MAGT1,Magt1,12
MAN2A1,Man2a1,11
MANF,Manf,11
MAOA,Maoa,11
MED13,Med13,12
MET,Met,12
MORC3,Morc3,11
MVD,Mvd,12
NCOR1,Ncor1,10
OGN,Ogn,12
OPN3,Opn3,12
P4HA1,P4ha1,11
PDLIM5,Pdlim5,11
PFKFB3,Pfkfb3,11
PFN2,Pfn2,12
PLIN2,Plin2,11
PLPPR1,Plppr1,12
PLSCR4,Plscr4,12
PLXNB1,Plxnb1,11
PNPLA3,Pnpla3,12
POR,Por,12
POSTN,Postn,12
PPARGC1A,Ppargc1a,12
PPIB,Ppib,12
PRKCE,Prkce,12
PXDC1,Pxdc1,12
RBM47,Rbm47,12
RETREG1,Retreg1,12
RFC5,Rfc5,12
RGS1,Rgs1,12
RND2,Rnd2,12
RORA,Rora,12
SCG5,Scg5,12
SDC4,Sdc4,12
SDF2L1,Sdf2l1,11
SDS,Sds,12
SEC14L4,Sec14l4,10
SEC16A,Sec16a,11
SEC61A1,Sec61a1,12
SERPINE1,Serpine1,12
SHMT1,Shmt1,11
SLC16A4,Slc16a4,12
SLC16A7,Slc16a7,12
SLC17A3,Slc17a3,10
SLC19A2,Slc19a2,12
SLC22A7,Slc22a7,12
SLC35C1,Slc35c1,11
SLC39A7,Slc39a7,12
SLCO1B3,Slco1b2,10
SPARCL1,Sparcl1,11
SPP1,Spp1,12
SQLE,Sqle,12
SREBF2,Srebf2,12
ST3GAL6,St3gal6,12
STAG2,Stag2,11
SULF1,Sulf1,12
TKFC,Tkfc,12
TM7SF2,Tm7sf2,11
TMEM14A,Tmem14a,12
TMEM259,Tmem259,12
TNFSF14,Tnfsf14,12
TOM1L1,Tom1l1,12
TSPAN8,Tspan8,12
TUT7,Tut7,12
TXLNA,Txlna,12
UBE2E1,Ube2e1,11
UBE2S,Ube2s,12
VCP,Vcp,12
VIL1,Vil1,11
VWA8,Vwa8,12
WDR18,Wdr18,12
ZMAT3,Zmat3,12
