cell_type,mouse_id,condition,T2D_up_top100_UCell,T2D_down_top100_UCell
LSEC,Control_1,Control,0.0816964301205112,0.0474130313624158
B_cell,Control_1,Control,0.0588186744045859,0.0397075300708519
T_cell,Control_1,Control,0.0541680880095514,0.0422384860921113
NK_cell,Control_1,Control,0.0562016593277328,0.0444544763641891
pDC,Control_1,Control,0.0986239339744517,0.0362306783178388
Monocyte,Control_1,Control,0.0922250021065186,0.0368540553562364
Hepatocyte,Control_1,Control,0.0535016083195403,0.0269977200182399
Neutrophil,Control_1,Control,0.0692591141360357,0.0400028499772002
Macrophage_other,Control_1,Control,0.109575551981512,0.0527941176470588
Cholangiocyte,Control_1,Control,0.164739395781134,0.0479708162334701
HSC_Fibroblast,Control_1,Control,0.100468075178605,0.0783570719669537
cDC,Control_1,Control,0.0858636296715994,0.0397357826851671
Kupffer_cell,Control_1,Control,0.0905080620169936,0.0319593812480269
LSEC,Control_2,Control,0.0800040935494037,0.0491754238693363
B_cell,Control_2,Control,0.0615144946952998,0.0458705338186476
NK_cell,Control_2,Control,0.0633096435226287,0.0488133961594974
HSC_Fibroblast,Control_2,Control,0.105350134807366,0.0774541097788865
pDC,Control_2,Control,0.100275975856493,0.0411821096270925
cDC,Control_2,Control,0.0920926810400466,0.039734904620763
Cholangiocyte,Control_2,Control,0.159564320005905,0.0537340179200645
T_cell,Control_2,Control,0.0571057535159219,0.0462817163345046
Neutrophil,Control_2,Control,0.0754713424672202,0.0514122858445704
Kupffer_cell,Control_2,Control,0.0834181301160003,0.035109439124487
Monocyte,Control_2,Control,0.104385923820826,0.0374761513907889
Macrophage_other,Control_2,Control,0.0997763186658755,0.0433618331053352
HSC_Fibroblast,Control_3,Control,0.0932017100191043,0.0759178810047781
B_cell,Control_3,Control,0.0610439689983983,0.0425338911322766
LSEC,Control_3,Control,0.075131469174482,0.0438007810223232
cDC,Control_3,Control,0.095911064046038,0.0381007337395846
T_cell,Control_3,Control,0.0525705594842729,0.0415521517795071
Neutrophil,Control_3,Control,0.0655618450209568,0.0452081107438732
Monocyte,Control_3,Control,0.103515773131026,0.0379828284802293
Cholangiocyte,Control_3,Control,0.152749079625512,0.0486621366045465
NK_cell,Control_3,Control,0.0629585422668783,0.0474888885226268
Macrophage_other,Control_3,Control,0.103635548199272,0.0492737835875091
pDC,Control_3,Control,0.0954791252292408,0.039773196848908
Kupffer_cell,Control_3,Control,0.106944628785276,0.0427536479708162
Hepatocyte,Control_3,Control,0.0406608163392773,0.0118741450068399
HSC_Fibroblast,STZ_1,STZ,0.100919476380859,0.0707329898807618
T_cell,STZ_1,STZ,0.044063292590535,0.0356298587673582
B_cell,STZ_1,STZ,0.0446512786402416,0.0297187769386539
pDC,STZ_1,STZ,0.0986419554448499,0.041318796085576
Monocyte,STZ_1,STZ,0.0820650203884058,0.0411451534102013
NK_cell,STZ_1,STZ,0.0489936867762498,0.0417039686633326
cDC,STZ_1,STZ,0.0832514324239424,0.0443855225628784
Neutrophil,STZ_1,STZ,0.0527306033692088,0.0330391935505293
Cholangiocyte,STZ_1,STZ,0.155300079300638,0.0534736336395023
Kupffer_cell,STZ_1,STZ,0.0873038396677181,0.0433427952576379
LSEC,STZ_1,STZ,0.0799990414276742,0.0425779415986894
Macrophage_other,STZ_1,STZ,0.0889423705895709,0.0445713018079639
Hepatocyte,STZ_1,STZ,0.0548573821958751,0.0357927630696602
T_cell,STZ_2,STZ,0.0506932729704041,0.0436523504422134
B_cell,STZ_2,STZ,0.0519946604072428,0.0405748486487992
Hepatocyte,STZ_2,STZ,0.06218705432893,0.0440842073263414
HSC_Fibroblast,STZ_2,STZ,0.10045846180336,0.0769002723653886
cDC,STZ_2,STZ,0.0833486227788014,0.0412507979936161
Monocyte,STZ_2,STZ,0.0960153481367405,0.0365013509742668
NK_cell,STZ_2,STZ,0.0579952852498519,0.0465120244255437
LSEC,STZ_2,STZ,0.0752457400012401,0.0428534136944296
Cholangiocyte,STZ_2,STZ,0.159497326407323,0.0555205958352333
pDC,STZ_2,STZ,0.0970844364867038,0.0433713330293358
Neutrophil,STZ_2,STZ,0.0633631743506559,0.0403076634210456
Kupffer_cell,STZ_2,STZ,0.0856807511737089,0.0434834321325429
Macrophage_other,STZ_2,STZ,0.0776638768308298,0.0451025991792066
B_cell,STZ_3,STZ,0.0585492921759354,0.0422018478539671
T_cell,STZ_3,STZ,0.053516992399874,0.0437392478132902
Cholangiocyte,STZ_3,STZ,0.160120091807567,0.0544142281344508
Monocyte,STZ_3,STZ,0.101894588624353,0.0417987115677543
Neutrophil,STZ_3,STZ,0.0623787880105579,0.0449625390338649
cDC,STZ_3,STZ,0.0877457304419837,0.0410724405239241
HSC_Fibroblast,STZ_3,STZ,0.106693680660076,0.0793117756415415
Kupffer_cell,STZ_3,STZ,0.106044538706257,0.0488153016514998
Macrophage_other,STZ_3,STZ,0.120482173493,0.0554943147551594
NK_cell,STZ_3,STZ,0.0580056784225079,0.0485371886887919
LSEC,STZ_3,STZ,0.0798145614806137,0.0495305017072059
pDC,STZ_3,STZ,0.0993902084143644,0.0361585416407578
Hepatocyte,STZ_3,STZ,0.0961886517654607,0.0521510591551631
Monocyte,STZ_4,STZ,0.103191664997285,0.0371662607186947
HSC_Fibroblast,STZ_4,STZ,0.0783866126997438,0.0421228650850261
B_cell,STZ_4,STZ,0.0516185163516684,0.0389095987232102
T_cell,STZ_4,STZ,0.0454935116816015,0.0401651490860472
Cholangiocyte,STZ_4,STZ,0.114808577655797,0.0437302410417926
pDC,STZ_4,STZ,0.103599782769676,0.0406049293978529
NK_cell,STZ_4,STZ,0.0524539732197804,0.0505529626351225
Kupffer_cell,STZ_4,STZ,0.0885791312298526,0.0381807012210569
Macrophage_other,STZ_4,STZ,0.0859368670650466,0.0353217417738919
cDC,STZ_4,STZ,0.0764701289778583,0.0361035111719106
LSEC,STZ_4,STZ,0.0815860324834904,0.045808955066821
Neutrophil,STZ_4,STZ,0.056087122620301,0.0423304536851376
Hepatocyte,STZ_4,STZ,0.0772083333899085,0.058038620908424
