repeat_id,model,auc,mean_n_features
1,LASSO,0.852272727272727,15.6
1,RF,0.880681818181818,15.6
1,SVM,0.863636363636364,15.6
2,LASSO,0.892045454545455,16
2,RF,0.886363636363637,16
2,SVM,0.869318181818182,16
3,LASSO,0.829545454545455,15.8
3,RF,0.875,15.8
3,SVM,0.840909090909091,15.8
4,LASSO,0.920454545454545,15
4,RF,0.892045454545455,15
4,SVM,0.931818181818182,15
5,LASSO,0.778409090909091,15.2
5,RF,0.840909090909091,15.2
5,SVM,0.846590909090909,15.2
6,LASSO,0.897727272727273,14.2
6,RF,0.897727272727273,14.2
6,SVM,0.863636363636364,14.2
7,LASSO,0.920454545454545,17.4
7,RF,0.926136363636364,17.4
7,SVM,0.909090909090909,17.4
8,LASSO,0.818181818181818,15.8
8,RF,0.869318181818182,15.8
8,SVM,0.863636363636364,15.8
9,LASSO,0.943181818181818,13.8
9,RF,0.926136363636364,13.8
9,SVM,0.926136363636364,13.8
10,LASSO,0.863636363636364,15.8
10,RF,0.880681818181818,15.8
10,SVM,0.863636363636364,15.8
