repeat_id,model,auc
1,LASSO,0.869318181818182
1,RF,0.926136363636364
1,SVM,0.818181818181818
2,LASSO,0.943181818181818
2,RF,0.948863636363636
2,SVM,0.931818181818182
3,LASSO,0.9375
3,RF,0.920454545454545
3,SVM,0.869318181818182
4,LASSO,0.943181818181818
4,RF,0.960227272727273
4,SVM,0.920454545454546
5,LASSO,0.909090909090909
5,RF,0.948863636363636
5,SVM,0.9375
6,LASSO,0.914772727272727
6,RF,0.909090909090909
6,SVM,0.897727272727273
7,LASSO,0.914772727272727
7,RF,0.920454545454545
7,SVM,0.869318181818182
8,LASSO,0.880681818181818
8,RF,0.960227272727273
8,SVM,0.931818181818182
9,LASSO,0.9375
9,RF,0.943181818181818
9,SVM,0.897727272727273
10,LASSO,0.948863636363636
10,RF,0.960227272727273
10,SVM,0.943181818181818
11,LASSO,0.903409090909091
11,RF,0.880681818181818
11,SVM,0.886363636363636
12,LASSO,0.954545454545455
12,RF,0.971590909090909
12,SVM,0.920454545454546
13,LASSO,0.897727272727273
13,RF,0.965909090909091
13,SVM,0.926136363636364
14,LASSO,0.903409090909091
14,RF,0.954545454545455
14,SVM,0.948863636363636
15,LASSO,0.909090909090909
15,RF,0.914772727272727
15,SVM,0.852272727272727
16,LASSO,0.903409090909091
16,RF,0.931818181818182
16,SVM,0.869318181818182
17,LASSO,0.943181818181818
17,RF,0.943181818181818
17,SVM,0.897727272727273
18,LASSO,0.897727272727273
18,RF,0.909090909090909
18,SVM,0.886363636363636
19,LASSO,0.869318181818182
19,RF,0.960227272727273
19,SVM,0.880681818181818
20,LASSO,0.943181818181818
20,RF,0.948863636363636
20,SVM,0.897727272727273
