gene,lasso_freq,rf_importance,svmrfe_rank,consensus
VSNL1,0.96,0.0533093444055945,3,1.66666666666667
LZTFL1,0.92,0.0173871789321789,1,2
PPARGC1A,0.89,0.0110948255910756,2,3.66666666666667
SREBF2,0.68,0.0116553774003774,7,5.66666666666667
GAS6,0.45,0.0294086915861916,13,7.33333333333333
HMOX1,0.77,0.0088258306970807,8,7.33333333333333
SERPINE1,0.66,0.00744427725052725,9,8.66666666666667
ENPP1,0.02,0.0152815034965035,5,8.83333333333333
IGF1,0.36,-0.00157965562215562,4,10.3333333333333
IGFBP1,0.07,0.00994718434343434,12,10.5
IGFBP2,0.09,0.00213290861915862,10,11
PLIN1,0.1,0.00961650682650682,18,12
CTSD,0.03,0.000631031607281607,6,12.3333333333333
CCND1,0.02,0.0100638883338883,15,13.1666666666667
GPX1,0.03,0.00220832486957487,14,13.3333333333333
IRS2,0.07,0.00166791985791986,16,13.8333333333333
KHK,0.02,-0.000488049450549451,11,15.5
FBP1,0.03,0.000873211233211233,19,16.3333333333333
PNPLA3,0.02,0.00158409188034188,17,16.5
