model,analysis,mean_AUC,sd,permutation_p
LASSO,Panel-fixed CV (optimistic),0.916193181818182,0.0264501010546751,0.00497512437810945
RF,Panel-fixed CV (optimistic),0.938920454545455,0.023884631343137,
SVM,Panel-fixed CV (optimistic),0.899147727272727,0.033834512298658,
LASSO,Nested CV (honest),0.871590909090909,0.0524316862818129,
RF,Nested CV (honest),0.8875,0.0255225462544288,
SVM,Nested CV (honest),0.877840909090909,0.0323913473039528,
LASSO,External GSE23343,0.428571428571429,,
RF,External GSE23343,0.614285714285714,,
SVM,External GSE23343,0.614285714285714,,
Score,External GSE23343,0.642857142857143,,
LASSO,Permutation null,0.482727272727273,0.0934257912065011,
