repeat_id,model,auc,mean_n_features
1,LASSO,0.715909090909091,5.6
1,RF,0.875,5.6
1,SVM,0.835227272727273,5.6
2,LASSO,0.795454545454545,6
2,RF,0.772727272727273,6
2,SVM,0.710227272727273,6
3,LASSO,0.744318181818182,6.2
3,RF,0.767045454545455,6.2
3,SVM,0.767045454545455,6.2
4,LASSO,0.857954545454545,5.8
4,RF,0.789772727272727,5.8
4,SVM,0.772727272727273,5.8
5,LASSO,0.738636363636364,3.8
5,RF,0.778409090909091,3.8
5,SVM,0.732954545454546,3.8
6,LASSO,0.738636363636364,5.6
6,RF,0.75,5.6
6,SVM,0.772727272727273,5.6
7,LASSO,0.852272727272727,6.2
7,RF,0.772727272727273,6.2
7,SVM,0.755681818181818,6.2
8,LASSO,0.806818181818182,5.2
8,RF,0.761363636363636,5.2
8,SVM,0.732954545454545,5.2
9,LASSO,0.8125,7
9,RF,0.795454545454546,7
9,SVM,0.818181818181818,7
10,LASSO,0.721590909090909,4.2
10,RF,0.710227272727273,4.2
10,SVM,0.778409090909091,4.2
