model,analysis,mean_AUC,sd,permutation_p
LASSO,Panel-fixed CV (optimistic),0.829261363636364,0.0398143579115784,0.00497512437810945
RF,Panel-fixed CV (optimistic),0.823011363636364,0.0300808930951873,
SVM,Panel-fixed CV (optimistic),0.761931818181818,0.0512160463705333,
LASSO,Nested CV (honest),0.778409090909091,0.0532328383430121,
RF,Nested CV (honest),0.777272727272727,0.0417354803661798,
SVM,Nested CV (honest),0.767613636363636,0.0382040955333172,
LASSO,External GSE23343,0.714285714285714,,
RF,External GSE23343,0.585714285714286,,
SVM,External GSE23343,0.6,,
Score,External GSE23343,0.671428571428571,,
LASSO,Permutation null,0.484630681818182,0.0779963146527601,
