gene,n_snp_ld,b_ld,se_ld,p_ld,FDR_ld,n_snp_dist,b_dist,se_dist,p_dist,FDR_dist
SREBF1,2,-0.101798516794343,0.0177088805233427,9.00682016875363e-09,2.16163684050087e-07,11,-0.121491258393026,0.0190532563928128,1.81294418389241e-10,4.53236045973104e-09
SIRT1,4,0.0268986619220538,0.00813683511959582,0.000947093000646844,0.0113651160077621,10,0.0383602799683446,0.0103438973841097,0.000208495712760903,0.00260619640951128
SERPINE1,3,-0.207118473981471,0.0912409021908731,0.0232065017930696,0.185652014344556,1,-0.316528687570184,0.104796660073912,0.00252434248633068,0.021036187386089
FASN,1,0.0428097630021884,0.0234859116470339,0.0683359892221259,0.410015935332755,1,0.03475688705125,0.0202959924386861,0.0868045646114652,0.241123790587403
TP53,1,-0.267071594147455,0.173235628636187,0.123154616073819,0.496700912136929,1,-0.145382670963631,0.130040781062946,0.263576591083728,0.588280684021371
FBP1,3,-0.115106303536818,0.0748667467443165,0.124175228034232,0.496700912136929,10,-0.0812605452623267,0.0361146127005572,0.0244442584174152,0.0763883075544224
PPARGC1A,12,-0.0176480433302912,0.0125374128982738,0.159240545617937,0.545967584975784,3,-0.0477065860293347,0.0177956272049864,0.00734455514594833,0.0367227757297417
KHK,3,-0.0242466416101083,0.018373301029758,0.186946175952148,0.560838527856443,10,-0.0274534649814908,0.0358496888126513,0.443799077639736,0.656903921529001
PRKAA1,5,-0.144864470291101,0.12165071866598,0.233723088866877,0.623261570311671,1,-0.26678727339943,0.0914391864473853,0.00352683298771631,0.0220427061732269
IRS2,6,-0.0635648302306772,0.0585148458545863,0.27734512924883,0.665628310197192,5,0.0219598665484133,0.0553515954177943,0.691563535876025,0.751699495517418
ZMAT3,8,-0.0147703374675203,0.0185333186455003,0.425473515514106,0.775346280670945,5,-0.0191788516952827,0.0214171533039568,0.370525082247002,0.617541803745003
MDM2,10,0.0130329925572018,0.0165982811907082,0.432335532606704,0.775346280670945,4,0.0151438308500708,0.0212459365445418,0.475977469866964,0.656903921529001
CDKN1A,9,0.0245997746257117,0.035467167930387,0.487937569404426,0.775346280670945,4,0.102029791022678,0.0422828096828425,0.0158204118268666,0.065918382611944
LZTFL1,8,0.017875409964799,0.0272103792052265,0.511223669174779,0.775346280670945,4,0.000467769394830931,0.0392769119182204,0.990497797885609,0.990497797885609
CTSD,1,-0.0451343625092041,0.0692060225141129,0.514288986716092,0.775346280670945,1,-0.0451343625092041,0.0692060225141129,0.514288986716092,0.656903921529001
CCND1,5,0.0323019333127971,0.0545171639707372,0.553509513341914,0.775346280670945,1,-0.042620415024476,0.0442389117975574,0.335339485210113,0.598820509303773
IGFBP2,3,0.0230429563954057,0.0404760713208143,0.569153757155151,0.775346280670945,1,0.0546886637771844,0.0508731756066832,0.282374728330258,0.588280684021371
PHLDA3,2,-0.0353160141839822,0.0643794496768986,0.583307194659008,0.775346280670945,1,-0.0439469702831484,0.069223659073456,0.525523137223201,0.656903921529001
BAX,4,0.0354248414497209,0.0732492649895882,0.628655268906928,0.775346280670945,1,0.0629375229262323,0.0445512802736251,0.157744418499768,0.39436104624942
HMOX1,5,-0.0220048664897119,0.0569793791137646,0.699355958319221,0.775346280670945,3,0.0249339045672841,0.0493025332142497,0.613044290392229,0.72981463141932
PLIN1,3,-0.0244596071911109,0.0638520186321108,0.701670017663431,0.775346280670945,1,-0.0267778575936705,0.0771832365935208,0.728637315121036,0.75899720325108
GPX1,3,0.0338883482933901,0.091375185799407,0.710734090615033,0.775346280670945,3,0.193483278596662,0.193877029501306,0.318294357693395,0.598820509303773
ENPP1,2,0.030506535953776,0.145544240742132,0.833977396082179,0.861547674917712,1,-0.0991062607451233,0.146051331624392,0.497409451259859,0.656903921529001
CAMKK2,5,0.00821942590431336,0.0471285529606753,0.861547674917712,0.861547674917712,8,-0.12488731599144,0.0543279666782938,0.0215181955909261,0.0763883075544224
