gene,method,n_snp,b,se,p,OR,OR_lo,OR_hi,Q,Q_p,egger_int,egger_int_p,FDR
SREBF1,IVW,11,-0.121491258393026,0.0190532563928128,1.81294418389241e-10,0.885598794871632,0.853136568185441,0.919296223752551,14.7146520529876,0.142816611997447,,,4.53236045973104e-09
SREBF1,MR-Egger,11,-0.088294369487484,0.0482890090590437,0.100742143679202,0.915491344336388,0.832817434382596,1.00637230556561,,,-0.00592714780860046,0.471646008621843,4.53236045973104e-09
SREBF1,Weighted median,11,-0.104352327176507,0.0198394421060752,1.44179379140367e-07,0.900907827186747,0.866548123386048,0.936629935698058,,,,,4.53236045973104e-09
SREBF1,Weighted mode,11,-0.113305414444322,0.0191214568642814,3.112275358865e-09,0.892877920654866,0.860033901727389,0.926976226857697,,,,,4.53236045973104e-09
SIRT1,IVW,10,0.0383602799683446,0.0103438973841097,0.000208495712760903,1.03910553435681,1.01825078766668,1.06038740613712,9.80050530028576,0.366875677699062,,,0.00260619640951128
SIRT1,MR-Egger,10,0.00951226657601366,0.0227619414900292,0.683626294966895,1.00955765197558,0.965507761076583,1.05561725524194,,,0.0124586170778773,0.192216933788932,0.00260619640951128
SIRT1,Weighted median,10,0.0296144820483299,0.0123686449277567,0.0166512578320879,1.03005735179764,1.00538639272053,1.05533370619957,,,,,0.00260619640951128
SIRT1,Weighted mode,10,0.0338405309348593,0.0110244091026951,0.00214345325304403,1.03441963564232,1.01230781445066,1.05701444494236,,,,,0.00260619640951128
SERPINE1,Wald ratio,1,-0.316528687570184,0.104796660073912,0.00252434248633068,0.728674107370344,0.593374146012705,0.894824889692108,,,,,0.021036187386089
PRKAA1,Wald ratio,1,-0.26678727339943,0.0914391864473853,0.00352683298771631,0.765835967820594,0.640178600142639,0.916157974473103,,,,,0.0220427061732269
PPARGC1A,IVW,3,-0.0477065860293347,0.0177956272049864,0.00734455514594833,0.953413490879041,0.920732237343952,0.98725476063742,0.232417130548262,0.890289520454674,,,0.0367227757297417
PPARGC1A,MR-Egger,3,-0.0612402317747956,0.0858713726165675,0.361141655083127,0.940597251285244,0.794892715808088,1.11300955654871,,,0.00455489097585144,0.783089724578152,0.0367227757297417
PPARGC1A,Weighted median,3,-0.050874072683979,0.0186195382635213,0.00628947840028571,0.950398344109807,0.916339483604182,0.985723117521836,,,,,0.0367227757297417
PPARGC1A,Weighted mode,3,-0.0514439832756936,0.0207804268072816,0.0133013247428893,0.949856856341614,0.911946803761442,0.989342847431252,,,,,0.0367227757297417
CDKN1A,IVW,4,0.102029791022678,0.0422828096828425,0.0158204118268666,1.10741646230546,1.01934012742216,1.20310305460705,3.60088452644104,0.307911516134465,,,0.065918382611944
CDKN1A,MR-Egger,4,0.222987052755627,0.0764389315385399,0.0138181515144615,1.24980439210835,1.07590992664602,1.45180463517298,,,-0.0177344032898369,0.0339214945715168,0.065918382611944
CDKN1A,Weighted median,4,0.112329531122173,0.0404386208750061,0.00547319162217632,1.11888150617993,1.03362271894405,1.21117289889913,,,,,0.065918382611944
CDKN1A,Weighted mode,4,0.121381238041289,0.041618072037404,0.00353924626730375,1.12905526914726,1.04061284834037,1.22501447375195,,,,,0.065918382611944
CAMKK2,IVW,8,-0.12488731599144,0.0543279666782938,0.0215181955909261,0.882596351476165,0.79344573306937,0.981763827282355,54.7744286365175,1.65247778399022e-09,,,0.0763883075544224
CAMKK2,MR-Egger,8,-0.104236745218298,0.100973471645834,0.341726911039101,0.90101196189551,0.739231053712848,1.09819866387018,,,-0.00430418527815341,0.810448287318761,0.0763883075544224
CAMKK2,Weighted median,8,-0.0835272374705631,0.0261628336037697,0.00141002314477389,0.919866031506063,0.87388508703658,0.968266341273878,,,,,0.0763883075544224
CAMKK2,Weighted mode,8,-0.0924292693411332,0.02661024496121,0.000513819276971317,0.911713694794274,0.865381049441388,0.960526997687306,,,,,0.0763883075544224
FBP1,IVW,10,-0.0812605452623267,0.0361146127005572,0.0244442584174152,0.921953449545658,0.85894946724009,0.989578776805446,13.1863421565939,0.154354170455248,,,0.0763883075544224
FBP1,MR-Egger,10,-0.210134861481493,0.0556799362440134,0.00204954068468956,0.810474936748868,0.726681109562605,0.903931056489768,,,0.0146835661958276,0.0115989161919048,0.0763883075544224
FBP1,Weighted median,10,-0.123526695846291,0.0380316415815788,0.00116220086992234,0.883798047192328,0.820313484716766,0.952195718799706,,,,,0.0763883075544224
FBP1,Weighted mode,10,-0.121353720680916,0.0391568014718833,0.00194061353290858,0.885720606480379,0.82028695766806,0.956373846262505,,,,,0.0763883075544224
FASN,Wald ratio,1,0.03475688705125,0.0202959924386861,0.0868045646114652,1.03536796684054,0.994989337333627,1.0773852407627,,,,,0.241123790587403
BAX,Wald ratio,1,0.0629375229262323,0.0445512802736251,0.157744418499768,1.06496030154947,0.97591187718969,1.16213407212779,,,,,0.39436104624942
IGFBP2,Wald ratio,1,0.0546886637771844,0.0508731756066832,0.282374728330258,1.05621172651133,0.955975723184243,1.16695767911779,,,,,0.588280684021371
TP53,Wald ratio,1,-0.145382670963631,0.130040781062946,0.263576591083728,0.86469133752386,0.670144041863987,1.1157170137768,,,,,0.588280684021371
CCND1,Wald ratio,1,-0.042620415024476,0.0442389117975574,0.335339485210113,0.958275067857529,0.878685109968262,1.04507416281416,,,,,0.598820509303773
GPX1,IVW,3,0.193483278596662,0.193877029501306,0.318294357693395,1.21346909547567,0.829845533916584,1.77443534428005,18.8438633227071,8.09295397607425e-05,,,0.598820509303773
GPX1,MR-Egger,3,-0.483987176105631,0.168369194245139,0.00967679527464384,0.616321105498366,0.443086265863359,0.857286118635573,,,0.054491040706027,0.0064085324195791,0.598820509303773
GPX1,Weighted median,3,0.226957089643206,0.0682917268255576,0.000889442729985537,1.25477602389817,1.09757730963275,1.43448926679846,,,,,0.598820509303773
GPX1,Weighted mode,3,0.0390278899571893,0.0731599174712399,0.593715189559955,1.03979948320883,0.900895916264062,1.20011973166104,,,,,0.598820509303773
