gene,method,b,se,p
PPARGC1A,Simple median,-0.0517908073711015,0.0230361857536241,0.0245610753811686
PPARGC1A,Weighted median,-0.050874072683979,0.018959365054579,0.00728948675509981
PPARGC1A,IVW,-0.0477065860293347,0.0177956272049864,0.00734455514594832
PPARGC1A,MR-Egger,-0.0612402317747956,0.0858713726165675,0.475745287482361
PPARGC1A,(intercept),0.00455489097585144,0.0282735049663673,0.87201382333501
SIRT1,Simple median,0.0484102665557985,0.0200062709483652,0.0155309833814731
SIRT1,Weighted median,0.0296144820483299,0.0121268099594484,0.0146034373429923
SIRT1,IVW,0.0383602799683446,0.0103438973841097,0.000208495712760901
SIRT1,MR-Egger,0.00951226657601366,0.0227619414900292,0.676018586987303
SIRT1,(intercept),0.0124586170778773,0.00884913052947905,0.159163152786683
SREBF1,Simple median,-0.110951843988502,0.0257157636204385,1.59931261691547e-05
SREBF1,Weighted median,-0.104352327176507,0.0203665675722353,2.99586225209182e-07
SREBF1,IVW,-0.121491258393026,0.0190532563928128,1.81294418389243e-10
SREBF1,MR-Egger,-0.088294369487484,0.0482890090590437,0.0674810156953445
SREBF1,(intercept),-0.00592714780860046,0.00788893716661073,0.452457690311968
GPX1,Simple median,0.590039271931882,0.146098619245472,5.37627169701872e-05
GPX1,Weighted median,0.226957089643206,0.0733730286593259,0.00198013938078721
GPX1,IVW,0.193483278596662,0.0631620739916396,0.0021892325203574
GPX1,MR-Egger,-0.483987176105631,0.168369194245139,0.00404592219799249
GPX1,(intercept),0.054491040706027,0.012553422174582,1.42008874830513e-05
KHK,Simple median,0.0324052168270599,0.0458863647688268,0.480060165541363
KHK,Weighted median,-0.0282330199089364,0.0205493346649737,0.16946836280557
KHK,IVW,-0.0274534649814908,0.0358496888126513,0.443799077639736
KHK,MR-Egger,-0.0583445104178739,0.0588723201790759,0.321668651166931
KHK,(intercept),0.00600876655028895,0.00890930090701771,0.500033214082088
CDKN1A,Simple median,0.0330365106340298,0.0725477783894877,0.648838822836641
CDKN1A,Weighted median,0.112329531122173,0.0413632421661528,0.00661388380294104
CDKN1A,IVW,0.102029791022678,0.0422828096828425,0.0158204118268666
CDKN1A,MR-Egger,0.222987052755627,0.0764389315385399,0.00353198088191187
CDKN1A,(intercept),-0.0177344032898369,0.00967385477817596,0.0667683359286304
FBP1,Simple median,-0.0400796184460638,0.0504640724821189,0.427066873605837
FBP1,Weighted median,-0.123526695846291,0.0393828005866391,0.00170939808308026
FBP1,IVW,-0.0812605452623267,0.0361146127005572,0.0244442584174152
FBP1,MR-Egger,-0.210134861481493,0.0556799362440134,0.00016066485367916
FBP1,(intercept),0.0146835661958276,0.00535633148517818,0.00611877476047318
ZMAT3,Simple median,-0.0120101428146947,0.048516957998224,0.804486271392907
ZMAT3,Weighted median,-0.0120082658562259,0.0225884802695791,0.594996018948236
ZMAT3,IVW,-0.0191788516952827,0.0214171533039568,0.370525082247002
ZMAT3,MR-Egger,0.00999332155957224,0.0367731863272488,0.785809899866213
ZMAT3,(intercept),-0.00710199402976996,0.00727740397040836,0.329115690958893
CAMKK2,Simple median,-0.0836472915344686,0.045905540092155,0.0684305381104537
CAMKK2,Weighted median,-0.0835272374705631,0.0255714878171023,0.00108916303092541
CAMKK2,IVW,-0.12488731599144,0.0543279666782938,0.0215181955909261
CAMKK2,MR-Egger,-0.104236745218298,0.100973471645834,0.30192311158483
CAMKK2,(intercept),-0.00430418527815341,0.0171721947552935,0.802085861815415
IRS2,Simple median,0.0861142095323718,0.0773115523339601,0.265339452507498
IRS2,Weighted median,0.000981845501866897,0.0672649911598365,0.988353948532428
IRS2,IVW,0.0219598665484133,0.0553515954177943,0.691563535876025
IRS2,MR-Egger,-0.161754764406361,0.202868005052922,0.425253626109677
IRS2,(intercept),0.0152429238161763,0.0161934469764333,0.346550124765537
MDM2,Simple median,0.0738537713225918,0.0700635705310444,0.291838693686592
MDM2,Weighted median,0.0110957331865111,0.0218293700200716,0.611247325553872
MDM2,IVW,0.0151438308500708,0.0212459365445418,0.475977469866964
MDM2,MR-Egger,-0.00793937700415612,0.0310025039628703,0.797882694216913
MDM2,(intercept),0.00760287306674324,0.00743646894578181,0.306602613019358
LZTFL1,Simple median,0.00956132120522513,0.0600522614689743,0.873498169212722
LZTFL1,Weighted median,0.0101930191935432,0.0425151447540379,0.81052382931049
LZTFL1,IVW,0.000467769394830931,0.0392769119182204,0.990497797885609
LZTFL1,MR-Egger,0.0405744803242789,0.0671318933052055,0.545578092108583
LZTFL1,(intercept),-0.00718061633094581,0.0097473126023019,0.4613190886535
HMOX1,Simple median,0.0328649413931487,0.0612460829718275,0.591540635832175
HMOX1,Weighted median,0.0341142512553494,0.0420041652797275,0.416697801712712
HMOX1,IVW,0.0249339045672841,0.0399011972689932,0.532042509074623
HMOX1,MR-Egger,0.0722489597064121,0.167090146520462,0.665454282776026
HMOX1,(intercept),-0.0130380830740745,0.04222511231936,0.757492254883573
