gene,method,n_snp,b,se,p,OR,OR_lo,OR_hi,Q,Q_p,egger_int,egger_int_p,FDR
SREBF1,IVW,2,-0.101798516794343,0.0177088805233427,9.00682016875363e-09,0.903211515288442,0.872399408543158,0.935111868899536,0.148476879716901,0.69999517647907,,,2.16163684050087e-07
SIRT1,IVW,4,0.0268986619220538,0.00813683511959582,0.000947093000646844,1.02726369656006,1.01101064088085,1.04377803714393,0.681991867888123,0.877431246121458,,,0.0113651160077621
SIRT1,MR-Egger,4,0.0186068593386056,0.0275868509730256,0.337967937171532,1.01878104562181,0.965158088704843,1.07538322588278,,,0.00428136790404673,0.619090991867997,0.0113651160077621
SIRT1,Weighted median,4,0.024787917578587,0.00918391195237605,0.00695359072547418,1.02509769226813,1.00681053709598,1.04371700531106,,,,,0.0113651160077621
SIRT1,Weighted mode,4,0.0231032391969814,0.0105717562988594,0.0288614505384695,1.0233721862164,1.00238543749068,1.04479833041377,,,,,0.0113651160077621
SERPINE1,IVW,3,-0.207118473981471,0.0912409021908731,0.0232065017930696,0.812923334018204,0.679804078434632,0.972110006331503,2.65785249796188,0.264761396546618,,,0.185652014344556
SERPINE1,MR-Egger,3,-1.22088294503367,0.631095278164568,0.0624406635482894,0.294969609960005,0.0856205726309674,1.01619351665593,,,0.0844509773032494,0.0745021324944735,0.185652014344556
SERPINE1,Weighted median,3,-0.199383798036934,0.0871214947204949,0.0221042425757307,0.819235412045205,0.690636303266586,0.971780164428765,,,,,0.185652014344556
SERPINE1,Weighted mode,3,-0.284766856969231,0.092120142995597,0.00199312355216641,0.752189601641525,0.627932666481629,0.90103481952581,,,,,0.185652014344556
FASN,Wald ratio,1,0.0428097630021884,0.0234859116470339,0.0683359892221259,1.04373931812851,0.996782563252667,1.09290812697657,,,,,0.410015935332755
FBP1,IVW,3,-0.115106303536818,0.0748667467443165,0.124175228034232,0.891271393569372,0.769630209297622,1.03213814556479,6.86099332022756,0.0323708594650205,,,0.496700912136929
FBP1,MR-Egger,3,0.300976852095603,0.174938424752709,0.318533903390648,1.35117806423536,0.958963312889915,1.90380814023946,,,-0.0565025527176288,0.233852515544266,0.496700912136929
FBP1,Weighted median,3,-0.101057739583914,0.05530258237785,0.0676456250088232,0.903880841675423,0.811029540257805,1.00736229125288,,,,,0.496700912136929
FBP1,Weighted mode,3,-0.0893351316735337,0.0586529525407121,0.127730193169815,0.914539031215251,0.815221911582696,1.02595578913275,,,,,0.496700912136929
TP53,Wald ratio,1,-0.267071594147455,0.173235628636187,0.123154616073819,0.76561825571686,0.545194086185183,1.07516080665597,,,,,0.496700912136929
PPARGC1A,IVW,12,-0.0176480433302912,0.0125374128982738,0.159240545617937,0.982506771323366,0.958657536559011,1.00694932119468,8.87316762265414,0.633598354270453,,,0.545967584975784
PPARGC1A,MR-Egger,12,-0.012730922058931,0.0235000884468552,0.576629907033037,0.987349773324102,0.942903725495531,1.03389089312467,,,-0.00124951509814631,0.797488763081692,0.545967584975784
PPARGC1A,Weighted median,12,-0.0108640429084872,0.0165472580303364,0.511472614667259,0.989194757675675,0.957627249939905,1.02180286606761,,,,,0.545967584975784
PPARGC1A,Weighted mode,12,-0.0129775399884302,0.0160890169558075,0.419891997849287,0.987106305190351,0.956464109809096,1.01873018313361,,,,,0.545967584975784
KHK,IVW,3,-0.0242466416101083,0.018373301029758,0.186946175952148,0.976044946770835,0.941521296270843,1.01183450856627,4.70094742004033,0.0953239955865804,,,0.560838527856443
KHK,MR-Egger,3,-0.114337421935063,0.0460549195882002,0.192001583942008,0.89195693926402,0.814969113237157,0.976217587364837,,,0.0361084385246619,0.231858458875961,0.560838527856443
KHK,Weighted median,3,-0.0321276119800617,0.013372410894747,0.0162821201752327,0.968382996922197,0.943331484099189,0.99409978839359,,,,,0.560838527856443
KHK,Weighted mode,3,-0.0323870040074623,0.0136323174203171,0.0175132339285737,0.968131838668957,0.942606521250995,0.994348369031663,,,,,0.560838527856443
PRKAA1,IVW,5,-0.144864470291101,0.12165071866598,0.233723088866877,0.865139537275172,0.681608468653569,1.09808849710333,23.2310277615911,0.000113854804755543,,,0.623261570311671
PRKAA1,MR-Egger,5,-0.504329145761354,0.715992649100344,0.531953393574036,0.603910575533192,0.148425112925845,2.45718514914012,,,0.0305516126073512,0.644468259663622,0.623261570311671
PRKAA1,Weighted median,5,-0.268475435849839,0.0632580366098037,2.19441492362807e-05,0.764544202957798,0.675392559446645,0.865463840400141,,,,,0.623261570311671
PRKAA1,Weighted mode,5,-0.268185913681383,0.0607773759515426,1.02139197949702e-05,0.764765587499639,0.678880900861945,0.861515478018439,,,,,0.623261570311671
IRS2,IVW,6,-0.0635648302306772,0.0585148458545863,0.27734512924883,0.938413279779167,0.836729927265144,1.05245367109576,6.14702801406307,0.29217425669776,,,0.665628310197192
IRS2,MR-Egger,6,0.0763342044867692,0.193561927260811,0.713433414029121,1.07932322855343,0.738564255298145,1.57730166784842,,,-0.0102889620484297,0.488644135717642,0.665628310197192
IRS2,Weighted median,6,-0.0443800814176006,0.064606250803294,0.492125772312134,0.956590306169241,0.842814550275405,1.08572522099666,,,,,0.665628310197192
IRS2,Weighted mode,6,-0.0239727864029508,0.0763207106203349,0.75344059959708,0.976312278365332,0.840665550183535,1.13384646804999,,,,,0.665628310197192
BAX,IVW,4,0.0354248414497209,0.0732492649895882,0.628655268906928,1.03605977645094,0.897498600520215,1.19601285144889,0.75817757828691,0.859441973537511,,,0.775346280670945
BAX,MR-Egger,4,-0.0432163569251827,0.454268156471291,0.889143381104718,0.95770416172253,0.393142969336135,2.33298655430477,,,0.00630227981729037,0.798547344554613,0.775346280670945
BAX,Weighted median,4,0.0507790502881965,0.0812898174184383,0.532189765971662,1.05209040852787,0.897134941438078,1.23381018461062,,,,,0.775346280670945
BAX,Weighted mode,4,0.0674324569324853,0.0943499833545135,0.474791006374788,1.06975800242071,0.889146281893771,1.28705726723139,,,,,0.775346280670945
CCND1,IVW,5,0.0323019333127971,0.0545171639707372,0.553509513341914,1.03282930380482,0.928159479482946,1.14930288854261,10.432111615102,0.0337450946315593,,,0.775346280670945
CCND1,MR-Egger,5,-0.23825177869283,0.0927753747063673,0.0112269650227303,0.788004263431498,0.656986694163542,0.945149612164972,,,0.0357983722575804,0.00641564164326515,0.775346280670945
CCND1,Weighted median,5,0.00233591314239429,0.0391012880306969,0.952362668496992,1.00233864351305,0.928390709718586,1.08217665877347,,,,,0.775346280670945
CCND1,Weighted mode,5,-0.0170330385116274,0.0386587618249059,0.659502826639467,0.98311120356742,0.911371918798624,1.06049749684392,,,,,0.775346280670945
CDKN1A,IVW,9,0.0245997746257117,0.035467167930387,0.487937569404426,1.02490484550327,0.956077908965134,1.09868655314196,15.9593033259868,0.0429663242672759,,,0.775346280670945
CDKN1A,MR-Egger,9,0.0950535260298839,0.0867965795682866,0.309703150046015,1.09971771707415,0.927680615353437,1.30365886408657,,,-0.00944707376604016,0.402163249803474,0.775346280670945
CDKN1A,Weighted median,9,0.0271642706567502,0.0390804650680926,0.487001624101403,1.02753658300961,0.951768504905546,1.10933638167388,,,,,0.775346280670945
CDKN1A,Weighted mode,9,-0.00726752991060614,0.0596065401158218,0.902958382888834,0.992758814726117,0.883294732627016,1.1157884540817,,,,,0.775346280670945
CTSD,Wald ratio,1,-0.0451343625092041,0.0692060225141129,0.514288986716092,0.955869040241708,0.834620484830545,1.09473184363323,,,,,0.775346280670945
GPX1,IVW,3,0.0338883482933901,0.091375185799407,0.710734090615033,1.03446910003952,0.864843238299415,1.23736449745601,5.35712323225208,0.0686618452503861,,,0.775346280670945
GPX1,MR-Egger,3,-0.342919522839062,0.291275390182028,0.448272542795143,0.709695323526842,0.400989800325692,1.2560605078403,,,0.0336350528198386,0.407764342863795,0.775346280670945
GPX1,Weighted median,3,-0.00670713372493659,0.0627655339971123,0.914899936054181,0.99331530889322,0.878334673948144,1.12334777636239,,,,,0.775346280670945
GPX1,Weighted mode,3,-0.008259650668617,0.0621206747090838,0.894223923127468,0.991774366524826,0.878081229511574,1.12018838467012,,,,,0.775346280670945
HMOX1,IVW,5,-0.0220048664897119,0.0569793791137646,0.699355958319221,0.978235474466754,0.874866085436391,1.0938184248254,4.59794932202804,0.331090691196002,,,0.775346280670945
HMOX1,MR-Egger,5,0.103930298927273,0.13087723646507,0.485150021988832,1.10952311726887,0.858482413035287,1.43397410251131,,,-0.0125323843204095,0.365055019796213,0.775346280670945
HMOX1,Weighted median,5,-0.0145353746692565,0.0641714432783584,0.820805981578146,0.985569753911646,0.869087556353424,1.11766384494229,,,,,0.775346280670945
HMOX1,Weighted mode,5,-0.0131329820316993,0.0727933159717043,0.856827038809029,0.986952879294074,0.855723575049617,1.13830682518053,,,,,0.775346280670945
IGFBP2,IVW,3,0.0230429563954057,0.0404760713208143,0.569153757155151,1.0233104963334,0.945264833752326,1.10779998844269,1.10386745795553,0.575835223814923,,,0.775346280670945
IGFBP2,MR-Egger,3,0.191519630146802,0.170246538463188,0.142806233302588,1.21108860675379,0.867479338061731,1.69080178518842,,,-0.0220694805386812,0.157113126708044,0.775346280670945
IGFBP2,Weighted median,3,0.0234176809817314,0.042998840785746,0.586020458901111,1.02369402779067,0.940954920064403,1.11370846805557,,,,,0.775346280670945
IGFBP2,Weighted mode,3,0.0420762926321628,0.0441962603655905,0.341080311656896,1.04297404695081,0.956429329138158,1.13734996352858,,,,,0.775346280670945
LZTFL1,IVW,8,0.017875409964799,0.0272103792052265,0.511223669174779,1.0180361313307,0.965164299798067,1.07380428898129,5.7350651740785,0.571002429741987,,,0.775346280670945
LZTFL1,MR-Egger,8,-0.00918535481049856,0.0489405468026939,0.848210640847374,0.990856701694521,0.900226548711369,1.09061102974395,,,0.0048642921788103,0.505333976762512,0.775346280670945
LZTFL1,Weighted median,8,0.00944410256334727,0.0322100769696689,0.769366721448074,1.00948883882032,0.947728084755797,1.07527436623912,,,,,0.775346280670945
LZTFL1,Weighted mode,8,0.00541099014151003,0.0326524288273142,0.868381412148562,1.00542565598899,0.943095460938783,1.07187532078102,,,,,0.775346280670945
MDM2,IVW,10,0.0130329925572018,0.0165982811907082,0.432335532606704,1.01311829217163,0.980689249632659,1.0466196854072,10.5388745948755,0.308644372865009,,,0.775346280670945
MDM2,MR-Egger,10,0.0272746731668563,0.0293353654773614,0.379698625145999,1.02765003189001,0.970229494530496,1.08846885607676,,,-0.00374017852140949,0.565296749788893,0.775346280670945
MDM2,Weighted median,10,0.014478479212293,0.0175971655754647,0.410636883358862,1.01458380007388,0.980186944990428,1.05018771432668,,,,,0.775346280670945
MDM2,Weighted mode,10,0.0175132442853208,0.017166688258071,0.307639447868807,1.01766750034024,0.983995982561916,1.05249122923486,,,,,0.775346280670945
PHLDA3,IVW,2,-0.0353160141839822,0.0643794496768986,0.583307194659008,0.965300319459896,0.850866756476459,1.09512411862004,0.115100800428094,0.734410039839014,,,0.775346280670945
PLIN1,IVW,3,-0.0244596071911109,0.0638520186321108,0.701670017663431,0.975837104924027,0.86104409366602,1.10593413548908,0.00297810377177267,0.998512056201805,,,0.775346280670945
PLIN1,MR-Egger,3,-0.0298355668990106,0.171362597454597,0.153590760910815,0.970605120037222,0.693706542094162,1.3580300053082,,,0.000540337283977119,0.574685771968739,0.775346280670945
PLIN1,Weighted median,3,-0.0244896874925168,0.0671247900970185,0.715232189307393,0.975807751891264,0.85551275522984,1.11301761759854,,,,,0.775346280670945
PLIN1,Weighted mode,3,-0.0261913427404861,0.0723081615889613,0.717188870478797,0.974148675497614,0.845425405830731,1.12247116709402,,,,,0.775346280670945
ZMAT3,IVW,8,-0.0147703374675203,0.0185333186455003,0.425473515514106,0.985338208887682,0.950187788313899,1.02178895354657,11.1913760562565,0.130486400430471,,,0.775346280670945
ZMAT3,MR-Egger,8,-0.0716113777321857,0.0481132415866264,0.187217175226811,0.93089259111508,0.847119649815883,1.02294996507434,,,0.0125989184109535,0.25069224704727,0.775346280670945
ZMAT3,Weighted median,8,-0.0167670466564788,0.019111664472343,0.38031281847491,0.983372737921736,0.947218097215175,1.02090737553552,,,,,0.775346280670945
ZMAT3,Weighted mode,8,-0.0104399584769485,0.0206133270508908,0.612529239627119,0.989614348736895,0.950428750868427,1.03041554491182,,,,,0.775346280670945
CAMKK2,IVW,5,0.00821942590431336,0.0471285529606753,0.861547674917712,1.00825329812521,0.919291018679436,1.10582469808166,45.5230084714608,3.09512534123125e-09,,,0.861547674917712
CAMKK2,MR-Egger,5,0.223525398829967,0.110064557860257,0.135232205159955,1.250477400536,1.00782935578668,1.55154612263769,,,-0.0697629063288386,0.131091820335109,0.861547674917712
CAMKK2,Weighted median,5,0.0255268551729311,0.0322597097169972,0.428773526162653,1.02585545542618,0.962999702733144,1.09281385284008,,,,,0.861547674917712
CAMKK2,Weighted mode,5,0.0745139882799878,0.0225432859278856,0.000948497838066274,1.07736041383597,1.03079376168455,1.12603073907234,,,,,0.861547674917712
ENPP1,IVW,2,0.030506535953776,0.145544240742132,0.833977396082179,1.03097662844235,0.775102363898833,1.37131927071904,1.78062998787719,0.182071986583203,,,0.861547674917712
