gene,n_snp,b,se,p,n_snp_1mb,b_1mb,se_1mb,p_1mb
BAX,1,0.0629375229262323,0.0445512802736251,0.157744418499768,1,0.0629375229262323,0.0445512802736251,0.157744418499768
CAMKK2,8,-0.12488731599144,0.0543279666782938,0.0215181955909261,3,-0.0963114887121455,0.0325067064717928,0.00304835726345031
CCND1,1,-0.042620415024476,0.0442389117975574,0.335339485210113,1,-0.042620415024476,0.0442389117975574,0.335339485210113
CDKN1A,4,0.102029791022678,0.0422828096828425,0.0158204118268666,1,0.135618529225501,0.0440997315313691,0.00210312902843428
CTSD,1,-0.0451343625092041,0.0692060225141129,0.514288986716092,1,-0.0451343625092041,0.0692060225141129,0.514288986716092
ENPP1,1,-0.0991062607451233,0.146051331624392,0.497409451259859,1,-0.0991062607451233,0.146051331624392,0.497409451259859
FASN,1,0.03475688705125,0.0202959924386861,0.0868045646114652,1,0.03475688705125,0.0202959924386861,0.0868045646114652
FBP1,10,-0.0812605452623267,0.0361146127005572,0.0244442584174152,1,-0.148032095519158,0.0466946878483249,0.00152327352864662
GAS6,2,-0.0544814315456266,0.123723002542595,0.659683589254598,1,-0.176968966530106,0.172946944563513,0.306186909543571
GPX1,3,0.193483278596662,0.193877029501306,0.318294357693395,1,0.00629827350984835,0.0764790354767299,0.93436605637943
HMOX1,3,0.0249339045672841,0.0493025332142497,0.613044290392229,1,0.0328649413931487,0.0428148777782304,0.442721514331005
IGFBP2,1,0.0546886637771844,0.0508731756066832,0.282374728330258,1,0.0546886637771844,0.0508731756066832,0.282374728330258
IRS2,5,0.0219598665484133,0.0553515954177943,0.691563535876025,1,-0.0412370503619387,0.0848998095686972,0.627169753539399
KHK,10,-0.0274534649814908,0.0358496888126513,0.443799077639736,2,-0.030172830123995,0.0206935922702945,0.144819597410691
LZTFL1,4,0.000467769394830931,0.0392769119182204,0.990497797885609,1,0.010473094063515,0.0458197865278782,0.819202033401183
MDM2,4,0.0151438308500708,0.0212459365445418,0.475977469866964,1,0.0102582071538045,0.0219152607376732,0.639723729547061
PHLDA3,1,-0.0439469702831484,0.069223659073456,0.525523137223201,1,-0.0439469702831484,0.069223659073456,0.525523137223201
PLIN1,1,-0.0267778575936705,0.0771832365935208,0.728637315121036,1,-0.0267778575936705,0.0771832365935208,0.728637315121036
PPARGC1A,3,-0.0477065860293347,0.0177956272049864,0.00734455514594833,1,-0.0517908073711015,0.0220872560847344,0.0190358799858124
PRKAA1,1,-0.26678727339943,0.0914391864473853,0.00352683298771631,1,-0.26678727339943,0.0914391864473853,0.00352683298771631
SERPINE1,1,-0.316528687570184,0.104796660073912,0.00252434248633068,1,-0.316528687570184,0.104796660073912,0.00252434248633068
SIRT1,10,0.0383602799683446,0.0103438973841097,0.000208495712760903,2,0.0279018835940125,0.0156960126678547,0.075462752338956
SREBF1,11,-0.121491258393026,0.0190532563928128,1.81294418389241e-10,1,-0.0995067936135591,0.0260001622022525,0.000129629998252166
TP53,1,-0.145382670963631,0.130040781062946,0.263576591083728,1,-0.145382670963631,0.130040781062946,0.263576591083728
ZMAT3,5,-0.0191788516952827,0.0214171533039568,0.370525082247002,1,-0.0120101428146947,0.0231414946917287,0.603769568459547
