gene,n_snp,r2_exposure,r2_outcome,correct_direction,steiger_p
PPARGC1A,3,0.0979623788211441,3.37856613790929e-05,TRUE,0
PRKAA1,1,0.00337199067952016,3.876523596521e-05,TRUE,6.88022079641764e-19
SIRT1,10,0.307600177080919,0.000112829368303156,TRUE,0
SREBF1,11,0.1213099950266,0.000339452221762988,TRUE,0
GPX1,3,0.00781997051267124,0.000128542464858662,TRUE,9.40642978536466e-38
KHK,10,0.0923285096651743,0.000174725870447282,TRUE,0
ENPP1,1,0.00145961184423584,2.09687897370972e-06,TRUE,1.70607724718869e-10
CDKN1A,4,0.0208428836288491,4.82244868165246e-05,TRUE,1.4092811753976e-127
FBP1,10,0.0346905640461608,9.38281914035119e-05,TRUE,1.28615555495921e-206
PLIN1,1,0.0053442608358694,5.48135755320839e-07,TRUE,1.93057077213893e-35
FASN,1,0.0750234263277897,1.33549343519693e-05,TRUE,4.40429682347584e-191
IGFBP2,1,0.0117834195878907,5.26257982238528e-06,TRUE,4.09419123369965e-75
ZMAT3,5,0.0671818554758302,1.91830808855385e-05,TRUE,0
CAMKK2,8,0.0808780234149549,0.000437714656978575,TRUE,0
BAX,1,0.0159286463947955,9.08824714608591e-06,TRUE,9.58631730534084e-89
IRS2,5,0.00956333097807171,6.8232496719437e-06,TRUE,6.64535250769482e-62
MDM2,4,0.0684770125064173,8.81183268871065e-06,TRUE,0
PHLDA3,1,0.00631371716454938,1.83540132102093e-06,TRUE,3.58245121933981e-38
SERPINE1,1,0.00277459041983704,4.15439503401015e-05,TRUE,1.18495388696177e-15
LZTFL1,4,0.0188160763382925,6.61179951139898e-06,TRUE,4.45914667576555e-104
CTSD,1,0.00647461229741373,1.93690845461881e-06,TRUE,2.18968322208612e-36
CCND1,1,0.015592262173343,4.22676784978557e-06,TRUE,7.89402468369681e-85
TP53,1,0.00177038741883393,5.69177670478165e-06,TRUE,7.95663138189956e-12
HMOX1,3,0.0187841222547378,1.56834700439635e-05,TRUE,5.43898810439784e-120
GAS6,2,0.00202316284012889,5.50961520076966e-06,TRUE,1.20685348043346e-13
