pathway,pw_name,component,n_nodes,n_edges,median_worst_p,n_pheno_nodes,nodes,rank_in_map
hsa04066,HIF-1 signaling pathway,1,4,4,0.040132583670473,4,AKT1;AKT2;PIK3CD;PIK3R2,1
hsa04066,HIF-1 signaling pathway,2,2,1,0.0273208004500512,0,CAMK2A;CREBBP,2
hsa04068,FoxO signaling pathway,3,10,11,0.0236771002828433,10,AKT1;AKT2;CDKN1B;FOXO3;MAPK13;MAPK8;PDPK1;RBL2;SGK1;USP7,1
hsa04068,FoxO signaling pathway,6,3,2,0.025007761246042,3,IRS1;IRS2;PIK3CA,2
hsa04068,FoxO signaling pathway,2,3,2,0.0283751936252283,3,KRAS;SOS1;SOS2,3
hsa04068,FoxO signaling pathway,1,2,1,0.0174833628632484,2,PRKAA2;STK11,4
hsa04068,FoxO signaling pathway,4,2,1,0.0186148363045659,2,ARAF;HRAS,5
hsa04068,FoxO signaling pathway,5,2,1,0.0205700594974582,2,IL6;STAT3,6
hsa04115,p53 signaling pathway,1,2,1,0.0347053681375458,2,IGF1;IGFBP3,1
hsa04152,AMPK signaling pathway,1,5,4,0.0174833628632484,5,CAMKK2;GYS2;MLYCD;PFKFB4;PRKAA2,1
hsa04152,AMPK signaling pathway,3,3,2,0.025007761246042,3,IRS1;IRS2;PIK3CA,2
hsa04152,AMPK signaling pathway,2,3,2,0.0251481320289543,3,AKT1;AKT2;PDPK1,3
hsa04152,AMPK signaling pathway,4,2,1,0.0261960327030443,2,FASN;SREBF1,4
hsa04211,Longevity regulating pathway,1,6,5,0.0236771002828433,6,AKT1;AKT2;BAX;FOXO3;PPARGC1A;SIRT1,1
hsa04211,Longevity regulating pathway,4,4,3,0.025007761246042,4,IRS1;IRS2;KRAS;PIK3CA,2
hsa04211,Longevity regulating pathway,2,3,2,0.0174833628632484,3,CAMKK2;PRKAA2;STK11,3
hsa04211,Longevity regulating pathway,3,3,2,0.0333059864707812,3,HRAS;PIK3CD;PIK3R2,4
hsa04371,Apelin signaling pathway,1,14,17,0.0186148363045659,13,ADCY10;AKT1;AKT2;GNAI2;GNB2;HRAS;KLF2;MRAS;NOS3;PLCB3;PLIN1;PRKAA2;PRKCE;RRAS,1
hsa04371,Apelin signaling pathway,2,4,3,0.0470625083212815,3,GNG4;KRAS;PLCB1;RRAS2,2
hsa04910,Insulin signaling pathway,1,13,15,0.0194903632172992,13,AKT1;AKT2;CALM1;FASN;GYS2;HK3;PDPK1;PIK3CD;PIK3R2;PPP1CA;PRKCZ;RPS6KB2;SREBF1,1
hsa04910,Insulin signaling pathway,4,5,5,0.0207155620838631,5,IRS1;IRS2;PIK3CA;PTPRF;SHC1,2
hsa04910,Insulin signaling pathway,2,3,2,0.0283751936252283,3,KRAS;SOS1;SOS2,3
hsa04910,Insulin signaling pathway,3,2,1,0.0186148363045659,2,ARAF;HRAS,4
