tissue,cell_type,axis_genes_tested,concordant_cell,concordant_pb
liver,B_cell,2,1,0
liver,HSC_Fibroblast,1,1,0
kidney,PT,4,1,0
liver,Cholangiocyte,3,0,0
liver,Kupffer_cell,3,0,0
liver,LSEC,1,0,0
liver,Macrophage_other,3,0,0
liver,Monocyte,2,0,0
liver,Neutrophil,1,0,0
liver,cDC,3,0,0
liver,pDC,3,0,0
kidney,B_cell,3,0,0
kidney,CD_IC,3,0,0
kidney,Distal_tubule,2,0,0
kidney,Endothelial,2,0,0
kidney,Fibroblast_Pericyte,3,0,0
kidney,LoH,3,0,0
kidney,Macrophage,2,0,0
kidney,T_cell,1,0,0
kidney,Tubular_epithelium_other,3,0,0
kidney,cDC,3,0,0
